OffspringID1,OffspringID2,Probability
KP0093_AC_SB10,KX0075_HU_SB10, 1.000
KP0414_HU_CA05,KP0429_HU_CA05, 1.000
KP0418_HU_CA05,KP0420_HU_CA05, 1.000
KP0420_HU_CA05,KP1033_HU_CA10, 1.000
KP0423_HU_CA05,KP0439_HU_CA05, 1.000
KP0474_AC_WP20,KP0789_HU_WP10, 1.000
KP0552_AC_WP20,KP1039_HU_CA10, 0.833
KP1005_HU_CA10,KP1033_HU_CA10, 1.000
