Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0803_HU_WP10,WP10,WP,10/12,-5.89053639,-1.2539352,-2.189007314, 0.712780414,Clust1,Clust1,0.709338,0.000010,0.171700,0.118952
KP0805_HU_WP10,WP10,WP,10/12,-7.42926999,-2.0373861,-2.969440810,-0.126474941,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0814_HU_WP10,WP10,WP,10/12,-7.41149278,-2.4631951,-1.465577797, 0.284598471,Clust1,Clust1,0.965580,0.000010,0.000010,0.034400
KP0818_HU_WP10,WP10,WP,10/12,17.36851570,-2.8627749,-0.294608092,-0.796198509,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0826_AC_WP10,WP10,WP,10/12, 1.84681640,12.4780220,-0.611969605,-2.020834635,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010
KP0827_AC_WP10,WP10,WP,10/12,-6.03275224, 0.5546933,-2.302329929, 1.452316005,Clust1,Clust1,0.816335,0.000010,0.135346,0.048308
KP0829_AC_WP10,WP10,WP,10/12,-7.28279966,-2.6122233,-5.080964112, 1.817129366,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0831_HU_WP10,WP10,WP,10/12,-7.83671812,-3.2350830,-2.232049033,-0.383580780,Clust1,Clust1,0.842336,0.000010,0.000010,0.157644
KP0838_AC_WP10,WP10,WP,10/12,-6.33683067,-1.4065386,-3.234121553, 4.117361158,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0839_HU_WP10,WP10,WP,10/12,-4.81570149, 2.4653457,-0.740848300, 0.896092318,Clust1,NA,0.588861,0.000010,0.285974,0.125155
KP0841_AC_WP10,WP10,WP,10/12,-6.87021798,-3.2104245,-1.068351789, 1.931263421,Clust1,Clust1,0.881179,0.000010,0.000010,0.118801
KP0845_AC_WP10,WP10,WP,10/12,-6.84098872,-2.3275034,-2.277697583,-0.751858429,Clust1,Clust1,0.770450,0.000010,0.121323,0.108217
KP0847_HU_WP10,WP10,WP,10/12,-7.22524149,-2.6238566,-5.074176379, 1.598067672,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0850_AC_WP10,WP10,WP,10/12,-5.61738859, 0.7027165,-2.133562954, 2.764546719,Clust1,Clust1,0.836412,0.000010,0.163568,0.000010
KP0853_HU_WP10,WP10,WP,10/12,-3.97906833, 3.5818930,-1.505863445, 2.208846645,Clust1,NA,0.432340,0.000010,0.371810,0.195840
KP0859_HU_WP10,WP10,WP,10/12,-7.34132444,-3.4889228,-2.796718275, 0.269648080,Clust1,Clust1,0.865312,0.000010,0.000010,0.134668
KP0875_AC_WP10,WP10,WP,10/12,-7.33299351,-2.8997908,-1.873241308,-0.823030946,Clust1,Clust1,0.685655,0.000010,0.028344,0.285991
KP0876_HU_WP10,WP10,WP,10/12,-7.56525657,-2.6572121,-1.424491546, 1.776013269,Clust1,Clust1,0.963474,0.000010,0.000010,0.036506
KP0877_HU_WP10,WP10,WP,10/12,-7.43231376,-3.0212877,-3.545291587, 2.501261428,Clust1,Clust1,0.914110,0.000010,0.085870,0.000010
KP0886_AC_WP10,WP10,WP,10/12,16.64959485,-3.6913221, 0.114608620, 0.068490617,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0888_AC_WP10,WP10,WP,10/12, 2.11914958,13.0380936,-0.014018553, 1.277674875,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010
KP0899_LM_WP10,WP10,WP,10/12,-3.71870589, 3.7597512,-2.187781036, 0.679270029,Clust1,NA,0.438715,0.000010,0.410623,0.150652
KP0901_HU_WP10,WP10,WP,10/12, 1.43796695,10.6067744,-0.467467784,-1.890322060,Clust3,Clust3,0.000010,0.068296,0.920635,0.011059
KP0903_HU_WP10,WP10,WP,10/12, 0.22223687,12.3822684,-0.708037223, 1.482534404,Clust3,Clust3,0.105545,0.000010,0.894435,0.000010
KP0906_AC_WP10,WP10,WP,10/12,15.81339278,-2.3895368, 0.054522535, 0.117672473,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0920_HU_WP10,WP10,WP,10/12,-7.63931419,-2.8414313,-4.482312212, 4.068057462,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0922_AC_WP10,WP10,WP,10/12,-7.41853136,-2.9495775,-4.212039472, 2.633690107,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0935_AC_WP10,WP10,WP,10/12,-5.28499918,-0.2635026,-1.997855198,-1.293581495,Clust1,NA,0.498969,0.000010,0.244383,0.256638
KP0941_HU_WP10,WP10,WP,10/12,-7.17019626,-1.7816535,-3.687542932, 3.548534695,Clust1,Clust1,0.937848,0.000010,0.062132,0.000010
KP0948_AC_WP10,WP10,WP,10/12,-7.26374844,-3.3050270,-1.332626682,-2.410419269,Clust4,Clust1,0.275834,0.000010,0.000010,0.724146
KP0951_HU_WP10,WP10,WP,10/12,17.10180441,-2.5460819, 0.257676514,-0.348600458,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0954_HU_WP05,WP05,WP,5, 2.08702207,14.0261267, 1.113301756, 0.147697891,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010
KP0956_HU_WP05,WP05,WP,5,-0.02242135, 9.7041692, 0.137721469,-0.292886640,Clust3,Clust3,0.187775,0.000010,0.812205,0.000010
KP0957_HU_WP05,WP05,WP,5, 1.29761841,14.0022391, 1.565103390, 0.348799798,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010
KP0958_HU_WP05,WP05,WP,5, 1.81737953,14.0336561, 1.819115806,-0.104130208,Clust3,Clust3,0.000010,0.000010,0.999970,0.000010
KP0959_HU_WP05,WP05,WP,5,15.92048426,-2.9164370, 0.178849740, 0.267800368,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
