Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0457_AC_WP20,WP20,WP,20,-3.3434963, 3.27624847,-1.01270021, 1.226808459,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0462_AC_WP20,WP20,WP,20,-2.7888850, 3.68201119,-0.28932676,-2.611589785,Clust2,Clust2,0.000010,0.966963,0.033017,0.000010
KP0463_AC_WP20,WP20,WP,20,15.4027835, 1.02608414,-0.42716397, 1.762393214,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0464_AC_WP20,WP20,WP,20,-2.9727816, 3.33327061,-0.30961000, 0.922277126,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0468_AC_WP20,WP20,WP,20,-3.9167855, 3.27023572, 0.08058899,-2.665844904,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0470_AC_WP20,WP20,WP,20,-1.7894393, 2.61608747, 0.61077203,-0.186029282,Clust2,Clust2,0.033584,0.736073,0.000010,0.230333
KP0471_AC_WP20,WP20,WP,20,-3.4590760, 2.89680933, 0.09707641, 0.283423595,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0477_AC_WP20,WP20,WP,20,-2.5939294, 1.53233686, 0.23882440, 0.593326457,Clust2,Clust2,0.000010,0.624967,0.000010,0.375013
KP0479_AC_WP20,WP20,WP,20,-2.7807840, 3.84172549, 0.07854971, 0.735920781,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0481_AC_WP20,WP20,WP,20,-3.6968384, 4.24577608, 0.64884355, 1.570800222,Clust2,Clust2,0.000010,0.822582,0.000010,0.177398
KP0484_AC_WP20,WP20,WP,20,-2.3490444, 3.01548949,-1.93305200,-3.097634793,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0485_AC_WP20,WP20,WP,20,-3.1749061, 2.08479356,-0.39331344,-0.320199531,Clust2,Clust2,0.000010,0.495860,0.193750,0.310380
KP0486_AC_WP20,WP20,WP,20,20.4203695, 0.37446581, 0.61253808, 1.595270198,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0487_AC_WP20,WP20,WP,20,-2.9737021, 2.33296234,-1.85937720, 1.503089575,Clust2,Clust2,0.001093,0.998887,0.000010,0.000010
KP0489_AC_WP20,WP20,WP,20,-2.6373224, 2.21546814,-0.90801887,-2.498761465,Clust2,Clust2,0.007408,0.906232,0.000010,0.086350
KP0490_AC_WP20,WP20,WP,20,-3.1794872, 3.67039510,-0.67470599,-0.289739147,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0491_AC_WP20,WP20,WP,20,-1.6826459, 3.42343263,-0.90194084, 1.130581364,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0494_AC_WP20,WP20,WP,20,-3.3120778, 4.38198472, 0.71462233,-0.542879973,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0505_AC_WP20,WP20,WP,20,-1.4751116, 1.69981965,-0.13363736,-2.197610296,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0508_AC_WP20,WP20,WP,20,-2.8890859, 3.81501451, 1.05480441,-1.274063638,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0512_AC_WP20,WP20,WP,20,-3.5322858, 2.64018152, 0.33493703, 0.132227382,Clust2,Clust2,0.000010,0.935381,0.000010,0.064599
KP0516_AC_WP20,WP20,WP,20,-2.7068668, 4.21934768,-0.56977697,-2.258717557,Clust2,Clust2,0.000010,0.994567,0.005413,0.000010
KP0521_AC_WP20,WP20,WP,20,-2.6546095, 4.09813894, 0.21678042,-0.710715931,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0523_AC_WP20,WP20,WP,20,-2.3920645, 2.22038724, 0.49456261, 1.380250481,Clust2,Clust2,0.000010,0.753947,0.045475,0.200567
KP0530_AC_WP20,WP20,WP,20,-2.5117031, 3.77446750,-0.29488248,-1.001057973,Clust2,Clust2,0.000010,0.912848,0.006344,0.080798
KP0532_AC_WP20,WP20,WP,20,-2.6857818, 2.47484660,-1.91809899, 1.610470890,Clust2,Clust2,0.003933,0.996047,0.000010,0.000010
KP0533_AC_WP20,WP20,WP,20,-2.3992282, 3.89788916,-0.31047424, 0.796246957,Clust2,Clust2,0.000010,0.965893,0.000010,0.034087
KP0535_AC_WP20,WP20,WP,20,-2.2868667, 2.68584510,-0.24145191, 1.220637432,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0536_AC_WP20,WP20,WP,20,-2.6609896, 3.44191620,-0.76189290, 0.135988662,Clust2,Clust2,0.034593,0.965387,0.000010,0.000010
KP0537_AC_WP20,WP20,WP,20,-2.4443186, 3.74981132,-0.88956175, 1.428181216,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0545_AC_WP20,WP20,WP,20,-2.6232440, 3.55836607, 0.01125407, 1.079246487,Clust2,Clust2,0.000010,0.934207,0.000010,0.065773
KP0546_AC_WP20,WP20,WP,20,-2.0746680, 3.72398675, 0.12004012,-0.306149622,Clust2,Clust2,0.005763,0.871398,0.000010,0.122829
KP0554_AC_WP20,WP20,WP,20,-3.4168268, 3.71555283, 1.41106730,-0.180201045,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0559_AC_WP20,WP20,WP,20,16.8691721, 0.26857171,-0.22114678, 1.163068864,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0563_AC_WP20,WP20,WP,20,20.7856780, 0.53881838, 0.25177086, 0.049143767,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0568_AC_WP20,WP20,WP,20,-2.6470277, 3.21011614,-1.12022378,-2.952292946,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0569_AC_WP20,WP20,WP,20,22.3531577, 0.15014444,-0.77422159,-1.810011987,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0571_AC_WP20,WP20,WP,20,-3.0264600, 4.23956151,-0.60788837,-0.283755837,Clust2,Clust2,0.000010,0.930252,0.069728,0.000010
KP0572_AC_WP20,WP20,WP,20,-3.3595471, 4.56881566,-0.32752508, 2.465816084,Clust2,Clust2,0.000010,0.982287,0.000010,0.017693
KP0575_AC_WP20,WP20,WP,20,21.7051930, 0.55103629, 0.09127732, 0.790149262,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0576_AC_WP20,WP20,WP,20,22.0010340, 0.34679079, 0.02704859, 0.803530794,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0579_AC_WP20,WP20,WP,20,-3.0890973, 2.32708631, 0.43247379, 0.463400538,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010
KP0581_AC_WP20,WP20,WP,20,22.3439180, 0.01746313,-0.60746240,-1.119097772,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0584_AC_WP20,WP20,WP,20,21.9696733, 0.29432589,-0.63454287,-1.898387388,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0590_AC_WP20,WP20,WP,20,21.4379964, 0.66518881, 0.64653545, 1.315816786,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0593_AC_SB20,SB20,SB,20,-1.5704414,-3.60718777,-1.07709998, 1.522016894,Clust3,Clust2,0.013531,0.086668,0.735463,0.164338
KP0596_AC_SB20,SB20,SB,20,-3.2447120,-4.47254927,-0.10715130, 1.889613905,Clust3,Clust2,0.000010,0.000010,0.682294,0.317686
KP0600_AC_SB20,SB20,SB,20,-1.7927565,-3.43529859,-2.61412724, 1.577445098,Clust3,Clust2,0.000010,0.000010,0.699609,0.300371
KP0604_AC_SB20,SB20,SB,20,-2.1012692,-3.07838830,-3.03927363, 1.471442744,Clust3,Clust2,0.000010,0.161321,0.838659,0.000010
KP0607_AC_SB20,SB20,SB,20,20.8996902, 1.06108140, 0.64090285, 0.907381211,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010
KP0608_AC_SB20,SB20,SB,20,-2.8240941, 3.57663476, 0.09808345, 0.167034915,Clust2,Clust2,0.000010,0.897941,0.102039,0.000010
KP0611_LM_SB20,SB20,SB,20,-2.3398608,-3.40631960,-2.36566464, 1.166743998,Clust3,Clust2,0.000010,0.075339,0.924641,0.000010
KP0625_AC_SB20,SB20,SB,20,-1.8394498,-3.40736655,-1.57178290, 0.983436079,Clust3,Clust2,0.000010,0.018100,0.981880,0.000010
KP0626_AC_SB20,SB20,SB,20,-2.1038965,-3.40210497,-1.05154792, 0.906274845,Clust3,Clust2,0.013297,0.064929,0.731192,0.190582
KP0636_AC_SB20,SB20,SB,20,-1.1961359,-2.82450543,-2.55120234,-1.619651415,Clust3,Clust2,0.009082,0.000010,0.990898,0.000010
KP0638_AC_SB20,SB20,SB,20,-1.3069357,-2.84339149,-0.95840489, 0.274028008,Clust3,Clust2,0.058159,0.000010,0.939384,0.002447
KP0640_AC_SB20,SB20,SB,20,-2.7812177,-4.71628042,-1.30875794, 3.312056456,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010
KP0643_AC_SB20,SB20,SB,20,-2.6481306,-2.88133599,-3.52587587, 0.884647554,Clust3,Clust2,0.000018,0.205880,0.794092,0.000010
KP0645_AC_SB20,SB20,SB,20,-1.9948249,-3.46081155,-2.40128652, 2.393430081,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010
KP0646_AC_SB20,SB20,SB,20,-2.3027142,-2.89667722,-3.01491206, 1.132935950,Clust3,Clust2,0.000010,0.022574,0.744551,0.232865
KP0647_AC_SB20,SB20,SB,20,-1.9316204,-3.76229462,-2.86295808, 2.472802118,Clust3,Clust2,0.000010,0.000010,0.999970,0.000010
KP0648_AC_SB20,SB20,SB,20,-1.7804556,-3.21870368,-0.95862496, 2.494257787,Clust3,Clust2,0.000076,0.000010,0.822899,0.177015
KP0649_AC_SB20,SB20,SB,20,-3.1706148,-3.98694886,-1.20005359, 0.632786813,Clust3,Clust2,0.000010,0.004358,0.935934,0.059698
KP0652_AC_SB20,SB20,SB,20,-1.5997048,-3.40798044,-1.73360166, 0.600345360,Clust3,Clust2,0.000010,0.000010,0.975734,0.024246
