Individual,Site,Loc,Depth,V1,V2,Clusters,Q.Clust1,Q.Clust2
KP0723_NA_NANA,SB20,SB,20,  4.087477,-0.62586619,Clust2,0.000010,0.999990
KP0731_LM_SB20,SB20,SB,20, -9.727418,-0.50066087,Clust1,0.999990,0.000010
KP0732_LM_SB20,SB20,SB,20,  4.810366,-0.72324285,Clust2,0.000010,0.999990
KP0765_AC_WP10,WP10,WP,10,  4.543126,-0.66208594,Clust2,0.000010,0.999990
KP0795_LM_WP10,WP10,WP,10,  3.919486,-0.57843914,Clust2,0.000010,0.999990
KP0851_AC_WP10,WP10,WP,10,-10.275554,-0.16341633,Clust1,0.999990,0.000010
KP0870_LM_WP10,WP10,WP,10, -8.799440,-0.30095709,Clust1,0.731123,0.268877
KP0893_LM_WP10,WP10,WP,10,  4.532784,-0.46399586,Clust2,0.000010,0.999990
KP1043_LM_CA10,CA10,CA,10, -8.740777,-0.62491428,Clust1,0.916932,0.083068
KP1061_LM_CA20,CA20,CA,20,  5.177785,-0.45086090,Clust2,0.000010,0.999990
KP1064_LM_CA20,CA20,CA,20,-10.915006,-0.58674785,Clust1,0.999990,0.000010
KP1065_LM_CA20,CA20,CA,20,-10.586143,-0.54715919,Clust1,0.999990,0.000010
KP1093_LM_CA20,CA20,CA,20, -9.545653, 3.59780145,Clust1,0.999990,0.000010
KP1094_LM_CA20,CA20,CA,20, -8.474689,-0.40443029,Clust1,0.956650,0.043350
KP1095_HU_CA20,CA20,CA,20,  5.172900,-0.32490281,Clust2,0.000010,0.999990
KP1101_LM_CA20,CA20,CA,20, -9.679173,-0.28327312,Clust1,0.994013,0.005987
KP1103_LM_CA20,CA20,CA,20,  5.168252,-0.45656563,Clust2,0.000010,0.999990
KP1118_LM_CA20,CA20,CA,20,  3.880687,-0.22054431,Clust2,0.000010,0.999990
KP1119_LM_CA20,CA20,CA,20,  4.684911,-0.71462992,Clust2,0.000010,0.999990
KP1123_LM_CA20,CA20,CA,20, -9.809865,-0.61718544,Clust1,0.999990,0.000010
KP1124_AC_CA20,CA20,CA,20,  4.521978,-0.72499797,Clust2,0.000010,0.999990
KP1126_LM_CA20,CA20,CA,20, -9.639053,-0.32967507,Clust1,0.999990,0.000010
KP1133_LM_CA20,CA20,CA,20,  4.891595,-0.38783799,Clust2,0.000010,0.999990
KP1144_LM_CA20,CA20,CA,20,  4.686361,-0.38486557,Clust2,0.000010,0.999990
KP1160_UN_CA20,CA20,CA,20,  4.518300,-0.65472855,Clust2,0.000010,0.999990
KP1164_LM_CA20,CA20,CA,20,  4.529565,-0.54785624,Clust2,0.000010,0.999990
KP1166_LM_CA20,CA20,CA,20,  4.496035,-0.17773760,Clust2,0.000010,0.999990
KP1167_LM_CA20,CA20,CA,20, -9.578525,-0.50082955,Clust1,0.999990,0.000010
KX0330_LM_WP20,WP20,WP,20, -8.634319,-0.37715367,Clust1,0.947710,0.052290
KY0578_AC_WP20,WP20,WP,20,  4.786682,-0.05733321,Clust2,0.000010,0.999990
