Pair1,Pair2,Relationship
KP1009_AC_CA10,KP1011_AC_CA10,FS
KP1022_AC_CA10,KP1032_AC_CA10,FS
KP1150_AC_CA20,KP1151_AC_CA20,FS
KP1067_AC_CA20,KP1107_AC_CA20,HS
KP1125_AC_CA20,KP1137_AC_CA20,HS
KP1135_AC_CA20,KP1143_AC_CA20,HS
KP1148_AC_CA20,KP1150_AC_CA20,HS
KP1148_AC_CA20,KP1151_AC_CA20,HS
KP1148_AC_CA20,KP1156_UN_CA20,HS
KP1150_AC_CA20,KP1156_UN_CA20,HS
KP1151_AC_CA20,KP1156_UN_CA20,HS
