11370.8	11368.8	11364.1	11363.9	11364.8	11364.9	11365	11.5356	11365.7	11365.4	11365	11364.2	11364.1	11361	11362	11362.6	11362.8	11362.7	11360.2	11354.5	11354.5	11356.7	11356.4	11356.2	11354.2	11354.6	11372.9	1.99528	3.22146	0.570248	0.585367																																																																																																																																																																																																																							
11370.9	11368.9	11364.1	11363.9	11364.9	11365	11365.1	11.5356	11365.8	11365.5	11365	11364.3	11364.1	11361.1	11362	11362.6	11362.9	11362.8	11360.3	11354.5	11354.6	11356.8	11356.5	11356.3	11354.2	11354.6	11373	2.44626	3.2864	1.25849	1.26672	0.757919																																																																																																																																																																																																																						
11371	11368.9	11364.2	11364	11364.9	11365	11365.2	11.5356	11365.9	11365.6	11365.1	11364.4	11364.2	11361.1	11362.1	11362.7	11362.9	11362.9	11360.4	11354.6	11354.7	11356.9	11356.5	11356.4	11354.3	11354.7	11373.1	2.62026	3.26624	1.4206	1.42722	0.942538	0.193234																																																																																																																																																																																																																					
11371.1	11369.1	11364.4	11364.2	11365.1	11365.2	11365.3	11.5356	11366	11365.7	11365.2	11364.5	11364.3	11361.3	11362.3	11362.8	11363.1	11363	11360.5	11354.7	11354.8	11357	11356.7	11356.5	11354.4	11354.8	11373.2	2.63529	3.10063	1.2766	1.2814	0.84187	0.211667	0.1864																																																																																																																																																																																																																				
11371.6	11369.6	11364.8	11364.6	11365.5	11365.6	11365.8	11.5356	11366.5	11366.2	11365.7	11365	11364.8	11361.8	11362.7	11363.3	11363.6	11363.5	11361	11355.2	11355.3	11357.5	11357.2	11357	11354.9	11355.3	11373.7	2.8162	2.51798	0.924596	0.918192	0.820948	0.805396	0.852487	0.666199																																																																																																																																																																																																																			
11377.8	11375.8	11371.1	11370.9	11371.8	11371.9	11372	11.5356	11372.7	11372.4	11372	11371.2	11371.1	11368	11369	11369.6	11369.8	11369.7	11367.2	11361.5	11361.5	11363.7	11363.4	11363.2	11361.2	11361.6	11379.9	8.8412	3.78807	6.69111	6.66988	7.00954	7.02703	6.98018	6.82932	6.2894																																																																																																																																																																																																																		
11377.9	11375.8	11371.1	11370.9	11371.8	11371.9	11372.1	11.5356	11372.8	11372.5	11372	11371.3	11371.1	11368	11369	11369.6	11369.8	11369.8	11367.3	11361.5	11361.6	11363.8	11363.4	11363.3	11361.2	11361.6	11380	8.9079	3.82828	6.74884	6.72788	7.04177	7.01971	6.9631	6.81827	6.30103	0.366827																																																																																																																																																																																																																	
11380.6	11378.6	11373.8	11373.6	11374.6	11374.7	11374.8	11.5356	11375.5	11375.2	11374.7	11374	11373.8	11370.8	11371.7	11372.3	11372.6	11372.5	11370	11364.2	11364.3	11366.5	11366.2	11366	11363.9	11364.3	11382.7	11.6948	6.89076	9.63139	9.60973	10.0353	10.176	10.1562	9.99139	9.39627	3.38316	3.57366																																																																																																																																																																																																																
11380.4	11378.3	11373.6	11373.4	11374.3	11374.4	11374.6	11.5356	11375.2	11375	11374.5	11373.8	11373.6	11370.5	11371.5	11372.1	11372.3	11372.3	11369.7	11364	11364	11366.2	11365.9	11365.8	11363.7	11364.1	11382.4	11.4407	6.62083	9.37109	9.34942	9.77132	9.90662	9.88572	9.72139	9.12828	3.10773	3.30168	0.276482																																																																																																																																																																																																															
11384.7	11382.6	11377.9	11377.7	11378.6	11378.7	11378.9	11.5356	11379.6	11379.3	11378.8	11378.1	11377.9	11374.8	11375.8	11376.4	11376.6	11376.6	11374.1	11368.3	11368.3	11370.5	11370.2	11370.1	11368	11368.4	11386.7	15.6748	10.6739	13.5489	13.5274	13.8925	13.9174	13.8662	13.7183	13.1815	6.89243	6.90654	4.21524	4.41403																																																																																																																																																																																																														
11373.5	11371.4	11366.7	11366.5	11367.4	11367.5	11367.7	11.5356	11368.4	11368.1	11367.6	11366.9	11366.7	11363.6	11364.6	11365.2	11365.4	11365.4	11362.8	11357.1	11357.1	11359.3	11359	11358.9	11356.8	11357.2	11375.6	17.9821	16.8256	17.2708	17.272	16.8406	16.0846	15.898	16.0121	16.4105	17.5811	17.2396	20.2843	20.0695	21.138																																																																																																																																																																																																													
11370.7	11368.7	11363.9	11363.7	11364.7	11364.8	11364.9	11.5356	11365.6	11365.3	11364.8	11364.1	11363.9	11360.9	11361.8	11362.4	11362.7	11362.6	11360.1	11354.3	11354.4	11356.6	11356.3	11356.1	11354	11354.4	11372.8	17.5202	17.1628	17.1376	17.1422	16.6524	15.8981	15.7231	15.861	16.3444	18.4781	18.1596	21.4262	21.1919	22.7358	2.76012																																																																																																																																																																																																												
11370.5	11368.4	11363.7	11363.5	11364.4	11364.5	11364.7	11.5356	11365.3	11365.1	11364.6	11363.9	11363.7	11360.6	11361.6	11362.2	11362.4	11362.4	11359.8	11354.1	11354.1	11356.3	11356	11355.9	11353.8	11354.2	11372.6	18.0352	17.7402	17.6843	17.6892	17.1951	16.4419	16.2681	16.4078	16.8974	19.0708	18.7525	22.0185	21.7844	23.3134	3.05842	0.593039																																																																																																																																																																																																											
11369	11367	11362.3	11362.1	11363	11363.1	11363.2	11.5356	11363.9	11363.6	11363.1	11362.4	11362.3	11359.2	11360.2	11360.7	11361	11360.9	11358.4	11352.7	11352.7	11354.9	11354.6	11354.4	11352.3	11352.7	11371.2	18.8465	18.9224	18.6618	18.6683	18.1517	17.4076	17.2412	17.3904	17.9139	20.4511	20.1419	23.4665	23.227	24.8838	4.66348	2.19259	1.67608																																																																																																																																																																																																										
11369.7	11367.6	11362.9	11362.7	11363.6	11363.7	11363.9	11.5356	11364.6	11364.3	11363.8	11363.1	11362.9	11359.8	11360.8	11361.4	11361.6	11361.6	11359.1	11353.3	11353.4	11355.6	11355.2	11355.1	11353	11353.4	11371.8	18.4036	18.3156	18.1445	18.1503	17.6433	16.8946	16.7248	16.8699	17.3789	19.7604	19.4474	22.7484	22.5111	24.1168	3.90437	1.39753	0.87833	0.800457																																																																																																																																																																																																									
11372.7	11370.7	11366	11365.8	11366.7	11366.8	11366.9	11.5356	11367.6	11367.3	11366.8	11366.1	11365.9	11362.9	11363.9	11364.4	11364.7	11364.6	11362.1	11356.4	11356.4	11358.6	11358.3	11358.1	11356	11356.4	11374.9	18.5618	17.6314	17.9494	17.9516	17.5018	16.744	16.5603	16.6819	17.1062	18.5152	18.1776	21.2667	21.0484	22.1825	1.06721	2.15102	2.27363	3.75516	3.04524																																																																																																																																																																																																								
11379.4	11377.3	11372.6	11372.4	11373.3	11373.4	11373.6	11.5356	11374.3	11374	11373.5	11372.8	11372.6	11369.6	11370.5	11371.1	11371.4	11371.3	11368.8	11363	11363.1	11365.3	11364.9	11364.8	11362.7	11363.1	11381.5	20.8544	18.2761	19.5972	19.5919	19.2972	18.593	18.4001	18.4625	18.6747	17.7621	17.3954	19.6928	19.5389	19.3246	5.96038	8.70734	8.93118	10.391	9.70966	6.66729																																																																																																																																																																																																							
