0.094738																		
-0.047242	0.076211																	
0.018991	0.119396	-0.059171																
-0.040023	0.241166	-0.051074	0.095528															
-0.015945	0.127045	0.072977	-0.009812	0.049836														
-0.055606	0.09022	-0.002625	0.120219	-0.022282	0.083001													
0.036345	0.183961	-0.072458	0.038372	0.139066	0.067536	0.0889												
0.065817	0.255071	-0.020098	0.110395	0.014779	0.038489	0.05563	0.127005											
0.019814	0.202582	0.114725	0.084889	-0.005722	0.110538	0.014478	0.046468	0.15308										
-0.071969	0.108169	-0.05932	0.041616	0.089364	0.069285	0.060285	0.043503	0.066133	-0.033118									
-0.053703	0.086445	0.054991	0.030519	0.017792	0.033386	0.004875	0.017196	0.164917	0.049454	-0.035973								
0.036182	0.207357	-0.062161	0.078079	-0.005504	0.076042	0.047455	0.042053	0.119654	0.07539	0.045626	0.039999							
-0.0633	-0.048893	0.021278	0.132305	0.021294	0.042001	-0.086701	0.091245	0.037563	0.053867	0.026103	0.059894	0.008932						
0.074775	0.100624	0.002252	0.161898	0.019261	0.204403	0.089631	0.143782	0.22414	0.110252	0.053513	0.087356	0.064142	0.122959					
0.065844	0.149708	0.026056	0.074773	0.05047	0.089535	0.078679	0.21341	0.155233	0.130604	0.046624	0.069378	0.103403	0.048435	0.153192				
0.050495	0.212194	0.013801	0.106553	0.034364	0.123535	0.033497	0.058585	0.102945	0.055567	0.068096	0.105681	0.205313	0.112924	0.091827	0.099756			
-0.006047	0.066665	0.103862	0.093404	0.172479	0.079495	0.168771	0.223764	0.130036	0.225386	0.055974	0.014241	0.216627	0.091713	0.247229	0.262128	0.290512		
0.044458	0.102121	-0.062927	0.060101	0.004345	0.119418	0.005673	-0.011021	0.195041	0.020072	0.021691	0.050616	0.169539	0.101458	-0.025027	0.041726	-0.005183	0.322839	
-0.032532	0.07771	-0.089489	-0.019128	-0.025883	0.002519	0.011334	0.05946	0.078412	0.089566	0.024186	-0.005616	-0.065387	-0.045191	0.102837	-0.02395	0.040186	0.156754	-0.005824
