2.07406																			
1.80423	1.88105																		
1.26813	1.33901	1.16155																	
1.98636	2.06724	1.90486	1.40643																
1.16269	1.39929	1.12256	0.850948	1.38899															
1.97328	2.3113	2.17241	1.47147	2.30622	1.53678														
1.78968	1.75818	1.8068	1.09068	1.81994	1.19728	2.02595													
1.8509	1.47955	1.47608	0.999463	1.72571	1.05195	1.94586	1.73205												
1.6185	1.4793	1.30493	1.03686	1.61221	0.863578	1.88631	1.51414	-0.03441											
1.8597	1.94179	1.84112	1.31392	2.16043	1.30485	2.15293	1.82657	1.66352	1.53514										
1.61194	1.44056	1.29	0.912844	1.37865	0.815519	1.8284	1.42007	1.21765	1.22459	1.62789									
1.39784	1.49935	1.06713	0.752652	1.36029	0.800247	1.64269	1.33562	0.979127	0.881751	1.436	0.640429								
1.56741	1.49489	1.15474	0.686065	1.33923	0.836224	1.8699	1.35458	0.88484	0.773914	1.5768	0.825464	0.535739							
1.67593	1.46224	1.34676	0.883307	1.22293	0.887487	1.7591	1.36236	1.04926	0.855333	1.58284	0.815879	0.551649	0.666276						
2.10698	1.79703	1.67442	1.33037	1.80136	1.24602	2.24154	1.80051	1.61999	1.52649	2.01925	1.11331	1.18068	1.24123	1.2801					
2.0409	2.02441	2.07574	1.43187	2.10098	1.45024	2.21175	2.06224	1.4963	1.45913	2.14707	1.31153	1.26189	1.05563	1.32445	1.44711				
1.44426	1.31417	1.12067	0.71649	1.39336	0.884498	1.71549	1.39627	1.00436	0.924925	1.4128	0.666139	0.51316	0.683419	0.537202	0.994815	0.977115			
1.74883	2.1959	1.85886	1.28667	1.93291	1.27747	2.14631	1.76604	1.77213	1.61427	1.95674	1.45215	1.30094	1.25162	1.47659	2.21561	1.88747	1.35894		
1.82546	1.76849	1.68809	1.38132	1.73448	1.34657	2.29357	1.78055	1.70946	1.49472	2.29604	1.00417	0.937512	1.20346	1.12882	1.48033	1.62637	0.969834	2.02531	
1.85516	1.74065	1.57797	1.19749	1.51218	1.12795	1.99121	1.68393	1.45636	1.39197	1.88646	0.936354	0.829795	1.02375	0.947274	1.51662	1.41353	0.963475	1.69715	1.25888
