# ind1,ind2,ind1_snps,ind2_snps,both_snps,match,match_perc,pop
KP0423_HU_CA05,KP0439_HU_CA05,21996,24742,21358,21113,98.85,HU_CA05
KP0420_HU_CA05,KP1036_UN_CA10,23969,25065,23654,23383,98.85,HU_CA05-UN_CA10
KP0111_AC_SB10,KP0159_AC_SQ12,25191,23397,23208,22942,98.85,AC_SB10-AC_SQ12
KP1005_HU_CA10,KP1033_HU_CA10,25200,25113,24933,24643.5,98.84,HU_CA10
KP0829_AC_WP10,KP0922_AC_WP10,22543,23000,20163,19927.5,98.83,AC_WP10
KP0474_AC_WP20,KP0920_HU_WP10,24521,24693,23834,23554.5,98.83,AC_WP20-HU_WP10
KP0959_HU_WP05,KP0989_HU_WP05,23021,24698,22339,22075,98.82,HU_WP05
KP0421_HU_CA05,KP0429_HU_CA05,21905,23818,20343,20103,98.82,HU_CA05
KP0798_HU_WP10,KP0876_HU_WP10,22745,24438,21803,21544.5,98.81,HU_WP10
KP0429_HU_CA05,KP0438_HU_CA05,23828,25218,23666,23381,98.8,HU_CA05
KP0420_HU_CA05,KP0428_HU_CA05,24272,21309,20201,19958.5,98.8,HU_CA05
KP0420_HU_CA05,KP0426_HU_CA05,24209,23707,22536,22264.5,98.8,HU_CA05
KP0420_HU_CA05,KP0429_HU_CA05,24138,23818,22576,22302,98.79,HU_CA05
KP0414_HU_CA05,KP0429_HU_CA05,23284,23818,21722,21460,98.79,HU_CA05
KP0814_HU_WP10,KP0876_HU_WP10,22905,24438,21963,21695.5,98.78,HU_WP10
KP0789_HU_WP10,KP0922_AC_WP10,21561,23000,19181,18946.5,98.78,AC_WP10-HU_WP10
KP0783_HU_WP10,KP0960_HU_WP05,23864,24294,22778,22500.5,98.78,HU_WP05-HU_WP10
KP0764_HU_WP10,KP0922_AC_WP10,24812,23000,22432,22159,98.78,AC_WP10-HU_WP10
KP0764_HU_WP10,KP0859_HU_WP10,24879,22474,21973,21704,98.78,HU_WP10
KP0740_HU_WP10,KP0963_HU_WP05,23784,23291,21695,21429.5,98.78,HU_WP05-HU_WP10
KP0886_AC_WP10,KP0959_HU_WP05,24264,22826,21710,21443.5,98.77,AC_WP10-HU_WP05
KP0829_AC_WP10,KP0838_AC_WP10,23896,20398,18914,18680.5,98.77,AC_WP10
KP0789_HU_WP10,KP0920_HU_WP10,20795,24693,20108,19861.5,98.77,HU_WP10
KP0764_HU_WP10,KP0838_AC_WP10,24931,20398,19949,19703.5,98.77,AC_WP10-HU_WP10
KP0474_AC_WP20,KP0963_HU_WP05,24563,23291,22474,22197,98.77,AC_WP20-HU_WP05
KP0420_HU_CA05,KP0427_HU_CA05,24235,22781,21636,21370,98.77,HU_CA05
KP0092_AC_SB10,KP0111_AC_SB10,21013,25133,20766,20510.5,98.77,AC_SB10
KP0092_AC_SB10,KP0110_AC_SB10,21197,23628,19445,19206,98.77,AC_SB10
KP0092_AC_SB10,KP0098_AC_SB10,20962,24831,20413,20161,98.77,AC_SB10
KP0740_HU_WP10,KP0941_HU_WP10,23675,24915,23210,22921.5,98.76,HU_WP10
