,Individual,Sample,Species,Site,Depth,x,y,z,Clusters
806,KP0138_HU_SB05,KP0138,HU,SB05,05,31522.090346018,5.30851316,-1.739264326,AH3
811,KP0143_HU_SB05,KP0143,HU,SB05,05,31530.362794137,0.313466587999999,-1.720545619,AH3
628,KP0436_HU_CA05,KP0436,HU,CA05,05,17851.886541968,1.520514841,-0.677482651,AH3
629,KP0437_HU_CA05,KP0437,HU,CA05,05,17851.949000772,0.829013198,-1.002195997,AH3
233,KP0744_HU_WP10,KP0744,HU,WP10,10,5.088292857,-27.525665439,-4.603787023,AH3
257,KP0768_HU_WP10,KP0768,HU,WP10,10,1.202167364,-27.194609263,-4.121346832,AH3
342,KP0901_HU_WP10,KP0901,HU,WP10,10,18.046281221,-26.846001641,-2.995971665,AH3
343,KP0903_HU_WP10,KP0903,HU,WP10,10,17.925120811,-26.685456758,-3.00384726,AH3
192,KP0954_HU_WP05,KP0954,HU,WP05,05,1.06607964,0.902563785,0.138421217,AH3
195,KP0957_HU_WP05,KP0957,HU,WP05,05,1.04619329,0.951884834,0.132872892,AH3
196,KP0958_HU_WP05,KP0958,HU,WP05,05,0.898669979999999,0.810881995,0.176744569,AH3
199,KP0961_HU_WP05,KP0961,HU,WP05,05,0.34301552,0.890731152,-0.046262085,AH3
202,KP0964_HU_WP05,KP0964,HU,WP05,05,1.27701845,0.217429067,0.009397244,AH3
