,Individual,Sample,Species,Site,Depth,x,y,z,Clusters
856,KP0084_AC_SB10,KP0084,AC,SB10,10,31517.062752125,-28.968286868,-1.080883667,AH2
798,KP0130_AC_SB05,KP0130,AC,SB05,05,31512.160410603,11.953910655,-1.637018166,AH2
800,KP0132_HU_SB05,KP0132,HU,SB05,05,31509.579188075,11.594285154,-1.500672352,AH2
803,KP0135_HU_SB05,KP0135,HU,SB05,05,31520.194836807,7.216492937,-1.596499564,AH2
808,KP0140_HU_SB05,KP0140,HU,SB05,05,31521.543254811,5.157772889,-1.775548543,AH2
810,KP0142_HU_SB05,KP0142,HU,SB05,05,31522.870026764,3.889372499,-1.770806054,AH2
813,KP0145_HU_SB05,KP0145,HU,SB05,05,31526.379120577,1.206064017,-1.795331141,AH2
814,KP0146_HU_SB05,KP0146,HU,SB05,05,31527.635261347,0.817072657999999,-1.39714401,AH2
815,KP0147_HU_SB05,KP0147,HU,SB05,05,31527.611505137,0.757708145999999,-1.340324837,AH2
816,KP0148_HU_SB05,KP0148,HU,SB05,05,31527.442043157,1.12896005,-1.308805386,AH2
817,KP0149_HU_SB05,KP0149,HU,SB05,05,31530.307044547,0,-1.667876993,AH2
263,KP0774_AC_WP10,KP0774,AC,WP10,10,0.856336022,-27.084795932,-4.051238707,AH2
271,KP0783_HU_WP10,KP0783,HU,WP10,10,1.374513524,-28.047531112,-3.741912403,AH2
197,KP0959_HU_WP05,KP0959,HU,WP05,05,0.690975399999999,0.684223761,0.075296673,AH2
198,KP0960_HU_WP05,KP0960,HU,WP05,05,0.68811743,0.481916252,0.082132052,AH2
210,KP0972_HU_WP05,KP0972,HU,WP05,05,4.367930855,1.749541223,-0.288093265,AH2
211,KP0973_HU_WP05,KP0973,HU,WP05,05,6.648807812,1.800177681,-0.458147002,AH2
217,KP0979_HU_WP05,KP0979,HU,WP05,05,18.353552186,4.506017439,-0.103682294,AH2
218,KP0980_HU_WP05,KP0980,HU,WP05,05,15.797784851,3.647408042,-0.10328366,AH2
224,KP0986_HU_WP05,KP0986,HU,WP05,05,21.458682592,3.49771917,-0.239988029,AH2
225,KP0987_HU_WP05,KP0987,HU,WP05,05,22.587115957,3.320947323,-0.214726217,AH2
