,Individual,Sample,Species,Site,Depth,x,y,z,Clusters
858,KP0086_LM_SB10,KP0086,LM,SB10,10,31516.822977662,-28.77391047,-1.198848676,AL2
933,KP0207_LM_SQ12,KP0207,LM,SQ10,10,42894.80635599,-27.670907084,-1.253591973,AL2
188,KP0249_LM_SQ20,KP0249,LM,SQ20,20,42898.083011134,-44.648547646,-1.560240691,AL2
154,KP0252_LM_SQ20,KP0252,LM,SQ20,20,42899.044911523,-46.780253673,-1.680499681,AL2
181,KP0282_LM_SQ20,KP0282,LM,SQ20,20,42903.484823575,-46.794640115,-1.822083879,AL2
348,KP0290_LM_WP20,KP0290,LM,WP20,20,4.79611973,-46.44045393,-0.128729969,AL2
351,KP0293_LM_WP20,KP0293,LM,WP20,20,3.91078419,-47.693424723,-0.083646351,AL2
366,KP0308_LM_WP20,KP0308,LM,WP20,20,0.975119119999999,-47.965669487,0.23250951,AL2
377,KP0319_LM_WP20,KP0319,LM,WP20,20,4.44889641,-47.994302581,-0.158099822,AL2
399,KP0341_LM_WP20,KP0341,LM,WP20,20,8.450273957,-46.080802536,0.053084203,AL2
406,KP0348_LM_WP20,KP0348,LM,WP20,20,7.7248113,-46.722574686,-0.031932987,AL2
408,KP0350_LM_WP20,KP0350,LM,WP20,20,7.10616214,-47.236674777,-0.069800833,AL2
433,KP0375_LM_WP20,KP0375,LM,WP20,20,8.120999236,-47.531704796,0.121522418,AL2
438,KP0380_LM_WP20,KP0380,LM,WP20,20,8.892629463,-47.774836996,0.093410623,AL2
473,KP0459_LM_WP20,KP0459,LM,WP20,20,10.564701403,-45.921876595,-0.212587523,AL2
496,KP0482_LM_WP20,KP0482,LM,WP20,20,15.19094694,-47.66398218,-0.23313712,AL2
562,KP0551_LM_WP20,KP0551,LM,WP20,20,16.622204942,-47.998249083,0.216339257,AL2
569,KP0558_LM_WP20,KP0558,LM,WP20,20,19.054386694,-47.747893837,-0.05690221,AL2
581,KP0570_LM_WP20,KP0570,LM,WP20,20,23.332263029,-45.929140873,0.146869691,AL2
596,KP0585_LM_WP20,KP0585,LM,WP20,20,22.428211333,-47.144263578,0.137129831,AL2
1,KP0613_LM_SB20,KP0613,LM,SB20,20,31512.578121557,-44.278938497,1.945728556,AL2
2,KP0614_LM_SB20,KP0614,LM,SB20,20,31511.185382769,-44.554923895,1.794520798,AL2
4,KP0616_LM_SB20,KP0616,LM,SB20,20,31510.807833782,-44.166808621,1.70097178,AL2
5,KP0617_LM_SB20,KP0617,LM,SB20,20,31511.596959845,-45.33410979,1.922676568,AL2
8,KP0620_LM_SB20,KP0620,LM,SB20,20,31510.223508731,-43.721536171,2.14520923,AL2
17,KP0629_LM_SB20,KP0629,LM,SB20,20,31509.505091995,-43.997860502,2.486261778,AL2
19,KP0631_LM_SB20,KP0631,LM,SB20,20,31509.248546218,-44.438102929,2.148063662,AL2
22,KP0634_LM_SB20,KP0634,LM,SB20,20,31509,-43.509000141,2.246865983,AL2
38,KP0650_LM_SB20,KP0650,LM,SB20,20,31516.597535174,-41.461859747,2.05315047,AL2
44,KP0657_LM_SB20,KP0657,LM,SB20,20,31522.989823412,-40.403340994,1.858285828,AL2
65,KP0680_LM_SB20,KP0680,LM,SB20,20,31521.763012741,-40.545204338,1.791960184,AL2
67,KP0682_LM_SB20,KP0682,LM,SB20,20,31521.826490337,-40.046893577,1.870359841,AL2
79,KP0694_LM_SB20,KP0694,LM,SB20,20,31520.94822005,-41.914764894,1.536517736,AL2
90,KP0706_LM_SB20,KP0706,LM,SB20,20,31526.461334692,-39.226047011,1.821158758,AL2
91,KP0707_LM_SB20,KP0707,LM,SB20,20,31524.400909272,-38.649776627,1.702222687,AL2
101,KP0718_LM_SB20,KP0718,LM,SB20,20,31523.927601592,-40.396776126,1.722647265,AL2
115,KP0732_LM_SB20,KP0732,LM,SB20,20,31531.306508772,-37.477157686,2.133890261,AL2
283,KP0795_LM_WP10,KP0795,LM,WP10,10,10.315719861,-28.253752685,-4.750153006,AL2
338,KP0893_LM_WP10,KP0893,LM,WP10,10,17.815844551,-27.487707048,-3.921965235,AL2
705,KP1061_LM_CA20,KP1061,LM,CA20,20,17831.698250645,-45.787971595,-2.037030057,AL2
746,KP1103_LM_CA20,KP1103,LM,CA20,20,17835.234079204,-44.888042631,-1.235202616,AL2
728,KP1118_LM_CA20,KP1118,LM,CA20,20,17843.364656459,-45.227363689,-1.397392737,AL2
753,KP1119_LM_CA20,KP1119,LM,CA20,20,17839.71918371,-44.864927604,-2.097444482,AL2
760,KP1133_LM_CA20,KP1133,LM,CA20,20,17844.527440385,-44.056522452,-1.845508856,AL2
781,KP1144_LM_CA20,KP1144,LM,CA20,20,17847.919287514,-43.228221206,-1.94257813,AL2
794,KP1164_LM_CA20,KP1164,LM,CA20,20,17846.686455474,-44.412371137,-1.408128704,AL2
796,KP1166_LM_CA20,KP1166,LM,CA20,20,17845.866732192,-44.518454,-1.907582314,AL2
