Individual,Site,Loc,Depth,V1,V2,V3,V4,Clusters,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0984_HU_WP05,WP05,WP,05, 0.1904900, 8.4406928,  0.582855792, 0.101458132,Clust3,0.000010,0.000010,0.761727,0.238253
KP0985_AC_WP05,WP05,WP,05,17.8857690,-3.5833542,  0.418061014,-0.226980122,Clust2,0.000010,0.999970,0.000010,0.000010
KP0986_HU_WP05,WP05,WP,05,17.7480935,-3.2313757, -0.152812193,-0.026846265,Clust2,0.000010,0.999970,0.000010,0.000010
KP0987_HU_WP05,WP05,WP,05,16.8605691,-3.2966457,  0.157218251,-0.077040313,Clust2,0.000010,0.999970,0.000010,0.000010
KP0989_HU_WP05,WP05,WP,05,18.2879652,-3.8264832, -0.504221115, 0.245217976,Clust2,0.000010,0.999970,0.000010,0.000010
KP1003_HU_CA10,CA10,CA,10,-7.6640859,-3.0107532,-10.441981991, 2.589966460,Clust4,0.000010,0.000010,0.000010,0.999970
KP1005_HU_CA10,CA10,CA,10,-7.6076556,-2.9652553,-10.548010270, 2.604182644,Clust4,0.000010,0.000010,0.000010,0.999970
KP1033_HU_CA10,CA10,CA,10,-6.4907110,-2.2225246, -6.656135177, 1.619076769,Clust4,0.110903,0.000010,0.000010,0.889077
KP1034_HU_CA10,CA10,CA,10,-6.8780773,-3.3338758, -7.041831397, 1.283902523,Clust4,0.000010,0.000010,0.000010,0.999970
KP1036_UN_CA10,CA10,CA,10,-6.9069300,-3.3341884, -6.846631887, 1.378057437,Clust4,0.000010,0.000010,0.000010,0.999970
KP1037_HU_CA10,CA10,CA,10,-4.2678604, 1.2842159, -0.610541106, 0.408204705,Clust4,0.201300,0.000010,0.213730,0.584960
KP1039_HU_CA10,CA10,CA,10,-7.6056477,-3.0575634, -0.447198462,-1.238822209,Clust1,0.515015,0.000010,0.000010,0.484965
KP1041_HU_CA10,CA10,CA,10,-2.6228626, 1.8671713, -1.839726475, 0.725077529,Clust4,0.130968,0.000010,0.323748,0.545274
KP1074_AC_CA20,CA20,CA,20,-7.4838649,-2.7148295,  1.543978213,-3.833512517,Clust1,0.788219,0.000010,0.000010,0.211761
KP1084_AC_CA20,CA20,CA,20,-6.7105935,-1.7988006,  0.094422973, 3.122145491,Clust4,0.395631,0.000010,0.000010,0.604349
KP1086_HU_CA20,CA20,CA,20,-6.6354617,-1.8459406,  0.152407987, 3.061886971,Clust4,0.426895,0.000010,0.000010,0.573085
KP1116_AC_CA20,CA20,CA,20,-8.0635750,-3.2673470,  0.001317378,-1.082665333,Clust4,0.305511,0.000010,0.000010,0.694469
KP1153_UN_CA20,CA20,CA,20,-6.5142456,-1.5032478, -4.510676548, 2.320602106,Clust4,0.128193,0.000010,0.000010,0.871787
KP1159_UN_CA20,CA20,CA,20,-6.6722025,-1.7538994,  3.046442541, 0.447779981,Clust1,0.672446,0.000010,0.000010,0.327534
KP1162_AC_CA20,CA20,CA,20,-6.0324323,-1.5144943, -2.591588499, 1.793132500,Clust4,0.113121,0.000010,0.116184,0.770686
KX0075_HU_SB10,SB10,SB,10,-6.0941783, 0.2718963, -0.535351978,-4.004489738,Clust1,0.604350,0.000010,0.114685,0.280955
