,Individual,Sample,Species,Site,Depth,x,y,z,Clusters
835,KP0046_AC_SB10,KP0046,AC,SB10,10,31510.9845196304,-28.5030083440394,-10.4137810346177,AA2
839,KP0050_AC_SB10,KP0050,AC,SB10,10,31513.0320799412,-30,-10.1397231355674,AA2
844,KP0055_AC_SB10,KP0055,AC,SB10,10,31517.7493244615,-28.1208154747572,-10.1693234369958,AA2
846,KP0057_AC_SB10,KP0057,AC,SB10,10,31517.9499473342,-28.0300365271903,-10.2783301891624,AA2
847,KP0058_AC_SB10,KP0058,AC,SB10,10,31517.0385348013,-28.4282487741365,-9.88675183338603,AA2
849,KP0060_AC_SB10,KP0060,AC,SB10,10,31516.9361126272,-28.2841293575608,-10.0692962683098,AA2
850,KP0061_AC_SB10,KP0061,AC,SB10,10,31516.7851859809,-27.8980212086829,-10.0441596582292,AA2
861,KP0072_AC_SB10,KP0072,AC,SB10,10,31515.8125668706,-29.6442575750859,-9.84530276633406,AA2
863,KP0074_AC_SB10,KP0074,AC,SB10,10,31516.1034186509,-29.0463593072305,-9.75105921810566,AA2
867,KP0078_AC_SB10,KP0078,AC,SB10,10,31516.3940910866,-29.2221807558062,-9.55788880205086,AA2
870,KP0081_AC_SB10,KP0081,AC,SB10,10,31516.8775649991,-29.0453667876086,-9.31906257845083,AA2
878,KP0089_AC_SB10,KP0089,AC,SB10,10,31517.584567062,-29.0421761110263,-9.47116740581507,AA2
884,KP0095_AC_SB10,KP0095,AC,SB10,10,31517.7604518264,-28.9890615900768,-9.61534266163624,AA2
889,KP0100_AC_SB10,KP0100,AC,SB10,10,31520.8277263451,-27.6193256053757,-10.2898941615846,AA2
890,KP0101_AC_SB10,KP0101,AC,SB10,10,31519.8556128036,-27.0671189620073,-10.0428597858089,AA2
891,KP0102_AC_SB10,KP0102,AC,SB10,10,31519.281380453,-27.8676277994166,-10.0228863303154,AA2
893,KP0104_AC_SB10,KP0104,AC,SB10,10,31519.0284622912,-27.8092702788853,-10.0255325081546,AA2
901,KP0112_AC_SB10,KP0112,AC,SB10,10,31519.0902584344,-28.5595372784278,-10.2410305212152,AA2
905,KP0116_AC_SB10,KP0116,AC,SB10,10,31521.614317259,-27.6905208716921,-10.4721672169185,AA2
909,KP0120_AC_SB10,KP0120,AC,SB10,10,31527.3566268883,-26.8026970045211,-10.1506439791406,AA2
910,KP0121_AC_SB10,KP0121,AC,SB10,10,31527.3197301062,-27.3609074570128,-10.3173774998067,AA2
911,KP0122_AC_SB10,KP0122,AC,SB10,10,31525.1237747821,-26.2069351626134,-10.2774012496951,AA2
912,KP0123_AC_SB10,KP0123,AC,SB10,10,31525.4302109078,-27.9309649004054,-10.0209906677187,AA2
914,KP0125_AC_SB10,KP0125,AC,SB10,10,31525.5849654746,-27.3580912770616,-10.3454273312997,AA2
916,KP0127_AC_SB10,KP0127,AC,SB10,10,31527.6771480601,-27.7388413723602,-10.2742013065312,AA2
918,KP0129_AC_SB10,KP0129,AC,SB10,10,31527.2771835511,-28.3666070292412,-10.4067172715167,AA2
816,KP0131_HU_SB05,KP0131,HU,SB05,05,31509,12.9453346151933,-4.59483958628629,AA2
957,KP0153_AC_SQ12,KP0153,AC,SQ10,10,42880,-28.0773254227804,-12.022223217879,AA2
963,KP0158_AC_SQ12,KP0158,AC,SQ10,10,42885.0498250956,-28.6877090124627,-12.1551351980211,AA2
972,KP0167_AC_SQ12,KP0167,AC,SQ10,10,42882.1416402521,-28.3853044265811,-11.7809100436604,AA2
982,KP0168_AC_SQ12,KP0168,AC,SQ10,10,42882.1629249161,-28.3812659996421,-11.8271898079046,AA2
970,KP0171_AC_SQ12,KP0171,AC,SQ10,10,42881.8332419056,-28.8649635491657,-11.7601916861272,AA2
975,KP0172_AC_SQ12,KP0172,AC,SQ10,10,42881.898457606,-29.6200711698604,-11.8054126840961,AA2
979,KP0176_AC_SQ12,KP0176,AC,SQ10,10,42881.9775085626,-29.7963951283665,-11.7524754308857,AA2
924,KP0181_AC_SQ12,KP0181,AC,SQ10,10,42882.1060494431,-29.6614060254249,-11.7039328885389,AA2
930,KP0187_AC_SQ12,KP0187,AC,SQ10,10,42882.5839376208,-29.1972470606192,-11.6938130337875,AA2
932,KP0189_AC_SQ12,KP0189,AC,SQ10,10,42888.8321033402,-28.478256704558,-12.1864155748682,AA2
933,KP0190_AC_SQ12,KP0190,AC,SQ10,10,42888.8749740766,-28.842569811457,-12.3036940676096,AA2
940,KP0197_AC_SQ12,KP0197,AC,SQ10,10,42891.5905934621,-26.5195487990987,-12.0173782838356,AA2
945,KP0202_AC_SQ12,KP0202,AC,SQ10,10,42891.3525799948,-26.6602332837553,-12.3872235553539,AA2
952,KP0209_AC_SQ12,KP0209,AC,SQ10,10,42895.6672560723,-27.5915042874081,-12.2379730606787,AA2
150,KP0214_AC_SQ20,KP0214,AC,SQ20,20,42884.4415354957,-45.5023125910005,-19.9270947639641,AA2
123,KP0220_AC_SQ20,KP0220,AC,SQ20,20,42881.6814546055,-45.5166754836736,-20.1409996898829,AA2
125,KP0222_AC_SQ20,KP0222,AC,SQ20,20,42881.433548201,-46.055412066448,-19.7328327547852,AA2
127,KP0225_AC_SQ20,KP0225,AC,SQ20,20,42880,-46.9238507462399,-20.1708110344804,AA2
131,KP0229_AC_SQ20,KP0229,AC,SQ20,20,42880.6587623691,-46.4691386263781,-19.8793800357808,AA2
138,KP0236_AC_SQ20,KP0236,AC,SQ20,20,42883.6972983371,-46.2671924096877,-20.0487625738825,AA2
139,KP0237_AC_SQ20,KP0237,AC,SQ20,20,42890.3639358523,-46.1741355464472,-19.9149916820366,AA2
144,KP0242_AC_SQ20,KP0242,AC,SQ20,20,42888.0522129077,-45.4584361118727,-20.2008185287235,AA2
154,KP0251_AC_SQ20,KP0251,AC,SQ20,20,42897.7696708729,-44.8349278036173,-19.9661116707577,AA2
160,KP0257_AC_SQ20,KP0257,AC,SQ20,20,42904.2036188479,-45.6052878045468,-20.3937399581053,AA2
163,KP0261_AC_SQ20,KP0261,AC,SQ20,20,42904.0223318316,-45.7245042818093,-20.2972396741048,AA2
188,KP0269_AC_SQ20,KP0269,AC,SQ20,20,42901.7796128086,-45.9550059103687,-19.7396715154575,AA2
172,KP0272_AC_SQ20,KP0272,AC,SQ20,20,42901.5645851748,-45.2287267510346,-19.9064728992243,AA2
180,KP0279_AC_SQ20,KP0279,AC,SQ20,20,42900.9147145394,-46.4063487772077,-19.7004017966119,AA2
186,KP0284_AC_SQ20,KP0284,AC,SQ20,20,42904.1564957347,-47.155,-20.2752757908277,AA2
348,KP0289_AC_WP20,KP0289,AC,WP20,20,4.97331799776168,-46.6662746667244,-20.3596413684651,AA2
350,KP0291_AC_WP20,KP0291,AC,WP20,20,4.6140915424928,-46.6848732681723,-20.3863650696224,AA2
351,KP0292_AC_WP20,KP0292,AC,WP20,20,4.58180505409214,-46.7750635230369,-20.0385645198575,AA2
353,KP0294_AC_WP20,KP0294,AC,WP20,20,3.16162888199247,-47.424102721252,-20.3482498057789,AA2
