10.3583	10.3583	10.3583	10.3583	10.3583	10.3583	10.3583	10.3583	10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.3586	10.3586	10.3586	10.3586	10.3586	10.3586	10.6661	10.6662	10.6661	10.6661	10.6661	10.6661	10.6663	10.6663	10.6663	10.6664	0.333476	0.334198																																														
10.3583	10.3583	10.3583	10.3582	10.3582	10.3583	10.3583	10.3583	10.3584	10.3584	10.3583	10.3583	10.3583	10.3584	10.3586	10.3585	10.3585	10.3585	10.3586	10.3586	10.6661	10.6662	10.6661	10.6661	10.6661	10.6661	10.6663	10.6663	10.6663	10.6664	0.246982	0.594898	0.42216																																													
10.3584	10.3583	10.3583	10.3583	10.3583	10.3583	10.3584	10.3584	10.3585	10.3584	10.3584	10.3584	10.3584	10.3585	10.3587	10.3586	10.3586	10.3586	10.3587	10.3587	10.6661	10.6662	10.6662	10.6661	10.6661	10.6662	10.6663	10.6663	10.6664	10.6665	1.09734	1.18883	0.712425	0.718585																																												
10.3584	10.3584	10.3584	10.3583	10.3583	10.3583	10.3584	10.3584	10.3585	10.3585	10.3584	10.3584	10.3584	10.3585	10.3587	10.3586	10.3586	10.3586	10.3587	10.3587	10.6661	10.6662	10.6662	10.6662	10.6662	10.6662	10.6663	10.6663	10.6664	10.6665	1.23536	1.17872	0.735196	1.24163	0.952965																																											
10.3584	10.3584	10.3584	10.3583	10.3583	10.3584	10.3584	10.3584	10.3585	10.3585	10.3584	10.3584	10.3584	10.3585	10.3587	10.3586	10.3586	10.3586	10.3587	10.3587	10.6661	10.6662	10.6662	10.6662	10.6662	10.6662	10.6663	10.6663	10.6664	10.6665	1.30471	1.25518	0.84215	1.2977	0.978414	-1.33743																																										
10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.3585	10.3585	10.3585	10.3585	10.3585	10.3585	10.3587	10.3586	10.3587	10.3587	10.3587	10.3587	10.6661	10.6663	10.6662	10.6662	10.6662	10.6662	10.6663	10.6663	10.6664	10.6665	1.43769	1.41551	1.03506	1.37606	0.932079	0.030262	-0.21786																																									
10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.3585	10.3585	10.3585	10.3585	10.3585	10.3585	10.3587	10.3587	10.3587	10.3587	10.3587	10.3587	10.6661	10.6663	10.6662	10.6662	10.6662	10.6662	10.6664	10.6664	10.6664	10.6665	1.52909	1.50884	1.16882	1.46725	1.03779	0.327759	0.131084	-0.906602																																								
10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.3585	10.3585	10.3585	10.3585	10.3585	10.3586	10.3587	10.3587	10.3587	10.3587	10.3588	10.3587	10.6662	10.6663	10.6662	10.6662	10.6662	10.6662	10.6664	10.6664	10.6664	10.6665	1.62475	1.61313	1.30414	1.54858	1.10653	0.661357	0.526152	-0.0808969	-0.592132																																							
10.3584	10.3584	10.3583	10.3583	10.3583	10.3583	10.3584	10.3584	10.3585	10.3584	10.3584	10.3584	10.3584	10.3585	10.3587	10.3586	10.3586	10.3586	10.3587	10.3587	10.6661	10.6662	10.6662	10.6662	10.6662	10.6662	10.6663	10.6663	10.6664	10.6665	1.1555	1.19331	0.646275	0.939975	-0.0646299	0.540693	0.559765	0.47719	0.651674	0.783366																																						
10.3584	10.3584	10.3584	10.3583	10.3583	10.3583	10.3584	10.3584	10.3585	10.3585	10.3584	10.3584	10.3584	10.3585	10.3587	10.3586	10.3586	10.3586	10.3587	10.3587	10.6661	10.6662	10.6662	10.6662	10.6662	10.6662	10.6663	10.6663	10.6664	10.6665	1.26033	1.29823	0.822178	1.04629	0.0126344	0.64271	0.634856	0.459295	0.603562	0.698911	-0.999248																																					
10.3581	10.3581	10.3581	10.358	10.358	10.358	10.3581	10.3581	10.3582	10.3582	10.3581	10.3581	10.3581	10.3582	10.3584	10.3583	10.3583	10.3583	10.3584	10.3584	10.6659	10.666	10.666	10.6659	10.6659	10.666	10.6661	10.6661	10.6662	10.6663	1.80941	1.82099	2.01368	1.9197	2.18263	2.24319	2.27039	2.33096	2.36946	2.41355	2.22431	2.25975																																				
10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3581	10.3582	10.3582	10.3582	10.3582	10.3582	10.3582	10.3584	10.3584	10.3584	10.3584	10.3584	10.3584	10.6659	10.666	10.666	10.666	10.666	10.666	10.6661	10.6661	10.6662	10.6663	1.65455	1.64888	1.88249	1.81137	2.09649	2.12823	2.15897	2.23144	2.27363	2.3242	2.12898	2.16969	0.284092																																			
