Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4,Clusters,Taxa,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4,taxaQ.Clust1,taxaQ.Clust2
KP0530_AC_WP20,WP20,WP,20, 0.88046490, 1.45712698, 1.474118e-02, 0.969656068,Clust2,Clust2,0.013919,0.986061,0.000010,0.000010,0.000010,0.999990
KP0532_AC_WP20,WP20,WP,20, 0.98202833, 1.64159026,-6.419343e-01,-1.149251872,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0533_AC_WP20,WP20,WP,20, 1.04734955, 1.69916199,-7.726605e-02,-0.445262329,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0535_AC_WP20,WP20,WP,20, 0.97564180, 1.78178769,-2.105527e-01, 0.351542103,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0536_AC_WP20,WP20,WP,20, 1.25279406, 1.52733894,-4.121093e-01,-0.687206476,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0537_AC_WP20,WP20,WP,20, 0.45692909, 1.75687311,-1.411249e-01,-0.976825522,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0545_AC_WP20,WP20,WP,20, 1.10940492, 1.81438221, 1.267560e-01,-0.713331613,Clust2,Clust2,0.005413,0.913783,0.000010,0.080794,0.000010,0.999990
KP0546_AC_WP20,WP20,WP,20, 0.93597728, 0.96363711,-5.452350e-02, 1.294327865,Clust2,Clust2,0.000010,0.868611,0.053909,0.077469,0.000010,0.999990
KP0554_AC_WP20,WP20,WP,20, 1.63196115, 0.96948716, 8.351595e-01, 0.355779452,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
KP0559_AC_WP20,WP20,WP,20,-6.87026939, 0.24130171,-2.231063e-02, 0.082866554,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0563_AC_WP20,WP20,WP,20,-8.72548092, 0.33278912, 1.388313e-01,-0.165795917,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0568_AC_WP20,WP20,WP,20, 1.24824905, 1.19996658,-4.456298e-01, 0.839492753,Clust2,Clust2,0.000010,0.967846,0.032134,0.000010,0.007133,0.992867
KP0569_AC_WP20,WP20,WP,20,-9.24793997, 0.47277726, 7.154114e-02, 0.060293029,Clust1,Clust1,0.999970,0.000010,0.000010,0.000010,0.999990,0.000010
KP0571_AC_WP20,WP20,WP,20, 1.13688756, 1.51479930,-4.303523e-01, 0.362757426,Clust2,Clust2,0.000010,0.999970,0.000010,0.000010,0.000010,0.999990
