Individual,Site,Loc,Depth,PC1,PC2,Clusters,Taxa,Q.Clust1,Q.Clust2,taxaQ.Clust1,taxaQ.Clust2
KP0657_LM_SB20,SB20,SB,20, 2.230314,-1.002566769,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0664_LM_SB20,SB20,SB,20,-4.104445,-0.438022054,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0666_LM_SB20,SB20,SB,20,-3.544029,-1.039821057,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0670_LM_SB20,SB20,SB,20,-1.240990, 0.410915187,Clust1,NA,0.532885,0.467115,0.532885,0.467115
KP0671_AC_SB20,SB20,SB,20, 1.694866,-0.745182997,Clust2,Clust2,0.021555,0.978445,0.021555,0.978445
KP0676_LM_SB20,SB20,SB,20,-3.565988,-0.565400374,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0677_LM_SB20,SB20,SB,20, 1.627220, 0.730484414,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0680_LM_SB20,SB20,SB,20, 1.790778, 0.085542292,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0682_LM_SB20,SB20,SB,20, 1.223993, 1.647081279,Clust2,Clust2,0.040418,0.959582,0.040418,0.959582
KP0694_LM_SB20,SB20,SB,20, 1.304778,-1.353949337,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0706_LM_SB20,SB20,SB,20, 1.524618, 0.469273916,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0707_LM_SB20,SB20,SB,20, 1.944839,-1.305514090,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0716_LM_SB20,SB20,SB,20,-3.927647,-0.715370300,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0718_LM_SB20,SB20,SB,20, 1.871958, 0.208598268,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0723_NA_NANA,SB20,SB,20, 1.487100, 0.436558905,Clust2,Clust2,0.032115,0.967885,0.032115,0.967885
KP0731_LM_SB20,SB20,SB,20,-3.952833,-0.467366561,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0732_LM_SB20,SB20,SB,20, 1.793110, 0.722266932,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0765_AC_WP10,WP10,WP,10-12, 1.389678, 0.227343458,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0795_LM_WP10,WP10,WP,10-12, 1.918280, 0.988674849,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP0851_AC_WP10,WP10,WP,10-12,-3.951463, 1.060935605,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP0870_LM_WP10,WP10,WP,10-12,-2.771817,-0.127319690,Clust1,Clust1,0.948519,0.051481,0.948519,0.051481
KP0893_LM_WP10,WP10,WP,10-12, 1.812371, 0.291631775,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP1043_LM_CA10,CA10,CA,10-12,-3.287694,-0.376178478,Clust1,Clust1,0.970367,0.029633,0.970367,0.029633
KP1061_LM_CA20,CA20,CA,20, 1.785896, 0.070232931,Clust2,Clust2,0.008409,0.991591,0.008409,0.991591
KP1064_LM_CA20,CA20,CA,20,-3.984831, 0.257300187,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP1065_LM_CA20,CA20,CA,20,-3.866050, 0.471790147,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP1093_LM_CA20,CA20,CA,20,-3.405456, 0.348068486,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP1094_LM_CA20,CA20,CA,20,-3.172980,-0.008821505,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP1095_HU_CA20,CA20,CA,20, 1.939590, 1.508591999,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP1101_LM_CA20,CA20,CA,20,-3.728248,-1.145641678,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP1103_LM_CA20,CA20,CA,20, 1.718411,-0.995147443,Clust2,Clust2,0.035159,0.964841,0.035159,0.964841
KP1118_LM_CA20,CA20,CA,20, 1.101184,-0.621741555,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP1119_LM_CA20,CA20,CA,20, 1.694001,-0.511604996,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP1123_LM_CA20,CA20,CA,20,-4.187887, 1.084985123,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP1124_AC_CA20,CA20,CA,20, 1.837862, 0.905692866,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP1126_LM_CA20,CA20,CA,20,-3.331746,-0.275377058,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KP1133_LM_CA20,CA20,CA,20, 1.988986, 0.997660132,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP1144_LM_CA20,CA20,CA,20, 1.301284, 0.437067073,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP1160_UN_CA20,CA20,CA,20, 1.613174, 0.993092689,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP1164_LM_CA20,CA20,CA,20, 1.441682,-0.531782890,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP1166_LM_CA20,CA20,CA,20, 1.781952,-1.433449000,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
KP1167_LM_CA20,CA20,CA,20,-3.628519,-0.692972585,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KX0330_LM_WP20,WP20,WP,20,-3.553660,-0.156383643,Clust1,Clust1,0.999990,0.000010,0.999990,0.000010
KY0578_AC_WP20,WP20,WP,20, 1.713854, 0.331121442,Clust2,Clust2,0.000010,0.999990,0.000010,0.999990
