Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6,Clusters,Taxa,taxaQ.Clust1,taxaQ.Clust2,taxaQ.Clust3,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0292_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.88672789,-2.2439586, 3.509176e-02, 0.0457781656,-6.706967e-02,-9.839788e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0293_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.42815039,-1.9026418,-3.752391e-02,-0.1994129826,-9.826396e-01, 4.856356e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.057045,0.000010,0.942935
KP0294_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.32515359,-2.4137718,-3.976490e-01, 0.0021065157, 2.130959e-02,-4.972521e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0296_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.36685906,-2.3681204,-3.734166e-01,-0.0034137659,-3.442590e-02,-6.920812e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0301_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.26314736,-2.3124016,-3.016587e-01,-0.0357543105, 2.511928e-02,-3.902008e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0304_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.41068243,-2.3641088,-4.329993e-01,-0.0487055013, 1.218330e-02,-5.345805e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0305_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.46532170,-2.4485340,-5.280135e-01, 0.0250484029,-3.225808e-02,-2.026944e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0308_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.96453910,-1.7981953, 4.821459e-03, 0.1660004246,-1.092123e+00, 5.961696e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0311_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.25546289,-1.9262590, 3.382520e+00, 0.0968801099,-1.009070e-01,-4.225950e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999962,0.000010,0.000011,0.000017
KP0314_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.38134894,-2.3895155,-3.523085e-01,-0.0165290719, 8.130442e-02,-3.902209e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0317_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.84088309,-2.0325457,-3.738390e-01, 0.0049369198,-6.050800e-02,-6.569764e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0319_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.22459399,-2.2097220, 7.253104e-03, 0.0833225361,-1.046037e+00,-1.476943e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.002897,0.000010,0.997083
KP0322_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.35813438,-1.8890282, 3.427263e-02, 0.0475794280, 2.106829e+00, 8.016324e-02,Clust2,Clust2,0.000010,0.999980,0.000010,0.000010,0.871153,0.000010,0.128827
KP0323_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.48563656,-2.4452199,-2.819831e-01, 0.0096221411,-3.486040e-02, 4.549446e-02,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0326_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.93407394,-2.4146060,-2.941054e-01, 0.0092999958,-2.217305e-02,-5.498541e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0328_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.27412737,-1.9456732, 1.201030e-01,-0.0780186969, 2.667641e+00, 7.919519e-02,Clust2,Clust2,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010
KP0329_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.77275172,-2.1146800,-4.610608e-01,-0.0320841725, 7.054886e-03,-8.678734e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0332_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.34276547,-2.3162744,-3.309042e-01,-0.0372497575,-5.921360e-02,-2.180940e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0335_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.47142448,-2.4767472,-4.176217e-01, 0.0227950106,-2.361089e-02,-9.842538e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0340_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.56333108,-1.9004795,-3.108527e-01, 0.0561598346,-5.202301e-03, 8.104682e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0341_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.15256155,-2.0118885,-5.574079e-02, 0.1160007442,-5.811556e-01,-7.506693e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.107553,0.000010,0.892427
KP0346_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.90658968,-2.0686171,-3.885397e-02, 0.0529374194,-6.680715e-02,-4.258055e-01,Clust1,Clust1,0.999977,0.000010,0.000013,0.999970,0.000010,0.000010,0.000010
KP0347_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.33810289,-2.1052412, 3.536133e+00, 0.1172729853,-4.199487e-02,-2.888473e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0348_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.39565907,-2.1383630,-4.958439e-03, 0.1719179457,-8.702179e-01, 7.608085e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0350_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.57502915,-2.1332120, 1.425724e-02,-0.0079086085,-9.340750e-01,-4.868485e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0354_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.48120450,-2.4248365,-4.351909e-01,-0.0257709849,-3.439545e-02,-6.002072e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0355_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.63002125,-1.9730556,-3.132626e-01,-0.0091904836,-2.404127e-02,-6.779815e-01,Clust1,Clust1,0.999978,0.000010,0.000012,0.999970,0.000010,0.000010,0.000010
KP0360_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.53128254,-2.4615744,-4.051542e-02, 0.0166912339,-1.115778e-02,-6.410871e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0365_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.37154163,-2.3055200,-4.143753e-01,-0.0483039654,-9.762961e-02,-1.157853e-02,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0368_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.38548353,-2.5201767,-7.989307e-01,-0.0296963813,-1.373827e-02, 4.669109e-02,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0369_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.34703449,-2.1772302, 3.560225e+00, 0.1494216471,-6.413401e-02, 9.123353e-02,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0372_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.52438675,-2.4329553,-1.238305e-01, 0.0071176770,-4.580748e-02,-8.634729e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0374_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.25740410,-2.3057295,-1.753324e-01,-0.0022112665, 4.452789e-03,-5.396624e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0375_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.99174666,-1.9640904, 1.406410e-01, 0.0450822203,-7.090988e-01,-4.626423e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.008281,0.000010,0.991699
KP0377_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.92150553,-1.8885334,-1.878989e-01,-0.1893414744, 1.740283e+00, 7.084733e-02,Clust2,Clust2,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010
KP0378_AC_WP20,AA,AC_WP20,WP,WP20,20,  0.03506763, 6.8347591,-1.990104e-01, 1.1868577797, 1.146313e-01,-3.571688e-01,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0379_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.18036840,-1.7623632, 2.632840e+00, 0.1602627470, 2.454558e-02,-2.166566e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0380_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.46761575,-2.1543762, 2.220439e-02,-0.1310784006,-1.044209e+00, 2.907691e-02,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0383_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.45115079,-2.3174079,-7.901240e-01,-0.0527710668, 3.148416e-02,-5.160527e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0395_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.28399722,-2.0952904, 4.016072e+00, 0.1348792295,-7.130825e-03,-2.985708e-02,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0396_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.22783056,-2.0456122, 4.004374e+00, 0.1277115909,-9.469957e-04,-2.493560e-02,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0399_LM_WP20,AA,LM_WP20,WP,WP20,20,  3.29116422,-2.0632680, 3.750818e+00, 0.1238895460,-2.259125e-02, 4.008806e-02,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0400_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.86579713,-1.8797354,-1.977825e-02,-0.0645052163, 2.415822e+00, 3.517900e-02,Clust2,Clust2,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010
KP0405_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.53776414,-2.4928932,-5.996458e-01,-0.0004134582, 6.067779e-02,-8.750440e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0406_NA_NANA,AA,NA_NANA,WP,NANA,20,  3.38168392,-2.5400375,-4.749471e-01, 0.0391160565, 2.246918e-02,-4.001235e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0407_AC_CA05,AA,AC_CA05,CA,CA05,5,  2.42465398,-2.1134186,-5.123261e-01, 0.1074909651, 1.280669e-01, 7.187207e-01,Clust1,Clust1,0.999977,0.000010,0.000013,0.999970,0.000010,0.000010,0.000010
KP0408_AC_CA05,AA,AC_CA05,CA,CA05,5,  3.38909651,-2.3831868,-4.123896e-02, 0.0242521228,-4.902199e-02, 2.248057e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0409_AC_CA05,AA,AC_CA05,CA,CA05,5,  2.98511849,-2.2791920,-4.858462e-01, 0.0823848687, 1.220994e-02, 1.650570e-02,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0410_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.44667084, 8.2810557,-8.556406e-02, 1.0929473153, 3.587323e-02,-6.311066e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0413_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.19073098, 7.4695379, 8.880389e-03, 0.6197197734,-3.164618e-02,-9.832231e-04,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0414_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.20727493, 7.8909694,-1.551888e-02, 1.5748619148, 8.037636e-02, 2.542630e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0417_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.30525850, 8.3128733,-1.299382e-01, 1.2836497053, 1.172457e-01, 5.931545e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0418_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.16749264, 8.3732030,-6.482276e-02, 1.1307573440, 1.861035e-02,-3.137579e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0420_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.16187659, 8.1030234,-1.269260e-01, 1.5560176590,-9.645953e-02, 1.261961e-01,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0423_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.50183946, 6.9055837, 1.589811e-02, 1.0834181436,-9.390956e-02, 5.346503e-03,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0424_AC_CA05,AA,AC_CA05,CA,CA05,5,  3.51321230,-2.4036400,-4.541409e-01,-0.0157741873,-5.973185e-02, 7.215341e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0426_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.36954194, 8.0158897,-9.383435e-02, 0.9535829717,-3.214316e-03, 2.501973e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0427_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.27179230, 7.7860701,-3.364584e-02, 1.1699554648,-4.261674e-02,-8.362355e-04,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0429_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.23742897, 8.2070625,-1.352351e-01, 1.9373166644, 1.697362e-01,-6.214709e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0431_HU_CA05,AH,HU_CA05,CA,CA05,5,  3.38855419,-2.4005691,-4.769881e-01,-0.0017569821,-1.283932e-02,-2.398250e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0432_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.32956602, 7.9374703,-3.335958e-02, 0.4198757535, 2.330800e-02,-8.975303e-03,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0434_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.25109213, 8.0717218,-6.673462e-02, 1.6153930466, 1.086480e-02,-6.464675e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0435_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.25176317, 8.6145361,-8.860645e-02, 1.6815882224, 2.013583e-02,-2.295557e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0436_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.40284413, 7.2595077,-4.449627e-02,-0.4928652944,-4.257658e-02, 1.829450e-01,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0437_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.31116445, 7.3289774, 7.041152e-02,-0.6921877194,-7.205928e-02, 1.033902e-01,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0438_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.38628720, 8.3838710,-1.883805e-01, 1.5956966839, 1.549488e-01,-3.596677e-04,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0439_HU_CA05,AH,HU_CA05,CA,CA05,5,  0.39798461, 8.4159168,-7.034750e-02, 1.5266865215, 1.448847e-02,-3.102042e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0441_AC_CA05,AA,AC_CA05,CA,CA05,5,  3.44659220,-2.4419692,-2.048449e-01,-0.0029466408,-6.594738e-02,-1.197229e-02,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0450_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.04807562,-2.2118998,-4.089291e-01,-0.0449610215, 5.086257e-03,-9.923528e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0452_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.29507321,-1.9928408, 4.013021e+00, 0.1606293763,-2.399618e-04,-4.360546e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0454_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.48600349,-2.4034762,-7.071484e-01,-0.0366646771,-3.350041e-02,-3.110328e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0457_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.43057630,-2.4620727,-5.844553e-01,-0.0208647451, 2.253390e-02,-8.390117e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0459_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.15159920,-1.9482656, 2.843533e-02,-0.0685932500,-1.011011e+00, 8.684111e-05,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0462_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.13895862,-2.1557890,-3.605269e-01,-0.0463934999,-8.506670e-02,-5.649952e-02,Clust1,Clust1,0.995619,0.000010,0.004371,0.995611,0.000010,0.004369,0.000010
KP0463_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.19558975,-1.6092041, 2.660311e+00, 0.1246875408,-2.448219e-02,-1.889615e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0464_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.25011856,-2.2897208,-6.593026e-01, 0.0378308206, 7.343157e-03,-5.494273e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0468_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.29753396,-2.3183528,-4.050448e-01,-0.0161615524,-7.093011e-02,-8.587420e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0470_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.46414502,-2.1195402,-8.412263e-01,-0.0623437100,-7.350977e-02, 3.622877e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0471_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.44963999,-2.4110595,-3.480731e-01,-0.0168098700,-5.743036e-02,-7.134986e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0473_LM_WP20,AL,LM_WP20,WP,WP20,20,-11.19746435,-2.0742928,-2.661569e-03,-0.0357631128, 2.288045e+00, 6.074899e-02,Clust2,Clust2,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010
KP0474_AC_WP20,AA,AC_WP20,WP,WP20,20,  0.38261930, 8.3671492,-5.470771e-02, 1.4953577566, 5.929252e-02, 9.154850e-03,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0477_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.25265669,-2.1893671,-6.332027e-01,-0.0676086241, 1.037170e-01,-3.619464e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0479_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.32336333,-1.7153925,-5.616216e-01,-0.0636893523, 4.138903e-02,-6.894016e-01,Clust1,Clust1,0.999973,0.000010,0.000017,0.999970,0.000010,0.000010,0.000010
KP0481_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.47146944,-2.3811327,-5.667850e-01,-0.0399527281,-2.584913e-02,-1.035420e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0482_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.31182466,-1.7710674, 2.350315e-02, 0.0807779204,-1.251728e+00,-1.413554e-01,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.000010,0.000010,0.999970
KP0484_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.13644704,-2.3116822,-4.512611e-01,-0.0263579152,-1.174503e-02,-7.594870e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0485_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.57418030,-2.4633070,-4.732437e-01,-0.0107987809,-3.744783e-02,-7.055941e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0486_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.05484914,-1.8275179, 3.441899e+00, 0.1357292698,-8.506015e-02,-1.265321e-01,Clust1,Clust1,0.999972,0.000010,0.000018,0.999970,0.000010,0.000010,0.000010
KP0487_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.61221508,-2.5176748,-5.236914e-01,-0.0143219172, 3.928443e-03,-7.943434e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0489_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.42781293,-2.3475258, 1.020014e-01, 0.0103340354, 5.583537e-03,-4.145282e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0490_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.21321125,-2.1797285,-5.265661e-01, 0.0210816672,-5.228192e-02,-9.054442e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0491_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.45939809,-2.3770655,-3.310032e-01,-0.0138407942,-2.219768e-02,-1.453945e+00,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0494_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.20404340,-2.3973904,-8.233866e-01,-0.0410296689, 3.076072e-02,-7.980369e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0505_AC_WP20,AA,AC_WP20,WP,WP20,20,  2.18934659,-1.7509743,-5.101725e-01, 0.1291611136, 4.095769e-02, 1.779749e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0508_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.44825128,-2.4615625,-6.324258e-01, 0.0059734690,-2.558268e-02,-6.693431e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0512_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.49878015,-2.4417351,-3.704417e-01,-0.0011853860, 1.682437e-02,-5.248417e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0516_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.37758607,-2.3770136,-4.616177e-01,-0.0205976122,-8.035533e-02,-4.806499e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0521_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.24731755,-2.3617715,-1.860150e-01,-0.0108033349,-4.314234e-02,-1.004630e+00,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0523_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.41534752,-2.3492374,-4.622174e-01,-0.0284866160, 2.896794e-02,-9.000072e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0529_LM_WP20,AL,LM_WP20,WP,WP20,20, -3.30494372,-2.3850282,-5.213923e-01,-0.0874724515,-2.455435e-01,-7.196874e-01,Clust1,NA,0.520245,0.479745,0.000010,0.510360,0.185138,0.000010,0.304492
KP0530_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.33438445,-2.4098369,-4.431718e-01,-0.0186165719, 7.575185e-02,-6.337289e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0532_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.40131686,-2.3090210,-1.321789e-01,-0.0353363418, 4.097667e-02,-8.107121e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0533_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.21764073,-2.2765388,-6.172946e-03,-0.0149259898, 5.119847e-02,-6.669755e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0535_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.41927596,-2.4761413,-3.139417e-01, 0.0187419663,-3.226331e-02,-6.744602e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0536_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.18282140,-2.2415942,-2.629002e-01, 0.0119474792,-5.132991e-02,-1.019023e+00,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0537_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.49400754,-2.3791061,-4.518569e-01,-0.0266562389, 8.360642e-03,-7.513903e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0540_AC_WP20,AA,AC_WP20,WP,WP20,20,  0.35980532, 8.5032762,-2.014824e-01, 1.6010283540, 5.254334e-02, 2.872040e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0545_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.21792518,-2.2878642,-1.203810e-01,-0.0501137212, 2.009401e-02,-4.590747e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0546_AC_WP20,AA,AC_WP20,WP,WP20,20,  3.46240549,-2.5144200,-5.705291e-01, 0.0037162032,-1.124557e-02,-4.614548e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0547_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.69972079,-2.0193806, 7.066155e-02, 0.0289834735, 2.424747e+00, 8.752701e-02,Clust2,Clust2,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010
KP0548_LM_WP20,AL,LM_WP20,WP,WP20,20,-10.63817573,-1.8799081,-3.378845e-02,-0.0563039751, 1.891349e+00,-2.602702e-02,Clust2,Clust2,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010
