Individual,Species,Population,Loc,Site,Depth,PC1,PC2,PC3,PC4,PC5,PC6,Clusters,Taxa,taxaQ.Clust1,taxaQ.Clust2,taxaQ.Clust3,Q.Clust1,Q.Clust2,Q.Clust3,Q.Clust4
KP0102_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.55039615,-2.4531234,-4.305133e-01, 0.0121070940, 3.933223e-02, 5.210623e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0104_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.20860346,-2.3511016,-5.428505e-01,-0.0372313822, 1.441296e-02, 6.711988e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0108_AC_SB10,AL,AC_SB10,SB,SB10,10-12,-10.62901977,-1.7655876, 6.871800e-02,-0.0410834800,-8.541918e-01,-6.707213e-03,Clust4,Clust2,0.000010,0.999980,0.000010,0.000010,0.050995,0.000010,0.948985
KP0109_LM_SB10,AA,LM_SB10,SB,SB10,10-12,  2.66644060,-2.0584435,-5.098572e-01,-0.0602272511, 8.385695e-02, 7.903738e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0111_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  0.37683380, 8.5136752,-9.912282e-02, 1.5969302182,-4.638342e-02,-5.387800e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0112_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.55123922,-2.5495122,-5.224722e-01, 0.0137573899, 5.157364e-02, 7.161820e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0116_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.18267509,-2.2644046, 1.831003e-01,-0.0090885429, 3.283163e-02, 1.106627e+00,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0120_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.40502579,-2.4307610,-4.874714e-01, 0.0019148599,-4.294044e-02, 5.277416e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0121_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  2.99751387,-2.2149731,-3.933239e-01, 0.0094586297,-6.895029e-02, 1.060626e+00,Clust1,Clust1,0.997757,0.002233,0.000010,0.997722,0.000010,0.000010,0.002258
KP0122_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  2.72826197,-2.1432514,-4.601028e-01,-0.0167115933, 5.593054e-02, 1.614581e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0123_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.30662587,-2.4514786,-2.310927e-01, 0.0006738803,-6.087609e-02, 8.543697e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0125_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.17850829,-2.3402323,-2.752408e-01, 0.0368889843,-8.463400e-02, 6.711532e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0127_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  3.21425545,-2.3982147,-5.914360e-01, 0.0356619914, 6.630510e-02, 3.914008e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0129_AC_SB10,AA,AC_SB10,SB,SB10,10-12,  2.46495148,-2.1534531,-4.254770e-01, 0.1473188535,-4.227326e-02, 2.434399e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0130_AC_SB05,AA,AC_SB05,SB,SB05,5,  0.27846506, 7.6578331,-1.724628e-02,-2.9595342225,-7.354022e-02,-7.515894e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
KP0131_HU_SB05,AH,HU_SB05,SB,SB05,5,  2.94989507,-2.1699845,-2.072717e-01,-0.0199085172,-1.136661e-01,-4.910942e-01,Clust1,Clust1,0.999980,0.000010,0.000010,0.999970,0.000010,0.000010,0.000010
KP0132_HU_SB05,AH,HU_SB05,SB,SB05,5,  0.09688368, 7.6263942, 1.380233e-01,-2.3309997248,-2.117735e-01,-2.354079e-02,Clust3,Clust3,0.000010,0.000010,0.999980,0.000010,0.000010,0.999970,0.000010
