,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0439_HU_CA05,KP0439_HU_CA05,CA05,CA,5,-5.85162719913735,-1.40499817506835,-5.13904921677352,3.31803725353313
KP0442_HU_CA05,KP0442_HU_CA05,CA05,CA,5,-5.88599775514665,-1.23817135140328,-0.320942657004607,3.20656013804552
KP0474_AC_WP20,KP0474_AC_WP20,WP20,WP,20,-5.48201252634909,-2.04392396732814,4.13544872030663,3.50974843910265
KP0540_AC_WP20,KP0540_AC_WP20,WP20,WP,20,-5.80697227303213,-1.56304080449038,2.26826516688329,1.91805657059224
KP0552_AC_WP20,KP0552_AC_WP20,WP20,WP,20,-6.89766406822385,-3.70065823533865,1.1617681321359,-3.51473447241807
KP0582_AC_WP20,KP0582_AC_WP20,WP20,WP,20,-3.89782856810581,0.331482371002666,2.73632684675636,2.02782066624947
KP0639_LM_SB20,KP0639_LM_SB20,SB20,SB,20,-6.24654797159914,-3.04445724527957,2.12766235360357,-5.16707213765755
KP0739_HU_WP10,KP0739_HU_WP10,WP10,WP,10-12,-6.52495558988378,-2.48530100367285,1.43885103949499,2.37162727997342
KP0740_HU_WP10,KP0740_HU_WP10,WP10,WP,10-12,-5.42704947242611,-2.07613526828289,4.05465461104241,3.26732998756774
KP0744_HU_WP10,KP0744_HU_WP10,WP10,WP,10-12,2.99397725471268,11.6943772978056,-0.855344805244046,-1.13810550427164
KP0764_HU_WP10,KP0764_HU_WP10,WP10,WP,10-12,-6.34003653319932,-2.15716320609282,3.67731240151626,1.2436578635504
KP0768_HU_WP10,KP0768_HU_WP10,WP10,WP,10-12,3.22858523363978,12.2766207045502,-0.178943601169973,-0.493507519460499
KP0770_AC_WP10,KP0770_AC_WP10,WP10,WP,10-12,2.90538731611111,12.690232786622,-0.424787119223766,0.0914860015005378
KP0774_AC_WP10,KP0774_AC_WP10,WP10,WP,10-12,14.1945679340784,-3.10007470659588,0.03699582331732,0.611721452303244
KP0775_AC_WP10,KP0775_AC_WP10,WP10,WP,10-12,15.0656009597145,-3.32659586714518,-0.216178400771326,-0.196524531781871
KP0783_HU_WP10,KP0783_HU_WP10,WP10,WP,10-12,15.015658702842,-2.50907590034448,-0.255483230233915,0.322728043885612
KP0785_AC_WP10,KP0785_AC_WP10,WP10,WP,10-12,-3.35037917374474,1.45651349231767,1.89321467375458,-0.381032140695991
KP0786_HU_WP10,KP0786_HU_WP10,WP10,WP,10-12,-1.022897339555,4.73089572098086,0.899760389386919,1.27931145350881
KP0789_HU_WP10,KP0789_HU_WP10,WP10,WP,10-12,-4.94755133557103,-1.35549926649962,3.81887624947431,3.40769505956219
KP0798_HU_WP10,KP0798_HU_WP10,WP10,WP,10-12,-6.08217451084853,-1.65549581801046,1.45048600091664,1.24865734718162
KP0803_HU_WP10,KP0803_HU_WP10,WP10,WP,10-12,-4.7128630955977,-0.592114372478463,1.91562992930631,1.60909048761154
KP0805_HU_WP10,KP0805_HU_WP10,WP10,WP,10-12,-6.19214601202173,-1.68513849033711,2.78537416751664,1.08071784605243
KP0814_HU_WP10,KP0814_HU_WP10,WP10,WP,10-12,-6.35560611490973,-1.92508599651209,1.47969100373783,1.45185729734949
KP0818_HU_WP10,KP0818_HU_WP10,WP10,WP,10-12,15.5035491346271,-3.08627275435311,0.435459000399466,-0.576552753560374
KP0826_AC_WP10,KP0826_AC_WP10,WP10,WP,10-12,2.60402090866288,10.7063981229456,0.204406108611241,-1.28929274875441
KP0827_AC_WP10,KP0827_AC_WP10,WP10,WP,10-12,-4.54349387541395,0.744397661345934,2.0763510489114,0.291115161629861
KP0829_AC_WP10,KP0829_AC_WP10,WP10,WP,10-12,-5.4642138501063,-1.85253122290515,3.92388876591834,0.307127469672334
KP0831_HU_WP10,KP0831_HU_WP10,WP10,WP,10-12,-6.16914384922129,-2.09825007794517,2.01292771282062,-1.01363291764253
KP0838_AC_WP10,KP0838_AC_WP10,WP10,WP,10-12,-5.19456696749654,-0.702805218170902,2.29908521630437,2.60270804673671
KP0839_HU_WP10,KP0839_HU_WP10,WP10,WP,10-12,-3.72319485856647,1.95108154980713,0.750383792421799,0.834166722177783
KP0841_AC_WP10,KP0841_AC_WP10,WP10,WP,10-12,-5.91416944113027,-2.52867985275101,1.26275358805033,1.16874698434306
KP0845_AC_WP10,KP0845_AC_WP10,WP10,WP,10-12,-5.48724220359112,-1.66267913047509,2.19208505455013,0.362416486518933
KP0847_HU_WP10,KP0847_HU_WP10,WP10,WP,10-12,-5.73578398385638,-1.80331657565881,4.51728254767807,1.16365537611648
KP0850_AC_WP10,KP0850_AC_WP10,WP10,WP,10-12,-4.12713525963897,1.36471781449204,1.83377567663413,0.974271486823724
KP0853_HU_WP10,KP0853_HU_WP10,WP10,WP,10-12,-2.60858395395886,3.57492798419221,1.4153024212523,1.8114356249717
KP0859_HU_WP10,KP0859_HU_WP10,WP10,WP,10-12,-6.26718665294266,-2.45116352640037,2.66457035176753,0.589375721366177
KP0875_AC_WP10,KP0875_AC_WP10,WP10,WP,10-12,-5.58700842487103,-2.09122154275357,2.16053930491891,-0.786205734738551
KP0876_HU_WP10,KP0876_HU_WP10,WP10,WP,10-12,-6.09153437547683,-1.81083392055462,0.771544390318522,1.55352361350672
KP0877_HU_WP10,KP0877_HU_WP10,WP10,WP,10-12,-5.90345754324435,-1.73020418906257,3.33839050150462,2.5610202148411
KP0878_AC_WP10,KP0878_AC_WP10,WP10,WP,10-12,-5.66576520730352,-1.42755514513729,3.44941642226621,2.30527743341841
KP0886_AC_WP10,KP0886_AC_WP10,WP10,WP,10-12,14.9896970583242,-3.38553882260485,-0.320876859501915,-0.0817513372154633
KP0888_AC_WP10,KP0888_AC_WP10,WP10,WP,10-12,2.89947288612937,11.8008501326999,-0.252117398898877,0.485416654049677
KP0899_LM_WP10,KP0899_LM_WP10,WP10,WP,10-12,-2.10659280881198,3.75553921468215,2.04830672219846,0.743267389057083
