OffspringID1,OffspringID2,Probability
KP0243_AC_SQ20,KP0247_AC_SQ20, 0.998
KP0255_AC_SQ20,KP0259_AC_SQ20, 1.000
KP0486_AC_WP20,KP0576_AC_WP20, 1.000
KP0559_AC_WP20,KP0569_AC_WP20, 0.833
KP0569_AC_WP20,KP0590_AC_WP20, 1.000
KP0575_AC_WP20,KP0581_AC_WP20, 1.000
KP0575_AC_WP20,KP0938_HU_WP10, 1.000
KP0581_AC_WP20,KP0938_HU_WP10, 1.000
KP0607_AC_SB20,KP0690_AC_SB20, 0.997
KP0678_AC_SB20,KP0690_AC_SB20, 0.998

