,CA,SB,SQ,WP
CA,0,0.0715404092726344,0.0524234197821463,0.0719769912503437
SB,0.0715404092726344,0,0.0456393871434558,0.10271521797036
SQ,0.0524234197821463,0.0456393871434558,0,0.102625122878886
WP,0.0719769912503437,0.10271521797036,0.102625122878886,0
