,het,het_frac,num_loci
KP0086_LM_SB10,122,0.170391061452514,716
KP0108_AC_SB10,80,0.125391849529781,638
KP0186_AC_SQ12,114,0.164028776978417,695
KP0192_AC_SQ12,134,0.18953323903819,707
KP0203_AC_SQ12,122,0.171830985915493,710
KP0207_LM_SQ12,110,0.156028368794326,705
KP0249_LM_SQ20,129,0.17966573816156,718
KP0252_LM_SQ20,131,0.181944444444444,720
KP0282_LM_SQ20,98,0.145833333333333,672
KP0290_LM_WP20,120,0.167832167832168,715
KP0293_LM_WP20,109,0.152875175315568,713
KP0308_LM_WP20,89,0.142857142857143,623
KP0319_LM_WP20,109,0.153521126760563,710
KP0341_LM_WP20,124,0.175388967468175,707
KP0348_LM_WP20,130,0.184921763869132,703
KP0350_LM_WP20,121,0.166666666666667,726
KP0375_LM_WP20,102,0.155963302752294,654
KP0380_LM_WP20,114,0.160789844851904,709
KP0459_LM_WP20,96,0.137931034482759,696
KP0482_LM_WP20,106,0.167456556082148,633
KP0551_LM_WP20,125,0.172890733056708,723
KP0558_LM_WP20,113,0.160283687943262,705
KP0570_LM_WP20,117,0.163865546218487,714
KP0585_LM_WP20,96,0.135211267605634,710
KP0599_LM_SB20,109,0.151810584958217,718
KP0605_AC_SB20,126,0.180257510729614,699
KP0609_AC_SB20,113,0.158931082981716,711
KP0613_LM_SB20,120,0.16597510373444,723
KP0614_LM_SB20,130,0.182841068917018,711
KP0616_LM_SB20,100,0.145560407569141,687
KP0617_LM_SB20,113,0.160511363636364,704
KP0620_LM_SB20,118,0.165266106442577,714
KP0629_LM_SB20,121,0.170182841068917,711
KP0631_LM_SB20,176,0.261515601783061,673
KP0634_LM_SB20,110,0.156695156695157,702
KP0650_LM_SB20,120,0.168776371308017,711
KP0657_LM_SB20,110,0.151933701657459,724
KP0671_AC_SB20,112,0.170731707317073,656
KP0677_LM_SB20,114,0.15855354659249,719
KP0680_LM_SB20,98,0.150306748466258,652
KP0682_LM_SB20,114,0.167155425219941,682
KP0694_LM_SB20,95,0.144376899696049,658
KP0706_LM_SB20,121,0.171631205673759,705
KP0707_LM_SB20,116,0.160442600276625,723
KP0718_LM_SB20,119,0.163911845730028,726
KP0723_NA_NANA,120,0.169252468265162,709
KP0732_LM_SB20,100,0.13986013986014,715
KP0765_AC_WP10,100,0.151057401812689,662
KP0795_LM_WP10,104,0.147727272727273,704
KP0893_LM_WP10,117,0.167621776504298,698
KP1061_LM_CA20,123,0.171070931849791,719
KP1095_HU_CA20,121,0.168289290681502,719
KP1103_LM_CA20,114,0.157458563535912,724
KP1118_LM_CA20,114,0.17981072555205,634
KP1119_LM_CA20,115,0.158839779005525,724
KP1124_AC_CA20,129,0.178423236514523,723
KP1133_LM_CA20,109,0.15076071922545,723
KP1144_LM_CA20,109,0.151810584958217,718
KP1160_UN_CA20,118,0.164116828929068,719
KP1164_LM_CA20,127,0.176388888888889,720
KP1166_LM_CA20,124,0.172461752433936,719
KY0578_AC_WP20,105,0.158132530120482,664
