,het,het_frac,num_loci
KP0084_AC_SB10,13,0.0239410681399632,543
KP0091_AC_SB10,20,0.0383877159309021,521
KP0130_AC_SB05,13,0.0235507246376812,552
KP0132_HU_SB05,12,0.0240963855421687,498
KP0135_HU_SB05,171,0.308664259927798,554
KP0140_HU_SB05,11,0.02,550
KP0142_HU_SB05,182,0.327338129496403,556
KP0145_HU_SB05,19,0.0345454545454545,550
KP0146_HU_SB05,20,0.0373134328358209,536
KP0147_HU_SB05,87,0.158469945355191,549
KP0148_HU_SB05,95,0.192697768762677,493
KP0149_HU_SB05,27,0.0500927643784787,539
KP0774_AC_WP10,94,0.203023758099352,463
KP0775_AC_WP10,19,0.0376984126984127,504
KP0783_HU_WP10,137,0.25703564727955,533
KP0818_HU_WP10,114,0.205405405405405,555
KP0886_AC_WP10,143,0.261425959780622,547
KP0906_AC_WP10,111,0.209433962264151,530
KP0951_HU_WP10,16,0.0289330922242315,553
KP0959_HU_WP05,124,0.2421875,512
KP0960_HU_WP05,129,0.235831809872029,547
KP0972_HU_WP05,12,0.0243407707910751,493
KP0973_HU_WP05,23,0.0439770554493308,523
KP0979_HU_WP05,139,0.24777183600713,561
KP0980_HU_WP05,19,0.0343580470162749,553
KP0985_AC_WP05,125,0.226039783001808,553
KP0986_HU_WP05,16,0.0287769784172662,556
KP0987_HU_WP05,62,0.117202268431002,529
KP0989_HU_WP05,52,0.0933572710951526,557
