,CA,SB,SQ,WP
CA,0,-0.00461426202724147,-0.00348925931927504,0.00175875825927585
SB,-0.00461426202724147,0,-0.00496149572946822,-0.00112665697184532
SQ,-0.00348925931927504,-0.00496149572946822,0,-0.00386113930831042
WP,0.00175875825927585,-0.00112665697184532,-0.00386113930831042,0
