,het,het_frac,num_loci
KP0046_AC_SB10,116,0.108512628624883,1069
KP0050_AC_SB10,110,0.110663983903421,994
KP0055_AC_SB10,196,0.136395267919276,1437
KP0057_AC_SB10,180,0.124653739612188,1444
KP0058_AC_SB10,208,0.14404432132964,1444
KP0060_AC_SB10,110,0.115424973767051,953
KP0061_AC_SB10,189,0.13125,1440
KP0072_AC_SB10,205,0.142163661581137,1442
KP0074_AC_SB10,168,0.116585704371964,1441
KP0078_AC_SB10,221,0.157631954350927,1402
KP0081_AC_SB10,172,0.119361554476058,1441
KP0089_AC_SB10,175,0.136186770428016,1285
KP0095_AC_SB10,171,0.132148377125193,1294
KP0100_AC_SB10,189,0.131983240223464,1432
KP0101_AC_SB10,166,0.115679442508711,1435
KP0102_AC_SB10,187,0.12959112959113,1443
KP0104_AC_SB10,168,0.118811881188119,1414
KP0109_LM_SB10,142,0.115447154471545,1230
KP0112_AC_SB10,196,0.135828135828136,1443
KP0116_AC_SB10,174,0.124910265613783,1393
KP0120_AC_SB10,170,0.117728531855956,1444
KP0121_AC_SB10,174,0.13112283345893,1327
KP0122_AC_SB10,154,0.124898621248986,1233
KP0123_AC_SB10,168,0.118476727785614,1418
KP0125_AC_SB10,166,0.120464441219158,1378
KP0127_AC_SB10,169,0.12167026637869,1389
KP0129_AC_SB10,143,0.139105058365759,1028
KP0131_HU_SB05,167,0.129860031104199,1286
KP0153_AC_SQ12,163,0.113430758524704,1437
KP0158_AC_SQ12,190,0.132036136205698,1439
KP0162_AC_SQ12,203,0.140776699029126,1442
KP0167_AC_SQ12,184,0.12707182320442,1448
KP0168_AC_SQ12,185,0.128472222222222,1440
KP0171_AC_SQ12,186,0.128453038674033,1448
KP0172_AC_SQ12,341,0.256777108433735,1328
KP0176_AC_SQ12,192,0.132963988919668,1444
KP0181_AC_SQ12,180,0.12847965738758,1401
KP0187_AC_SQ12,199,0.137907137907138,1443
KP0189_AC_SQ12,192,0.133984647592463,1433
KP0190_AC_SQ12,165,0.114902506963788,1436
KP0197_AC_SQ12,181,0.125607217210271,1441
KP0202_AC_SQ12,191,0.134887005649718,1416
KP0209_AC_SQ12,164,0.115655853314528,1418
KP0214_AC_SQ20,182,0.125777470628887,1447
KP0220_AC_SQ20,208,0.14404432132964,1444
KP0222_AC_SQ20,189,0.133757961783439,1413
KP0225_AC_SQ20,181,0.126396648044693,1432
KP0229_AC_SQ20,177,0.124036440084093,1427
KP0236_AC_SQ20,161,0.121234939759036,1328
KP0237_AC_SQ20,204,0.143966125617502,1417
KP0242_AC_SQ20,184,0.128133704735376,1436
KP0251_AC_SQ20,200,0.13840830449827,1445
KP0257_AC_SQ20,276,0.198418404025881,1391
KP0261_AC_SQ20,206,0.145583038869258,1415
KP0269_AC_SQ20,176,0.121546961325967,1448
KP0272_AC_SQ20,176,0.121463077984817,1449
KP0279_AC_SQ20,165,0.11660777385159,1415
KP0284_AC_SQ20,186,0.129077029840389,1441
KP0289_AC_WP20,163,0.11794500723589,1382
KP0291_AC_WP20,163,0.119413919413919,1365
KP0292_AC_WP20,163,0.129262490087232,1261
KP0294_AC_WP20,210,0.14747191011236,1424
KP0296_AC_WP20,192,0.135211267605634,1420
KP0301_AC_WP20,176,0.126346015793252,1393
KP0304_AC_WP20,150,0.104239054899236,1439
KP0305_AC_WP20,169,0.117117117117117,1443
KP0314_AC_WP20,192,0.132780082987552,1446
KP0317_AC_WP20,155,0.124798711755233,1242
KP0323_AC_WP20,183,0.126995142262318,1441
KP0326_AC_WP20,173,0.128720238095238,1344
KP0329_AC_WP20,156,0.126009693053312,1238
KP0332_AC_WP20,185,0.127674258109041,1449
KP0335_AC_WP20,168,0.117482517482517,1430
KP0340_AC_WP20,130,0.122525918944392,1061
KP0346_AC_WP20,178,0.13713405238829,1298
KP0354_AC_WP20,164,0.11333794056669,1447
KP0355_AC_WP20,147,0.131720430107527,1116
KP0360_AC_WP20,191,0.132363132363132,1443
KP0365_AC_WP20,180,0.125348189415042,1436
KP0368_AC_WP20,184,0.12858141160028,1431
KP0372_AC_WP20,186,0.128364389233954,1449
KP0374_AC_WP20,189,0.136265320836337,1387
KP0383_AC_WP20,195,0.134854771784232,1446
KP0405_AC_WP20,202,0.139599170697996,1447
KP0406_NA_NANA,168,0.118060435699227,1423
KP0407_AC_CA05,115,0.108082706766917,1064
KP0408_AC_CA05,199,0.138290479499653,1439
KP0409_AC_CA05,170,0.134920634920635,1260
KP0424_AC_CA05,189,0.131158917418459,1441
KP0431_HU_CA05,193,0.133471645919779,1446
KP0441_AC_CA05,195,0.135228848821082,1442
KP0450_AC_WP20,154,0.113737075332349,1354
KP0454_AC_WP20,201,0.139293139293139,1443
KP0457_AC_WP20,179,0.123533471359558,1449
KP0462_AC_WP20,165,0.119219653179191,1384
KP0464_AC_WP20,174,0.124731182795699,1395
KP0468_AC_WP20,180,0.127118644067797,1416
KP0470_AC_WP20,161,0.14,1150
KP0471_AC_WP20,190,0.131034482758621,1450
KP0477_AC_WP20,165,0.117104329311568,1409
KP0479_AC_WP20,117,0.111111111111111,1053
KP0481_AC_WP20,188,0.130103806228374,1445
KP0484_AC_WP20,158,0.117822520507084,1341
KP0485_AC_WP20,187,0.129054520358868,1449
KP0487_AC_WP20,178,0.12318339100346,1445
