,CA,SB,SQ,WP
CA,0,0.0718979425544837,0.0491856768130359,0.0849871844112889
SB,0.0718979425544837,0,-0.0263847627968397,0.0878968581734108
SQ,0.0491856768130359,-0.0263847627968397,0,0.0882891040162086
WP,0.0849871844112889,0.0878968581734108,0.0882891040162086,0
