,CA,SB,SQ,WP
CA,0,0.0309563494066439,0.0346276096146858,0.0442939337277604
SB,0.0309563494066439,0,0.0160550724876735,0.0422524244283479
SQ,0.0346276096146858,0.0160550724876735,0,0.0443672694893989
WP,0.0442939337277604,0.0422524244283479,0.0443672694893989,0
