,CA,SB,SQ,WP
CA,0,-0.00458056757617376,-0.0121993075347312,-0.00759785480926457
SB,-0.00458056757617376,0,-0.00581286076233967,0.000309384326227475
SQ,-0.0121993075347312,-0.00581286076233967,0,0.00499064652544762
WP,-0.00759785480926457,0.000309384326227475,0.00499064652544762,0
