,taxa.geodist$Individual,PC1xy,PC2xy,x,y,z
838,KP0049_HU_SB10,-19510.2770956512,-16.9656951034319,31509,-28.678888278466,-10.106739553057
888,KP0099_AC_SB10,-19522.0203705797,-15.165467112331,31520.7425328614,-26.8738262671639,-10.0012608239115
900,KP0111_AC_SB10,-19520.1595303734,-16.687265119989,31518.8823192679,-28.3963901692462,-10.0069029259576
819,KP0134_HU_SB05,-19510.8947217564,23.3325412177833,31509.6010370999,11.6195988768957,-6.42369460555938
927,KP0184_AC_SQ12,-30883.2597946117,-22.5223192880362,42881.9840227403,-29.5537717449091,-11.5294089680939
954,KP0211_AC_SQ12,-30900.8150496709,-19.7176554175932,42899.5381217594,-26.7418814112172,-13.1808865036482
437,KP0378_AC_WP20,11990.08827507,-23.152919220481,8.63984529572904,-47.8333810798871,-20.2047101992179
607,KP0410_HU_CA05,-5836.31237844476,18.9405992799448,17835.0216603951,1.59845306310072,-4.77684035755296
610,KP0413_HU_CA05,-5834.33897859529,18.6772987561971,17833.0483691017,1.33434020260551,-4.72062421051156
611,KP0414_HU_CA05,-5834.39113057699,18.5699784031304,17833.1005652579,1.22704132723341,-4.75503488329291
613,KP0417_HU_CA05,-5835.88935470083,17.8743458791132,17834.5990756151,0.532025612957158,-4.67154124690392
614,KP0418_HU_CA05,-5835.95630586527,17.8176127986431,17834.6660501283,0.475320098046551,-4.72633582380913
618,KP0423_HU_CA05,-5840.62190326594,18.7024399935852,17839.3312828905,1.3620678324865,-5.13647317843242
623,KP0427_HU_CA05,-5840.82023585921,17.8412651898614,17839.5299699735,0.500974746247317,-5.35886630744387
628,KP0434_HU_CA05,-5843.52118472012,18.2698112971841,17842.2307421926,0.930632675188224,-5.04158575364498
629,KP0435_HU_CA05,-5843.29688918045,17.8312745151127,17842.0066271976,0.49200359799112,-4.98866056816992
632,KP0438_HU_CA05,-5849.64579975666,18.5443482701298,17848.3552436958,1.20769085061206,-5.38916235528678
633,KP0439_HU_CA05,-5849.70155804166,18.248541948285,17848.4111237461,0.911907506983364,-5.4188604491202
489,KP0474_AC_WP20,11985.8371002674,-22.3086946855401,12.8906722093242,-46.9874066009624,-20.2203228755125
552,KP0540_AC_WP20,11983.2151756911,-22.5227388011244,15.5126846756787,-47.2003713711895,-19.5504416314648
565,KP0552_AC_WP20,11981.7469252777,-22.7597305740393,16.9810325233711,-47.4367587120387,-19.9725700408919
595,KP0582_AC_WP20,11977.5982521199,-22.3560227800414,21.1295391415514,-47.0313431320022,-19.9142249821131
229,KP0739_HU_WP10,11992.8570800972,-4.5995403219061,5.86340292007513,-29.2811435445647,-9.12758228436501
254,KP0764_HU_WP10,11997.1157356721,-2.26946618322802,1.6037885203388,-26.952822698322,-8.95418333033832
278,KP0789_HU_WP10,11987.9044521958,-3.65061700089292,10.8156397731607,-28.3301815320685,-10.2444962551468
293,KP0803_HU_WP10,11988.7886792319,-4.44531037715167,9.9317399511695,-29.1252388370891,-10.4994540514612
295,KP0805_HU_WP10,11989.1875391071,-4.26281705934498,9.53280498556241,-28.9429097272335,-10.1420372704316
304,KP0814_HU_WP10,11989.4803255594,-3.31104391052017,9.23962675628804,-27.9912571859319,-10.0368069892339
316,KP0831_HU_WP10,11984.0172867797,-5.21293913004041,14.7034479969752,-29.8909033594518,-10.898014694898
321,KP0841_AC_WP10,11984.2923155029,-5.18630942898152,14.4284083348118,-29.8643868774787,-10.2222329397498
322,KP0845_AC_WP10,11984.4240454361,-5.16751976856082,14.2966706779572,-29.8456514458784,-10.2176472370243
329,KP0859_HU_WP10,11986.0298649035,-4.38937815227901,12.6905310210331,-29.0681709384429,-10.3408645894623
202,KP0963_HU_WP05,11998.7082093548,25.2171050662871,0,0.533090673201586,-5.18220477439022
207,KP0968_HU_WP05,11994.7803507547,25.2443602479555,3.92784704764153,0.56196277348463,-5.20570977241394
209,KP0970_HU_WP05,11994.0543513892,26.1337394334746,4.65348023456824,1.45164074459999,-5.27287699923776
729,KP1116_AC_CA20,-5847.48270264494,-27.6337302694181,17846.2111561842,-44.97127422508,-20.4899578364668
793,KP1162_AC_CA20,-5850.72098011516,-26.9580825917562,17849.4491552466,-44.2942935529617,-21.2913670120751
