,taxa.geodist$Individual,PC1xy,PC2xy,x,y,z
121,KP0218_AC_SQ20,-28763.3324694736,-1.2032366787605,42882.1558026607,-45.2797366227512,-19.6858073121962
137,KP0235_AC_SQ20,-28764.7589135973,-2.29558427820741,42883.5822670943,-46.3720576999605,-19.1917172574959
143,KP0241_AC_SQ20,-28769.9507311075,-1.21847953977663,42888.7740645769,-45.2948564296225,-20.0491566514059
145,KP0243_AC_SQ20,-28769.5765995864,-2.47377394894302,42888.3999563957,-46.5501577948447,-20.0948075336944
158,KP0255_AC_SQ20,-28786.1418703508,-1.2765847987857,42904.9652048978,-45.3526606448035,-20.678909924239
161,KP0259_AC_SQ20,-28785.4241221897,-1.267996082182,42904.2474565771,-45.34408527338,-20.8900879876325
370,KP0311_AC_WP20,14116.7975514258,-3.78670453769042,2.02583720796408,-48.6604799455862,-20.0900713649983
406,KP0347_AC_WP20,14110.9659188804,-2.2324167808316,7.85744085327119,-47.106083760744,-20.4112658441124
428,KP0369_AC_WP20,14113.0460396236,-2.3605941688401,5.77732249369241,-47.2342998246679,-19.5381297255056
438,KP0379_AC_WP20,14110.1612443555,-3.12221795806116,8.66213192224821,-47.9958699764086,-20.3908888575316
455,KP0396_AC_WP20,14104.4003781617,-1.87994807131291,14.4229750173842,-46.7534929773904,-20.2998579412744
467,KP0452_AC_WP20,14106.365972149,-0.596525775057982,12.4573571675734,-45.470107227885,-20.2408922367777
478,KP0463_AC_WP20,14108.8716882776,-1.11417010077841,9.95165066406064,-45.9877981426002,-19.4187433204714
501,KP0486_AC_WP20,14099.3210295024,-1.84348193739061,19.5023229977603,-46.716932402528,-19.73931523598
572,KP0559_AC_WP20,14099.8381006814,-3.36059029509382,18.9852800266428,-48.2340503739362,-20.540414197028
576,KP0563_AC_WP20,14093.8826792627,0.0177071902466269,24.9406386312335,-44.8556421593061,-19.3167062598209
582,KP0569_AC_WP20,14095.5633956964,-0.48073369358209,23.2599314653796,-45.3541142928134,-19.78551363642
588,KP0575_AC_WP20,14098.5124334365,-1.41145462907567,20.3109110307842,-46.2848900599629,-20.2357113045069
589,KP0576_AC_WP20,14098.7547646625,-1.46001101677055,20.0685807077077,-46.3334509533433,-20.2758880792793
594,KP0581_AC_WP20,14099.1259268426,-1.40616938090136,19.6974175265633,-46.2796162185469,-20.4306319801951
597,KP0584_AC_WP20,14096.8585400699,-2.35683346034077,21.964821974688,-47.2302381400244,-20.455096469297
602,KP0590_AC_WP20,14094.1357939573,-0.305166894225429,24.6875299398882,-45.1785209499146,-19.0943261069656
64,KP0678_AC_SB20,-17403.8881789306,2.04796918331487,31522.7114536312,-42.239738288293,-19.8466166552479
76,KP0690_AC_SB20,-17400.942731289,1.23694766592084,31519.7660210695,-43.0508145706125,-19.8302627058924
82,KP0696_AC_SB20,-17401.8422499116,0.906787529864797,31520.6655458307,-43.3809579817525,-20.2028444816372
259,KP0769_AC_WP10,14117.9001860001,17.2320868922491,0.922811828905182,-27.6417090206984,-7.93238660870554
697,KP1045_AC_CA10,-3729.94441698047,15.4447576200015,17848.7674449565,-29.0971911506955,-9.63676966023729
754,KP1121_AC_CA20,-3722.57262647615,-0.846807491938272,17841.3959573645,-45.3888933244152,-19.8854283077048
777,KP1132_AC_CA20,-3734.5145260043,1.42748442118713,17853.3378146044,-43.1143793744949,-22.5873301279688
772,KP1147_AC_CA20,-3731.61220708819,-0.0142589842384458,17850.4355224953,-44.5561767428393,-21.1506903394327
