KP0407_AC_CA05,-15.481360435486,-95.143829345703,-0.991150617599
KP0407_AC_CA05_left,-15.813899993896,-94.486343383789,-1.584355592728
KP0407_AC_CA05_right,-15.766828536987,-96.159156799316,-1.643068671227
KP0408_AC_CA05,-1.106264829636,-87.341056823730,-3.276912927628
KP0408_AC_CA05_left,-1.531428694725,-88.183792114258,-3.997160911560
KP0408_AC_CA05_right,-0.206840649247,-86.871353149414,-3.965779781342
KP0409_AC_CA05,-6.814596652985,-52.236686706543,-3.137722253799
KP0409_AC_CA05_left,-6.781697273254,-51.992218017578,-3.098748922348
KP0409_AC_CA05_right,-6.783215522766,-52.356643676758,-3.171128034592
KP0410_HU_CA05,-5.779524803162,-61.180820465088,-3.584144353867
KP0410_HU_CA05_left,-5.779524803162,-61.180820465088,-3.584144353867
KP0410_HU_CA05_right,-5.804326057434,-61.207645416260,-3.597304344177
KP0411_HU_CA05,-5.401938915253,-61.262817382812,-3.547195672989
KP0411_HU_CA05_left,-5.395359039307,-61.224857330322,-3.550232648849
KP0411_HU_CA05_right,-5.404469490051,-61.211696624756,-3.553269386292
KP0412_HU_CA05_X,-3.321672677994,-65.985679626465,-2.850736618042
KP0412_HU_CA05_left_X,-3.327240228653,-66.011489868164,-2.830996990204
KP0412_HU_CA05_right_X,-3.327240228653,-66.011489868164,-2.830996990204
KP0413_HU_CA05,-4.515674591064,-70.722717285156,-3.289566516876
KP0413_HU_CA05_left,-4.619940757751,-70.529365539551,-3.257173061371
KP0413_HU_CA05_right,-4.311191082001,-70.708038330078,-3.439892292023
KP0414_HU_CA05,-3.989281177521,-70.469642639160,-3.428757190704
KP0414_HU_CA05_left,-3.933604955673,-70.383087158203,-3.443941593170
KP0414_HU_CA05_right,-3.970553636551,-70.326904296875,-3.304750919342
Point#24_X,-7.874469757080,-74.375076293945,-2.718632221222
Point#25_X,-7.763623237610,-74.293586730957,-2.639673233032
Point#26_X,-7.819805622101,-74.401397705078,-2.723693609238
Point#27_X,-7.516623497009,-73.920555114746,-2.329910755157
Point#28_X,-7.501439094543,-73.927642822266,-2.344083070755
Point#29_X,-7.501439094543,-73.927642822266,-2.344083070755
KP0415_HU_CA05,-2.822611093521,-67.335067749023,-2.524271488190
KP0415_HU_CA05_left,-2.948135614395,-67.398338317871,-2.588552236557
KP0415_HU_CA05_right,-2.828684806824,-67.237892150879,-2.651314496994
KP0417_HU_CA05,-0.654781222343,-63.226161956787,-2.826947689056
KP0417_HU_CA05_left,-0.715518891811,-63.238311767578,-2.887685537338
KP0417_HU_CA05_right,-0.610240221024,-63.199337005615,-2.835552215576
KP0418_HU_CA05,-0.367795556784,-62.901214599609,-3.076478481293
KP0418_HU_CA05_left,-0.437643915415,-62.948795318604,-3.080021619797
KP0418_HU_CA05_right,-0.295922607183,-62.913871765137,-3.118994951248
KP0419_HU_CA05,0.769011795521,-62.104541778564,-4.142425060272
KP0419_HU_CA05_left,0.735099911690,-62.100997924805,-4.166213989258
KP0419_HU_CA05_right,0.856069147587,-62.114662170410,-4.079662799835
KP0421_HU_CA05_X,-2.399471759796,-54.058818817139,-4.280097484589
KP0422_HU_CA05_X,-2.468813896179,-36.967735290527,-5.103093147278
KP0423_HU_CA05_X,-4.555660247803,-40.336654663086,-5.174966335297
KP0424_AC_CA05,-6.039178848267,-44.190967559814,-3.887832880020
KP0424_AC_CA05_left,-6.006278991699,-43.932830810547,-4.138375759125
KP0424_AC_CA05_right,-6.074608802795,-44.433410644531,-4.009814739227
KP0425_HU_CA05_X,-3.610176563263,-46.499000549316,-4.784220218658
KP0426_HU_CA05,1.447249531746,-51.580215454102,-3.916683435440
KP0426_HU_CA05_left,1.315651178360,-51.476959228516,-3.928324699402
KP0426_HU_CA05_right,1.568218708038,-51.544784545898,-3.932374000549
KP0428_HU_CA05_X,-0.230123430490,-39.425586700439,-5.731728553772
KP0427_HU_CA05_X,-0.344006627798,-39.371429443359,-6.036935329437
KP0430_HU_CA05_X,-4.097596645355,-21.401168823242,-5.685668945312
KP0431_AC_CA05_X,-4.556166172028,-22.013099670410,-5.648213863373
KP0432_HU_CA05,-3.504391908646,-22.168992996216,-5.016036033630
KP0432_HU_CA05_left,-3.555006504059,-22.067258834839,-5.071206092834
KP0432_HU_CA05_right,-3.431506633759,-22.179117202759,-5.083859443665
KP0433_AC_CA05,-6.140408039093,-23.034000396729,-4.400560379028
KP0433_AC_CA05_left,-6.549375534058,-21.730670928955,-5.280244827271
KP0433_AC_CA05_right,-6.205194950104,-24.524604797363,-5.331871986389
KP0434_HU_CA05,-2.498170614243,-26.319910049438,-4.552910804749
KP0434_HU_CA05_left,-2.663680791855,-26.220705032349,-4.602513313293
KP0434_HU_CA05_right,-2.495133638382,-26.433792114258,-4.580749034882
KP0435_HU_CA05,-0.392596781254,-27.404582977295,-4.196076869965
KP0435_HU_CA05_left,-0.498887777328,-27.321069717407,-4.123697757721
KP0435_HU_CA05_right,-0.380449265242,-27.612104415894,-4.397017478943
KP0436_HU_CA05,-5.194924354553,20.303869247437,-4.731580734253
KP0436_HU_CA05_left,-5.213145732880,20.250724792480,-4.739172935486
KP0436_HU_CA05_right,-5.246045589447,20.389915466309,-4.775109767914
KP0437_HU_CA05_X,-2.043143987656,20.553400039673,-6.665064334869
KP0438_HU_CA05_X,-3.758477926254,3.298831462860,-6.172076702118
KP0439_HU_CA05,-2.323043584824,3.569620370865,-6.242937564850
KP0439_HU_CA05_left,-2.455147981644,3.490661382675,-6.202951908112
KP0439_HU_CA05_right,-2.294699192047,3.656171560287,-6.244455814362
