,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0086_LM_SB10,KP0086_LM_SB10,SB10,SB,10-12,4.66888905626283,0.693264144358714,-0.713502885055004,-0.993825721220937
KP0096_AC_SB10,KP0096_AC_SB10,SB10,SB,10-12,-10.7808818238842,-0.0793593674338509,0.378917961422547,-1.37150537953298
KP0108_AC_SB10,KP0108_AC_SB10,SB10,SB,10-12,4.26498258281422,0.517492717770025,0.747460101617417,-0.861163766747963
KP0186_AC_SQ12,KP0186_AC_SQ12,SQ12,SQ,10-12,6.00390693163779,0.76176481744462,0.388686861819934,-0.546607016941013
KP0192_AC_SQ12,KP0192_AC_SQ12,SQ12,SQ,10-12,5.46885461597288,0.422435220769436,-0.227610113948181,0.568859105027599
KP0203_AC_SQ12,KP0203_AC_SQ12,SQ12,SQ,10-12,5.74733084456782,0.446887082613879,-1.55371705938028,-0.835460945873518
KP0207_LM_SQ12,KP0207_LM_SQ12,SQ12,SQ,10-12,4.60191543713156,0.4731022215978,0.242751877054003,-1.63099679223987
KP0249_LM_SQ20,KP0249_LM_SQ20,SQ20,SQ,20,4.75725159871609,0.675621001246027,-0.33830352864373,-0.664892214974198
KP0252_LM_SQ20,KP0252_LM_SQ20,SQ20,SQ,20,5.20083816981951,0.378796662538181,0.536152463282255,-1.0889669540566
KP0253_LM_SQ20,KP0253_LM_SQ20,SQ20,SQ,20,-10.780405686077,0.284506864096193,-1.44269250472866,-1.45318979200601
KP0254_LM_SQ20,KP0254_LM_SQ20,SQ20,SQ,20,-11.0644812164275,0.271375302036403,-1.11911531945879,-1.42077235932022
KP0282_LM_SQ20,KP0282_LM_SQ20,SQ20,SQ,20,5.33008820243326,0.475451427372409,-0.0299889412226841,0.00649081646924395
KP0285_LM_SQ20,KP0285_LM_SQ20,SQ20,SQ,20,-8.80149598958881,0.0738606365042021,-0.22260673235332,-0.871465767609693
KP0290_LM_WP20,KP0290_LM_WP20,WP20,WP,20,5.6430912916795,0.333985804195471,0.809515223142581,-0.510727638782503
KP0293_LM_WP20,KP0293_LM_WP20,WP20,WP,20,5.82193126733056,0.165761508913566,-1.16091987904034,0.586388824423749
KP0308_LM_WP20,KP0308_LM_WP20,WP20,WP,20,4.71885780155242,0.316614521385841,-0.757399787083497,-0.378979015099397
KP0318_LM_WP20,KP0318_LM_WP20,WP20,WP,20,5.65823244081899,-1.07785728064955,-1.34156017368067,0.78605775190752
KP0319_LM_WP20,KP0319_LM_WP20,WP20,WP,20,4.59716730354933,0.188435420353947,-2.19217921932459,-2.49962641808841
KP0322_LM_WP20,KP0322_LM_WP20,WP20,WP,20,-9.26797325688148,0.30374531142135,-0.387181464903637,1.05191426826304
KP0328_LM_WP20,KP0328_LM_WP20,WP20,WP,20,-10.3790119145577,0.233614723923106,-1.17487272187361,0.659875559241104
KP0330_LM_WP20,KP0330_LM_WP20,WP20,WP,20,-8.88944815307419,0.334644660718375,-0.290575165546371,-1.66790739812944
KP0341_LM_WP20,KP0341_LM_WP20,WP20,WP,20,5.20479300675797,1.27721337783587,15.3099937966286,4.83315150305013
KP0342_LM_WP20,KP0342_LM_WP20,WP20,WP,20,5.30023561898739,1.27725023541777,15.1921143583272,4.80760311343453
KP0343_LM_WP20,KP0343_LM_WP20,WP20,WP,20,5.44693162536177,1.25548006848148,14.9367207884949,4.96410164060024
KP0345_LM_WP20,KP0345_LM_WP20,WP20,WP,20,4.92379689952376,1.13454227207341,13.8985248323539,4.32435959669421
KP0348_LM_WP20,KP0348_LM_WP20,WP20,WP,20,4.27169413310388,0.490574575574861,-0.953453416492808,-2.02219591556426
KP0350_LM_WP20,KP0350_LM_WP20,WP20,WP,20,5.059468217496,0.662628631034207,-0.424400156121897,-1.16894502394388
KP0375_LM_WP20,KP0375_LM_WP20,WP20,WP,20,3.89448220388876,0.553525171328574,0.296012955449875,0.126454660653117
KP0377_LM_WP20,KP0377_LM_WP20,WP20,WP,20,-9.89080075449877,0.715051428719621,-0.0650710963540372,-0.24059550832438
KP0380_LM_WP20,KP0380_LM_WP20,WP20,WP,20,5.34913557257146,0.589427217351303,-1.86486731096642,-1.93249650530856
KP0400_LM_WP20,KP0400_LM_WP20,WP20,WP,20,-10.253155916467,0.232405320047875,0.83132625660209,-0.268419311931941
KP0459_LM_WP20,KP0459_LM_WP20,WP20,WP,20,3.69665262226422,0.435299404708881,-0.473324701551983,0.728935770724979
KP0473_LM_WP20,KP0473_LM_WP20,WP20,WP,20,-9.5856626351818,0.578295756750718,0.992439192580003,1.05073491172692
KP0482_LM_WP20,KP0482_LM_WP20,WP20,WP,20,4.66709756547952,0.364397655383833,-1.3832999737489,-1.38124377642515
KP0529_LM_WP20,KP0529_LM_WP20,WP20,WP,20,1.49505735637074,-37.9954003130707,1.20506688061418,0.752609744110308
KP0547_LM_WP20,KP0547_LM_WP20,WP20,WP,20,-10.9377619843939,0.404386694195557,0.398857380712078,0.100965447488297
KP0548_LM_WP20,KP0548_LM_WP20,WP20,WP,20,-10.4471174246062,0.261711564567046,0.774282123586577,-0.123082755381979
KP0551_LM_WP20,KP0551_LM_WP20,WP20,WP,20,5.41744148745174,0.582653045476169,0.707117346274181,-2.11450696910835
KP0557_AC_WP20,KP0557_AC_WP20,WP20,WP,20,5.19244417628562,0.825623183056589,-2.11702449392064,-2.83363915048424
KP0558_LM_WP20,KP0558_LM_WP20,WP20,WP,20,5.08734927620577,0.0744360088961136,-1.09971925001164,0.543924508487741
