Individual Sample Species Site Loc Depth x y z clone clone_group Clusters
KP0801_AC_WP10 KP0801 AC WP10 WP 10 9.93143156648312 -28.5215449382813 -10.0976250984849 clone 92_AA2 AA2
KP0802_AC_WP10 KP0802 AC WP10 WP 10 9.72939394928784 -28.2114084759692 -10.0949383690061 ac.mlg 150_AA2 AA2
KP0803_HU_WP10 KP0803 HU WP10 WP 10 9.9317399511695 -29.1252388370891 -10.4994540514612 hu.mlg non-clone AH1
KP0804_AC_WP10 KP0804 AC WP10 WP 10 9.65174556124729 -28.2077318145498 -10.0818698585988 clone 135_AA2 AA2
KP0805_HU_WP10 KP0805 HU WP10 WP 10 9.53280498556241 -28.9429097272335 -10.1420372704316 hu.mlg non-clone AH1
KP0808_AC_WP10 KP0808 AC WP10 WP 10 9.47221511919315 -27.8240133670171 -10.1329951916792 ac.mlg non-clone AA2
KP0810_AC_WP10 KP0810 AC WP10 WP 10 9.30164973979362 -28.1885146269671 -10.2362880306346 clone 150_AA2 AA2
KP0811_AC_WP10 KP0811 AC WP10 WP 10 9.22066282057655 -28.6329157978712 -10.1296256028058 ac.mlg non-clone AA2
KP0812_AC_WP10 KP0812 AC WP10 WP 10 9.12524182319978 -28.3407038567405 -10.1184087336838 ac.mlg 115_AA2 AA2
KP0814_HU_WP10 KP0814 HU WP10 WP 10 9.23962675628804 -27.9912571859319 -10.0368069892339 hu.mlg 36_AH1 AH1
KP0815_AC_WP10 KP0815 AC WP10 WP 10 9.21088277670594 -29.3769967803231 -10.2576579932735 ac.mlg non-clone AA2
KP0816_AC_WP10 KP0816 AC WP10 WP 10 9.15053234929665 -28.3745709201335 -10.4672922774086 clone 115_AA2 AA2
KP0823_AC_WP10 KP0823 AC WP10 WP 10 15.2243709061773 -28.9670351175175 -10.9765169899945 ac.mlg non-clone AA2
KP0824_AC_WP10 KP0824 AC WP10 WP 10 16.7169531542859 -28.1148243113034 -11.3686085108574 clone 144_AA2 AA2
KP0827_AC_WP10 KP0827 AC WP10 WP 10 14.8027426946007 -29.8847908986026 -10.6918275914981 hu.mlg non-clone AH1
KP0831_HU_WP10 KP0831 HU WP10 WP 10 14.7034479969752 -29.8909033594518 -10.898014694898 hu.mlg non-clone AH1
KP0833_AC_WP10 KP0833 AC WP10 WP 10 14.7119924197377 -29.8362896496236 -10.9794987690574 clone 128_AA2 AA2
KP0835_AC_WP10 KP0835 AC WP10 WP 10 14.6528628546624 -29.6995810213423 -11.1777077771218 ac.mlg 128_AA2 AA2
KP0837_AC_WP10 KP0837 AC WP10 WP 10 14.2043711077223 -29.8059566226196 -10.6265794692629 ac.mlg non-clone AA2
KP0839_HU_WP10 KP0839 HU WP10 WP 10 14.5533099973087 -29.7446120893235 -10.3024092953758 hu.mlg non-clone AH1
KP0841_AC_WP10 KP0841 AC WP10 WP 10 14.4284083348118 -29.8643868774787 -10.2222329397498 hu.mlg non-clone AH1
KP0845_AC_WP10 KP0845 AC WP10 WP 10 14.2966706779572 -29.8456514458784 -10.2176472370243 hu.mlg non-clone AH1
KP0851_AC_WP10 KP0851 AC WP10 WP 10 13.6039218408832 -29.3483305233393 -11.107712922701 lm.mlg non-clone AL1
KP0857_AC_WP10 KP0857 AC WP10 WP 10 12.9462623659675 -28.7935418740303 -10.650748186453 ac.mlg non-clone AA2
KP0859_HU_WP10 KP0859 HU WP10 WP 10 12.6905310210331 -29.0681709384429 -10.3408645894623 hu.mlg non-clone AH1
KP0861_AC_WP10 KP0861 AC WP10 WP 10 12.6380176606704 -29.0767774519068 -10.5097870681294 ac.mlg non-clone AA2
KP0879_AC_WP10 KP0879 AC WP10 WP 10 20.3172432177775 -29.0528278663946 -11.9650403645614 ac.mlg non-clone AA2
KP0881_AC_WP10 KP0881 AC WP10 WP 10 19.7550729446024 -29.009758231228 -11.8425587174002 ac.mlg non-clone AA2
KP0883_AC_WP10 KP0883 AC WP10 WP 10 19.6074948618175 -28.7838262890556 -11.6069966018016 ac.mlg non-clone AA2
KP0885_AC_WP10 KP0885 AC WP10 WP 10 19.405330887091 -28.5365078626774 -11.3121157036598 clone 114_AA2 AA2
KP0887_AC_WP10 KP0887 AC WP10 WP 10 19.1782621669684 -28.7097501329508 -11.7204406768779 ac.mlg 114_AA2 AA2
KP0893_LM_WP10 KP0893 LM WP10 WP 10 17.6237431574919 -29.0423901212174 -11.072574892238 lm.mlg non-clone AL2
KP0895_AC_WP10 KP0895 AC WP10 WP 10 17.728344178772 -29.1231388827099 -11.1309968544001 ac.mlg non-clone AA2
KP0897_AC_WP10 KP0897 AC WP10 WP 10 17.8857955664981 -28.6503701533316 -10.8720043304209 ac.mlg non-clone AA2
KP0901_HU_WP10 KP0901 HU WP10 WP 10 18.0602640876288 -28.2786816019727 -10.3319334467155 hu.mlg non-clone AH3
KP0903_HU_WP10 KP0903 HU WP10 WP 10 17.953431303374 -28.1092797377334 -10.3520902031609 hu.mlg non-clone AH3
KP0289_AC_WP20 KP0289 AC WP20 WP 20 4.91769383992117 -47.0746522411644 -20.4013529690181 ac.mlg non-clone AA2
KP0290_LM_WP20 KP0290 LM WP20 WP 20 4.72558287556196 -46.8376864279474 -20.4803520319295 lm.mlg non-clone AL2
KP0291_AC_WP20 KP0291 AC WP20 WP 20 4.56016627452471 -47.1097307795551 -20.4337141732129 ac.mlg non-clone AA2
KP0292_AC_WP20 KP0292 AC WP20 WP 20 4.53631948170448 -47.2751204060449 -20.1139962799704 ac.mlg non-clone AA2
KP0293_LM_WP20 KP0293 LM WP20 WP 20 3.92158210473855 -48.1240916553026 -20.7138725008251 lm.mlg 3_AL2 AL2
KP0294_AC_WP20 KP0294 AC WP20 WP 20 3.15766533302969 -47.9301221563131 -20.5660390872061 ac.mlg non-clone AA2
KP0296_AC_WP20 KP0296 AC WP20 WP 20 2.76212908623279 -48.1123598422157 -20.194316198551 ac.mlg 200_AA2 AA2
KP0299_AC_WP20 KP0299 AC WP20 WP 20 2.63616972563761 -48.0911017562087 -20.2421212471318 clone 200_AA2 AA2
KP0300_AC_WP20 KP0300 AC WP20 WP 20 2.58482664153182 -48.0458209428733 -20.3054641765844 clone 200_AA2 AA2
KP0301_AC_WP20 KP0301 AC WP20 WP 20 2.60427051262871 -47.7706240152456 -20.3871935198012 ac.mlg non-clone AA2
KP0303_AC_WP20 KP0303 AC WP20 WP 20 2.41653294554405 -47.7695450912677 -20.3922812978616 clone 180_AA2 AA2
KP0304_AC_WP20 KP0304 AC WP20 WP 20 2.36461356832712 -47.8379625621843 -20.3635857780844 ac.mlg 180_AA2 AA2
KP0305_AC_WP20 KP0305 AC WP20 WP 20 0.319317911466353 -46.5527792091113 -19.1220591070129 ac.mlg non-clone AA2
KP0308_LM_WP20 KP0308 LM WP20 WP 20 1.01151066278985 -48.6439213817173 -20.4826529587633 lm.mlg non-clone AL2
KP0311_AC_WP20 KP0311 AC WP20 WP 20 2.02583720796408 -48.6604799455862 -20.0900713649983 ac.mlg non-clone AA1
KP0314_AC_WP20 KP0314 AC WP20 WP 20 2.66616636690011 -48.2104368437802 -20.451562458159 ac.mlg non-clone AA2
KP0317_AC_WP20 KP0317 AC WP20 WP 20 3.28144850372569 -48.2575574394691 -20.6588342669391 ac.mlg non-clone AA2
KP0318_LM_WP20 KP0318 LM WP20 WP 20 3.69590015391792 -48.0450299155426 -20.8111992469352 clone 3_AL2 AL2
KP0319_LM_WP20 KP0319 LM WP20 WP 20 4.47704660939838 -48.3669207587881 -20.8485156721693 lm.mlg non-clone AL2
KP0322_LM_WP20 KP0322 LM WP20 WP 20 5.32070185066748 -47.53437579629 -20.6180416194037 lm.mlg non-clone AL1
KP0323_AC_WP20 KP0323 AC WP20 WP 20 9.59409499919165 -46.3718833487805 -19.0732927136893 ac.mlg 159_AA2 AA2
KP0324_AC_WP20 KP0324 AC WP20 WP 20 9.63179675596897 -46.3041480902632 -19.0356154903033 clone 159_AA2 AA2
KP0325_AC_WP20 KP0325 AC WP20 WP 20 9.43538864110658 -45.9323614532727 -19.0829702746555 clone 159_AA2 AA2
KP0326_AC_WP20 KP0326 AC WP20 WP 20 9.35402867213522 -45.676375842071 -18.9750985715418 ac.mlg non-clone AA2
KP0327_AC_WP20 KP0327 AC WP20 WP 20 9.46431193847989 -46.1714074154579 -19.1859280415227 clone 159_AA2 AA2
KP0328_LM_WP20 KP0328 LM WP20 WP 20 9.19192626705829 -45.6039068384255 -19.3437003021357 lm.mlg non-clone AL1
KP0329_AC_WP20 KP0329 AC WP20 WP 20 9.02941096087448 -45.5706270861978 -19.3807568492618 ac.mlg non-clone AA2
KP0330_LM_WP20 KP0330 LM WP20 WP 20 8.84459420067984 -45.9409274012256 -19.5449830821043 clone non-clone AL1
KP0331_AC_WP20 KP0331 AC WP20 WP 20 8.87233983035289 -46.3580515805944 -19.8059997229138 clone 113_AA2 AA2
KP0332_AC_WP20 KP0332 AC WP20 WP 20 8.73784200710616 -46.3610581212905 -19.7125208226653 ac.mlg 113_AA2 AA2
KP0334_AC_WP20 KP0334 AC WP20 WP 20 8.69951342191909 -46.4815330206253 -19.7484029881375 clone 113_AA2 AA2
KP0335_AC_WP20 KP0335 AC WP20 WP 20 8.48633601529862 -46.0688978648707 -19.3297450290237 ac.mlg 185_AA2 AA2
KP0336_AC_WP20 KP0336 AC WP20 WP 20 8.45898025460855 -46.0016959197224 -19.3323195911211 clone 185_AA2 AA2
KP0337_AC_WP20 KP0337 AC WP20 WP 20 8.35319449649654 -46.0265937987336 -19.3569801900192 clone 185_AA2 AA2
KP0340_AC_WP20 KP0340 AC WP20 WP 20 8.26209871076327 -46.4088014165667 -19.712235341913 ac.mlg non-clone AA2
KP0341_LM_WP20 KP0341 LM WP20 WP 20 8.35098968223083 -46.2952708027846 -20.2020365378862 lm.mlg 7_AL2 AL2
KP0342_LM_WP20 KP0342 LM WP20 WP 20 8.32542742918556 -46.4200412054373 -20.2417192865856 clone 7_AL2 AL2
KP0343_LM_WP20 KP0343 LM WP20 WP 20 8.22893757002838 -46.4704705523874 -20.1165693920259 clone 7_AL2 AL2
KP0345_LM_WP20 KP0345 LM WP20 WP 20 7.82297005521551 -46.4074314061401 -20.1436194682038 clone 7_AL2 AL2
KP0346_AC_WP20 KP0346 AC WP20 WP 20 7.84725065650486 -46.6581607922305 -20.1184238328403 ac.mlg non-clone AA2
KP0347_AC_WP20 KP0347 AC WP20 WP 20 7.85744085327119 -47.106083760744 -20.4112658441124 ac.mlg non-clone AA1
KP0348_LM_WP20 KP0348 LM WP20 WP 20 7.66690745377005 -46.9479377773503 -20.428868700071 lm.mlg non-clone AL2
KP0349_LM_WP20 KP0349 LM WP20 WP 20 7.43908063238133 -46.8994229564224 -20.3609881449197 clone 164_AA2 AA2
KP0350_LM_WP20 KP0350 LM WP20 WP 20 7.08171518584771 -47.4797046551222 -20.5812946728873 lm.mlg non-clone AL2
KP0352_AC_WP20 KP0352 AC WP20 WP 20 6.83971522707308 -47.3588274872372 -20.0106312109659 clone 164_AA2 AA2
KP0354_AC_WP20 KP0354 AC WP20 WP 20 6.74586058673311 -47.050846080379 -20.0623535965289 ac.mlg 164_AA2 AA2
KP0355_AC_WP20 KP0355 AC WP20 WP 20 6.77442571433726 -46.1951022062975 -19.8133968689452 ac.mlg non-clone AA2
KP0360_AC_WP20 KP0360 AC WP20 WP 20 5.94720981476529 -46.4751042841202 -19.5036348990115 ac.mlg 201_AA2 AA2
KP0362_AC_WP20 KP0362 AC WP20 WP 20 5.78582584853662 -46.5584722051755 -19.5127480536294 clone 201_AA2 AA2
KP0363_AC_WP20 KP0363 AC WP20 WP 20 5.7489149656922 -46.4621030366426 -19.6446558099847 clone 201_AA2 AA2
KP0365_AC_WP20 KP0365 AC WP20 WP 20 5.78297757847869 -46.8623638222881 -19.3463173934253 ac.mlg 117_AA2 AA2
KP0367_AC_WP20 KP0367 AC WP20 WP 20 5.69372065799892 -47.102775350265 -19.2178030376941 clone 117_AA2 AA2
KP0368_AC_WP20 KP0368 AC WP20 WP 20 6.03200567226711 -47.1690584393937 -19.4678069876461 ac.mlg non-clone AA2
KP0369_AC_WP20 KP0369 AC WP20 WP 20 5.77732249369241 -47.2342998246679 -19.5381297255056 ac.mlg 8_AA1 AA1
KP0372_AC_WP20 KP0372 AC WP20 WP 20 5.46994429355343 -46.4920739221141 -19.5289880871299 ac.mlg non-clone AA2
KP0373_AC_WP20 KP0373 AC WP20 WP 20 5.63516555493008 -47.1295150719545 -19.5458618586767 clone 8_AA1 AA1
KP0374_AC_WP20 KP0374 AC WP20 WP 20 7.30319751210235 -48.1349583243979 -20.4324736727162 ac.mlg non-clone AA2
KP0375_LM_WP20 KP0375 LM WP20 WP 20 8.11461099498631 -47.7443165337194 -20.4522658209002 lm.mlg non-clone AL2
KP0377_LM_WP20 KP0377 LM WP20 WP 20 8.25777022558156 -48.0440651253695 -20.2062418636157 lm.mlg non-clone AL1
KP0378_AC_WP20 KP0378 AC WP20 WP 20 8.63984529572904 -47.8333810798871 -20.2047101992179 hu.mlg non-clone AH1
KP0379_AC_WP20 KP0379 AC WP20 WP 20 8.66213192224821 -47.9958699764086 -20.3908888575316 ac.mlg non-clone AA1
KP0380_LM_WP20 KP0380 LM WP20 WP 20 8.89982627126641 -47.9261572456996 -20.5276825451993 lm.mlg non-clone AL2
KP0382_AC_WP20 KP0382 AC WP20 WP 20 9.10173265911332 -47.8417368703456 -20.1546565932937 clone 141_AA2 AA2
KP0383_AC_WP20 KP0383 AC WP20 WP 20 9.14366417620222 -47.8938070886212 -20.4922180092688 ac.mlg 141_AA2 AA2
KP0384_AC_WP20 KP0384 AC WP20 WP 20 9.56521739899935 -46.4893903412576 -19.6836914702005 clone 159_AA2 AA2
KP0385_AC_WP20 KP0385 AC WP20 WP 20 14.8875772077734 -46.1196834447078 -19.3876588698605 clone 124_AA2 AA2
KP0386_AC_WP20 KP0386 AC WP20 WP 20 14.8947210465441 -46.0926861700442 -19.3437805198121 clone 124_AA2 AA2
KP0388_AC_WP20 KP0388 AC WP20 WP 20 14.7278954314237 -46.0356247841563 -19.3625721737775 clone 124_AA2 AA2
KP0389_AC_WP20 KP0389 AC WP20 WP 20 14.5425092777355 -45.9424233979906 -19.2299300817069 clone 124_AA2 AA2
KP0390_AC_WP20 KP0390 AC WP20 WP 20 14.5071242749898 -45.9774887717884 -19.2781890551043 clone 124_AA2 AA2
KP0392_AC_WP20 KP0392 AC WP20 WP 20 14.5324055049998 -46.896993111346 -20.359049891048 clone 4_AA1 AA1
KP0393_AC_WP20 KP0393 AC WP20 WP 20 14.4635063578869 -46.8616955720453 -20.3417247717145 clone 4_AA1 AA1
KP0394_AC_WP20 KP0394 AC WP20 WP 20 14.5419397733853 -46.8202520463744 -20.2691268733655 clone 4_AA1 AA1
KP0395_AC_WP20 KP0395 AC WP20 WP 20 14.4486520686586 -46.8092493407748 -20.2652421221534 ac.mlg 4_AA1 AA1
KP0396_AC_WP20 KP0396 AC WP20 WP 20 14.4229750173842 -46.7534929773904 -20.2998579412744 ac.mlg 4_AA1 AA1
KP0398_AC_WP20 KP0398 AC WP20 WP 20 14.0498878001949 -46.7696975135172 -20.5232957572491 clone 4_AA1 AA1
KP0399_LM_WP20 KP0399 LM WP20 WP 20 13.8198476484308 -46.1477759904234 -20.6724780842212 ac.mlg non-clone AA1
KP0400_LM_WP20 KP0400 LM WP20 WP 20 13.4767109933829 -46.0281454287026 -20.4812044328287 lm.mlg non-clone AL1
KP0405_AC_WP20 KP0405 AC WP20 WP 20 12.7896954426215 -46.2527163125861 -20.3972951682885 ac.mlg non-clone AA2
KP0450_AC_WP20 KP0450 AC WP20 WP 20 12.6985180718441 -46.505232791493 -20.2660451858809 ac.mlg non-clone AA2
KP0452_AC_WP20 KP0452 AC WP20 WP 20 12.4573571675734 -45.470107227885 -20.2408922367777 ac.mlg non-clone AA1
KP0454_AC_WP20 KP0454 AC WP20 WP 20 11.7534252567115 -45.7108761339993 -20.1752440415556 ac.mlg non-clone AA2
KP0457_AC_WP20 KP0457 AC WP20 WP 20 11.0440067797515 -46.1459692183934 -20.4420095720285 ac.mlg non-clone AA2
KP0459_LM_WP20 KP0459 LM WP20 WP 20 10.449039983765 -45.9488193177896 -20.4136935718521 lm.mlg non-clone AL2
KP0461_AC_WP20 KP0461 AC WP20 WP 20 10.0670607879477 -46.0842541713427 -19.6797784338052 clone 127_AA2 AA2
KP0462_AC_WP20 KP0462 AC WP20 WP 20 10.0235939852113 -46.1671724505049 -19.6595020985107 ac.mlg 127_AA2 AA2
KP0463_AC_WP20 KP0463 AC WP20 WP 20 9.95165066406064 -45.9877981426002 -19.4187433204714 ac.mlg non-clone AA1
KP0464_AC_WP20 KP0464 AC WP20 WP 20 9.79227849505463 -46.0008467519432 -19.4269086357281 ac.mlg non-clone AA2
KP0467_AC_WP20 KP0467 AC WP20 WP 20 11.0087658419158 -46.5764019004738 -19.6511503243204 clone 181_AA2 AA2
KP0468_AC_WP20 KP0468 AC WP20 WP 20 10.8067226256817 -46.537829261489 -19.8102516522101 ac.mlg 181_AA2 AA2
KP0470_AC_WP20 KP0470 AC WP20 WP 20 11.1819602850442 -47.3111721872451 -20.1672632708848 ac.mlg non-clone AA2
KP0471_AC_WP20 KP0471 AC WP20 WP 20 11.4092433093439 -47.4487396306743 -20.4269899692353 ac.mlg non-clone AA2
KP0473_LM_WP20 KP0473 LM WP20 WP 20 12.9202296742566 -47.008775499044 -20.283652645636 lm.mlg non-clone AL1
KP0474_AC_WP20 KP0474 AC WP20 WP 20 12.8906722093242 -46.9874066009624 -20.2203228755125 hu.mlg 40_AH1 AH1
KP0475_AC_WP20 KP0475 AC WP20 WP 20 14.1906178834559 -47.6009734168458 -20.4712178108716 clone 173_AA2 AA2
KP0477_AC_WP20 KP0477 AC WP20 WP 20 14.365675693539 -47.6508212060995 -20.4282421832684 ac.mlg 173_AA2 AA2
KP0479_AC_WP20 KP0479 AC WP20 WP 20 14.7151887429464 -47.9895405522202 -20.5383114597807 ac.mlg non-clone AA2
KP0481_AC_WP20 KP0481 AC WP20 WP 20 15.0282213532209 -47.8011397212034 -20.8024392581287 ac.mlg 124_AA2 AA2
KP0482_LM_WP20 KP0482 LM WP20 WP 20 15.1758480085338 -47.3482122508034 -20.7831358518611 lm.mlg non-clone AL2
KP0484_AC_WP20 KP0484 AC WP20 WP 20 15.583895766597 -47.2925151350083 -20.3460281365918 ac.mlg non-clone AA2
KP0485_AC_WP20 KP0485 AC WP20 WP 20 19.6736862090682 -46.611939963435 -19.6916798124563 ac.mlg non-clone AA2
KP0486_AC_WP20 KP0486 AC WP20 WP 20 19.5023229977603 -46.716932402528 -19.73931523598 ac.mlg non-clone AA1
KP0487_AC_WP20 KP0487 AC WP20 WP 20 19.4438240860387 -46.3555602076696 -19.8149263739685 ac.mlg 161_AA2 AA2
KP0488_AC_WP20 KP0488 AC WP20 WP 20 19.2144343946468 -46.2911774220271 -19.8578225798983 clone 161_AA2 AA2
KP0489_AC_WP20 KP0489 AC WP20 WP 20 19.0024455101066 -46.518693722841 -19.9592334341147 ac.mlg non-clone AA2
KP0490_AC_WP20 KP0490 AC WP20 WP 20 18.689970563964 -46.5334458112425 -20.0464075376388 ac.mlg non-clone AA2
KP0491_AC_WP20 KP0491 AC WP20 WP 20 18.7068014477008 -46.3770756574314 -20.0922384141217 ac.mlg 160_AA2 AA2
KP0492_AC_WP20 KP0492 AC WP20 WP 20 18.5318641060895 -46.2470236289082 -20.0400411770921 clone 160_AA2 AA2
KP0493_AC_WP20 KP0493 AC WP20 WP 20 18.6644051816795 -46.1862297692763 -20.032795191214 clone 160_AA2 AA2
KP0494_AC_WP20 KP0494 AC WP20 WP 20 18.8955716962135 -46.0769960791819 -20.2298344969143 ac.mlg 176_AA2 AA2
KP0495_AC_WP20 KP0495 AC WP20 WP 20 18.9699581893764 -46.2204123676813 -20.1594616265977 clone 176_AA2 AA2
KP0499_AC_WP20 KP0499 AC WP20 WP 20 18.4379741472295 -46.1784020581164 -19.976016063012 clone 160_AA2 AA2
KP0500_AC_WP20 KP0500 AC WP20 WP 20 18.4562491677399 -46.191877408401 -20.0019056768797 clone 160_AA2 AA2
KP0501_AC_WP20 KP0501 AC WP20 WP 20 18.2654331048798 -46.1103959675318 -19.9476533297027 clone 160_AA2 AA2
KP0505_AC_WP20 KP0505 AC WP20 WP 20 18.2294543019187 -45.8775559201328 -20.0131573425034 ac.mlg non-clone AA2
KP0508_AC_WP20 KP0508 AC WP20 WP 20 18.0758380915974 -46.3665382207407 -20.1570059043942 ac.mlg non-clone AA2
KP0510_AC_WP20 KP0510 AC WP20 WP 20 17.5772788747919 -46.8190987775403 -19.8012778579649 clone 184_AA2 AA2
KP0512_AC_WP20 KP0512 AC WP20 WP 20 17.4502594480354 -46.7152387885578 -19.7659205101107 ac.mlg 184_AA2 AA2
KP0513_AC_WP20 KP0513 AC WP20 WP 20 17.4069603336731 -46.6343864115543 -19.9099258922652 clone 184_AA2 AA2
KP0515_AC_WP20 KP0515 AC WP20 WP 20 17.4752261859932 -46.5938360834562 -20.2514600504448 clone 129_AA2 AA2
KP0516_AC_WP20 KP0516 AC WP20 WP 20 17.4267107384417 -46.5089407931302 -19.9593809395373 ac.mlg 129_AA2 AA2
KP0521_AC_WP20 KP0521 AC WP20 WP 20 17.615386700306 -45.9089490384334 -19.835414810971 ac.mlg 175_AA2 AA2
KP0522_AC_WP20 KP0522 AC WP20 WP 20 17.1943330348148 -45.7960395807202 -19.7636094230854 clone 175_AA2 AA2
KP0523_AC_WP20 KP0523 AC WP20 WP 20 17.0558226489488 -45.83133632387 -19.8946692323823 ac.mlg 142_AA2 AA2
KP0524_AC_WP20 KP0524 AC WP20 WP 20 17.0098399357853 -45.9267335375683 -19.8052204904321 clone 142_AA2 AA2
KP0526_AC_WP20 KP0526 AC WP20 WP 20 16.8406471624454 -46.1272599053046 -19.6885603356409 clone 162_AA2 AA2
KP0528_AC_WP20 KP0528 AC WP20 WP 20 17.0145726379152 -46.594245824484 -19.8357457517724 clone 179_AA2 AA2
KP0529_LM_WP20 KP0529 LM WP20 WP 20 16.675197184192 -46.8586087861037 -20.41780646727 lm.mlg non-clone AL1
KP0530_AC_WP20 KP0530 AC WP20 WP 20 16.9543637504961 -46.5799636712881 -19.8105476568612 ac.mlg 179_AA2 AA2
KP0532_AC_WP20 KP0532 AC WP20 WP 20 16.6711505614178 -46.1596247397744 -19.6645744554 ac.mlg 162_AA2 AA2
KP0533_AC_WP20 KP0533 AC WP20 WP 20 16.2212167078598 -46.3946908259758 -19.6150546984611 ac.mlg non-clone AA2
KP0535_AC_WP20 KP0535 AC WP20 WP 20 16.071756935674 -46.2929271119465 -19.6851560215487 ac.mlg 112_AA2 AA2
KP0536_AC_WP20 KP0536 AC WP20 WP 20 16.5855848708735 -45.9639750604231 -19.878970033992 ac.mlg non-clone AA2
KP0537_AC_WP20 KP0537 AC WP20 WP 20 16.4388391882004 -46.0296573832647 -19.8779034280513 ac.mlg non-clone AA2
KP0538_AC_WP20 KP0538 AC WP20 WP 20 16.1669560789796 -46.0358670930349 -19.6510974589009 clone 112_AA2 AA2
KP0539_AC_WP20 KP0539 AC WP20 WP 20 15.3100285922027 -47.0722582843825 -19.4062349773292 clone 178_AA2 AA2
KP0540_AC_WP20 KP0540 AC WP20 WP 20 15.5126846756787 -47.2003713711895 -19.5504416314648 hu.mlg non-clone AH1
KP0543_AC_WP20 KP0543 AC WP20 WP 20 15.9759494466248 -47.4822713919426 -20.0261289158988 clone 202_AA2 AA2
KP0545_AC_WP20 KP0545 AC WP20 WP 20 16.1177341378743 -47.4362306418441 -20.0086470027178 ac.mlg 202_AA2 AA2
KP0546_AC_WP20 KP0546 AC WP20 WP 20 16.1854629711664 -47.5883841408092 -19.7909305442654 ac.mlg 178_AA2 AA2
KP0547_LM_WP20 KP0547 LM WP20 WP 20 16.2267372338314 -47.2996909515386 -20.042932285142 lm.mlg non-clone AL1
KP0548_LM_WP20 KP0548 LM WP20 WP 20 16.0933427349562 -46.9032546770852 -20.2924487859489 lm.mlg non-clone AL1
KP0549_AC_WP20 KP0549 AC WP20 WP 20 16.2847035845844 -47.443654551462 -20.0273691454444 clone 202_AA2 AA2
KP0549_AC_WP20 KP0549 AC WP20 WP 20 16.6594261634217 -47.4464611903693 -20.0746433961545 clone 202_AA2 AA2
KP0551_LM_WP20 KP0551 LM WP20 WP 20 16.6287843971246 -47.6806904381654 -20.4080398938951 lm.mlg non-clone AL2
KP0552_AC_WP20 KP0552 AC WP20 WP 20 16.9810325233711 -47.4367587120387 -19.9725700408919 hu.mlg non-clone AH1
KP0554_AC_WP20 KP0554 AC WP20 WP 20 17.6458743258876 -47.9483438261799 -20.2554564358981 ac.mlg non-clone AA2
KP0557_AC_WP20 KP0557 AC WP20 WP 20 18.7451253426044 -48.1167131945797 -20.538667863047 clone 12_AL2 AL2
KP0558_LM_WP20 KP0558 LM WP20 WP 20 19.0381074722528 -47.2234003716747 -20.6052578101401 lm.mlg non-clone AL2
KP0559_AC_WP20 KP0559 AC WP20 WP 20 18.9852800266428 -48.2340503739362 -20.540414197028 ac.mlg non-clone AA1
KP0563_AC_WP20 KP0563 AC WP20 WP 20 24.9406386312335 -44.8556421593061 -19.3167062598209 ac.mlg non-clone AA1
KP0568_AC_WP20 KP0568 AC WP20 WP 20 23.3246326234286 -45.4010743298766 -19.6834578103035 ac.mlg non-clone AA2
KP0569_AC_WP20 KP0569 AC WP20 WP 20 23.2599314653796 -45.3541142928134 -19.78551363642 ac.mlg non-clone AA1
KP0570_LM_WP20 KP0570 LM WP20 WP 20 23.193919674967 -45.2249150029932 -19.9848605511222 lm.mlg non-clone AL2
KP0571_AC_WP20 KP0571 AC WP20 WP 20 22.5968358206323 -45.0089061738271 -19.5206533984526 ac.mlg non-clone AA2
KP0572_AC_WP20 KP0572 AC WP20 WP 20 22.3569093446351 -45.6731637493805 -20.1451620635385 ac.mlg non-clone AA2
KP0575_AC_WP20 KP0575 AC WP20 WP 20 20.3109110307842 -46.2848900599629 -20.2357113045069 ac.mlg non-clone AA1
KP0576_AC_WP20 KP0576 AC WP20 WP 20 20.0685807077077 -46.3334509533433 -20.2758880792793 ac.mlg 11_AA1 AA1
KP0577_AC_WP20 KP0577 AC WP20 WP 20 20.0901040354698 -46.172957856942 -20.1788549139305 clone 11_AA1 AA1
KP0579_AC_WP20 KP0579 AC WP20 WP 20 19.9227113644425 -46.1108292932073 -20.3432460399372 ac.mlg non-clone AA2
KP0581_AC_WP20 KP0581 AC WP20 WP 20 19.6974175265633 -46.2796162185469 -20.4306319801951 ac.mlg non-clone AA1
KP0582_AC_WP20 KP0582 AC WP20 WP 20 21.1295391415514 -47.0313431320022 -19.9142249821131 hu.mlg non-clone AH1
KP0583_LM_WP20 KP0583 LM WP20 WP 20 21.4777020368602 -47.1130875420813 -20.2931664669234 clone 46_AA2 AA2
KP0584_AC_WP20 KP0584 AC WP20 WP 20 21.964821974688 -47.2302381400244 -20.455096469297 ac.mlg non-clone AA1
KP0585_LM_WP20 KP0585 LM WP20 WP 20 22.3684271237925 -46.4637389350221 -20.2637958824607 lm.mlg non-clone AL2
KP0588_LM_WP20 KP0588 LM WP20 WP 20 23.3506801711493 -46.2084673414172 -19.6672695006634 lm.mlg non-clone AL1
KP0590_AC_WP20 KP0590 AC WP20 WP 20 24.6875299398882 -45.1785209499146 -19.0943261069656 ac.mlg 7_AA1 AA1
KP0591_AC_WP20 KP0591 AC WP20 WP 20 24.7729453735555 -45.1856575398897 -19.2260486109908 clone 7_AA1 AA1
KP0407_AC_CA05 KP0407 AC CA05 CA 5 17828 3.57576914327141 -4.11108076329598 ac.mlg non-clone AA2
