,x,y,z
KP1056_AC_CA20,0.3705019196435222,-5.225797825345305,-0.9886679155072794
KP1058_LM_CA20,1.0597661349181917,-5.549429030152495,-1.0204859677679774
KP1060_AC_CA20,1.1005440002465323,-5.697712991082638,-0.6915147296005956
KP1061_LM_CA20,1.5586873716066658,-4.716235303926244,-0.9364606527287959
KP1065_LM_CA20,1.519474328351468,-4.890370028356921,-0.8042333644292012
KP1067_AC_CA20,1.8899015525285183,-4.902632377126718,-0.899287595631381
KP1063_AC_CA20,1.7835825910946155,-4.728162025728819,-0.8135045510847151
KP1059_LM_CA20,1.70914533415867,-4.4724725310338584,-0.9185408408152446
KP1066_AC_CA20,0.9092793870927878,-6.682060499816846,-0.9698037687683317
KP1062_AC_CA20,0.4796864571589277,-5.386726050739031,-1.1874287068457063
KP1068_AC_CA20,0.9486211954867588,-6.9270723223286375,-0.9602592337529433
KP1070_AC_CA20,0.7350899281152834,-7.063982116241074,-0.8330352136273349
KP1088_AC_CA20,0.3600080071474603,-3.226215827443263,-0.33853013189361
KP1090_AC_CA20,0.5648040737352331,-3.149213368169682,-0.372255984241041
KP1092_LM_CA20,0.8596244989862101,-3.0323444813005263,-0.3941764678314873
KP1094_LM_CA20,1.3472868632061377,-3.1317847037548696,-0.7698783140033383
KP1098_AC_CA20,1.4756292489407028,4.1631171916835505,-1.4993676293535
KP1100_AC_CA20,1.402932609719677,2.675606184877804,-1.7000674453908104
KP1102_AC_CA20,0.9136709099555734,1.6674129545885212,-1.5633079147768383
KP1104_AC_CA20,0.9343213948241434,1.3450423359847017,-1.2454670829923054
KP1106_AC_CA20,0.4776498310285721,1.334524670616388,-1.1450115878003853
KP1108_AC_CA20,0.34382899490513513,1.0088555803489074,-1.2581714383905698
KP1110_LM_CA20,0.4665384934555837,8.572947400301569,-2.754835729508994
KP1112_AC_CA20,0.5107397804900778,8.421654378364853,-2.7233303916665
KP1114_LM_CA20,0.35349380047003376,8.25709544537155,-3.1009235343673582
KP1116_AC_CA20,0.294778013529858,7.628457638303459,-2.5964505269809757
KP1118_LM_CA20,0.7318830236823414,6.901411972069846,-2.020485617731597
KP1120_AC_CA20,0.7982663961188301,6.077917310703545,-2.021986606262365
KP1120a_AC_CA20,-0.9430860527246552,14.796211376656967,-4.455586364916118
KP1122_LM_CA20,-0.43489232101442643,14.036103019678134,-4.637949519884646
KP1124_AC_CA20,-0.2290076242068371,14.119603775379183,-4.348462446686101
KP1096_AC_CA20,1.1162796336273086,-4.1200886311653235,-0.7116697730336181
KP1069_AC_CA20,1.336992830315474,-5.771443962429477,-0.7297156989021956
KP1071_AC_CA20,1.237509262955589,-5.671155501823877,-0.7474066043997565
KP1073_LM_CA20_X,2.3957563844684864,-5.797752065638011,-0.6889050666020914
KP1075_LM_CA20,2.1229622047180725,-6.1588329395657535,-0.832438554801114
KP1077_AC_CA20,1.1214978027332878,-6.437435443201184,-0.5739345936523255
KP1083_LM_CA20,1.5031218347113162,-7.314224594483617,-0.8223011566207409
KP1085_LM_CA20,1.5680916909658138,-7.709167537227813,-0.8240378069307904
KP1087_LM_CA20,2.167039478552974,-8.353206717235658,-0.20324366584631312
KP1089_AC_CA20_X,2.4785044691124143,-7.943423697252938,0.5843002643813666
KP1101_LM_CA20,0.4456145827506854,-0.45627223545353385,-1.7280041756238769
KP1103_LM_CA20,0.37009550031158495,-1.1792604028850961,-1.1151814453554645
KP1105_AC_CA20,-0.09938045335581301,-1.8915959219303942,-1.510332772315558
KP1107_AC_CA20,0.03214314250669598,-2.121825269613113,-1.505680590415466
KP1109_AC_CA20,0.2756456790561106,-3.0810856428604607,-0.4399766473115071
KP1113_AC_CA20,0.5909869474153848,-4.150884788708473,-0.8939735649359561
KP1115_AC_CA20,0.5864786737269138,-4.22552735554151,-1.199330284408203
KP1117_LM_CA20,0.23746112742577638,2.7380114867457865,-2.3150249930121927
KP1119_LM_CA20_X,0.7828819330280712,3.1895360276255116,-2.381429130527217
KP1121_AC_CA20,0.712397323342274,2.8132588369074685,-1.9919209982189874
KP1123_LM_CA20,0.06485659240095783,2.289900337264514,-1.9197257570136297
KP1125_AC_CA20,0.47612371393971015,1.4082156638074728,-1.56192756993961
KP1127_AC_CA20,0.18649471994553643,1.1735945908667764,-1.3238972328763583
KP1129_AC_CA20,0.4374047306666756,0.7305817493570753,-1.4381203566484453
KP1131_AC_CA20,-0.5190626309766234,8.280030334339102,-3.0968905233531228
KP1133_LM_CA20,-0.04854865947701226,7.94177997638773,-3.13057776207163
KP1135_AC_CA20,-0.29693655447709044,7.565628416687191,-2.5637065341050875
KP1137_AC_CA20,-0.9931750976604586,7.4034642722540775,-2.7104781039926857
KP1139_AC_CA20,0.49610274996585507,6.482875611277671,-2.8165900835588267
KP1141_AC_CA20,-0.18310206272380558,5.644422321940654,-2.8372860106786404
KP1126_LM_CA20_X,-0.6145594390078722,14.576010230775882,-5.033793014966018
KP1130_AC_CA20,0.02026542803500359,13.605927209539434,-4.206539988170293
KP1134_AC_CA20,-0.03168629487382348,13.46365631059693,-4.270903816430886
KP1139_LM_CA20_X,0.19535301587710313,13.164795727844366,-4.0526810991965405
KP1141K_AC_CA20_X,-0.2800600234580376,12.64253582289583,-3.454074829483399
KP1143K_AC_CA20,-0.37379212049268723,12.16639910353676,-3.366946611141903
KP1145_AC_CA20_X,-0.39135779361302536,12.227182725044376,-3.774944867113373
KP1147_AC_CA20,-0.12031965336211135,11.85282393125245,-3.2571830299469218
KP1149_AC_CA20,-0.204898952299422,11.850300913402641,-3.3362775400314244
