,x,y,z,p
KP1056_AC_CA20,-0.5406981561483291,-5.071730438198787,-1.5258723657399802,1.0
KP1058_LM_CA20,0.01659202386032552,-5.390610379608182,-1.9364547933604084,1.0
KP1060_AC_CA20,0.20933789095806954,-5.575941722946279,-1.6907428404314004,1.0
KP1061_LM_CA20,0.5384780091794157,-4.573472655959303,-2.037030056828444,1.0
KP1065_LM_CA20,0.5612249938595923,-4.761644918047301,-1.9211922637600833,1.0
KP1067_AC_CA20,0.8309830605840552,-4.763436111727799,-2.192539594702468,1.0
KP1063_AC_CA20,0.7934780159157191,-4.599867178723009,-2.0478297798614973,1.0
KP1059_LM_CA20,0.6916523547038527,-4.333645230524864,-2.07443904240149,1.0
KP1066_AC_CA20,-0.15538949661307258,-6.521282377245145,-1.9279598770046809,1.0
KP1062_AC_CA20,-0.5571272833042802,-5.208810778984526,-1.7672518822258805,1.0
KP1068_AC_CA20,-0.1314684996987162,-6.765819737959535,-1.9640005955370927,1.0
KP1070_AC_CA20,-0.25895881066156823,-6.916163887474002,-1.7598714684769003,1.0
KP1088_AC_CA20,-0.10007336563315888,-3.160549726598661,-0.7680099556583699,1.0
KP1090_AC_CA20,0.0636453512040308,-3.0804915147367704,-0.8936885304955243,1.0
KP1092_LM_CA20,0.31318033033847853,-2.962337949083038,-1.0512637650720582,1.0
KP1094_LM_CA20,0.5364058086908612,-3.0185123563572676,-1.6308063665165584,1.0
KP1098_AC_CA20,0.7166424571392226,4.311620766237796,-1.6011002568664199,1.0
KP1100_AC_CA20,0.4628993891937499,2.857337648002336,-1.8820437485770694,1.0
KP1102_AC_CA20,0.05059512173265606,1.8408691051976542,-1.6149657789871052,1.0
KP1104_AC_CA20,0.20990833359967104,1.483931604506397,-1.3856472890987717,1.0
KP1106_AC_CA20,-0.13267178878920388,1.4626074243369458,-1.067944631063871,1.0
KP1108_AC_CA20,-0.3246990256780408,1.1523891002909303,-1.1284727559073875,1.0
KP1110_LM_CA20,-0.5216132428279249,8.838479592290852,-1.724948686615328,1.0
KP1112_AC_CA20,-0.47674739802156896,8.684491727585593,-1.7354706484170952,1.0
KP1114_LM_CA20,-0.8131381925025694,8.564867955257917,-1.9941478689333374,1.0
KP1116_AC_CA20,-0.6460215923284364,7.882292223669199,-1.5950382955343612,1.0
KP1118_LM_CA20,-0.02213040690189906,7.092933133911641,-1.3973927372273243,1.0
KP1120_AC_CA20,-0.015376384997860914,6.275013208292978,-1.5136417395203705,1.0
KP1120a_AC_CA20,-2.220703860335262,15.218679007933964,-1.8464165585586487,1.0
KP1122_LM_CA20,-1.9216892850727083,14.483903517347143,-2.33629118410368,1.0
KP1124_AC_CA20,-1.592960374341185,14.533104957002704,-2.1856918175549667,1.0
KP1096_AC_CA20,0.30766450604713513,-4.0065637999835015,-1.5605997212532332,1.0
KP1069_AC_CA20,0.3889408276797679,-5.645142380072902,-1.851234809658378,1.0
