,x,y,z,p
KP0613_LM_SB20,-0.8079478415456727,-0.339124829579104,1.9457285563941547,1.0
KP0614_LM_SB20,-1.0839331785654545,1.0536139706911771,1.7945207980401057,1.0
KP0615_AC_SB20,-1.6282981174353797,0.29114001599277683,1.9270856473681242,1.0
KP0616_LM_SB20,-0.6958178880807674,1.4311629407140878,1.700971779780387,1.0
KP0617_LM_SB20,-1.8631190920418366,0.6420369287115805,1.9226765684039686,1.0
KP0618_LM_SB20,-0.3694450795985052,1.8886563092686928,2.310440855499466,1.0
KP0619_AC_SB20,-1.7095081414284319,0.866899062861421,1.9695001825576572,1.0
KP0620_LM_SB20,-0.250545412501766,2.015487971642011,2.145209229641491,1.0
KP0621_LM_SB20,-1.4728021058005152,1.0165092678132996,1.8724238945201506,1.0
KP0622_AC_SB20_X,-0.4892645960693421,2.2475868268518853,2.4563080984610597,1.0
KP0623_LM_SB20,-1.9690092659197669,1.4768915591527898,1.7886384806210809,1.0
KP0624_AC_SB20,0.040205470581202433,2.1574013387681306,2.4298905288724613,1.0
KP0625_AC_SB20_X,-1.3467999637907093,1.6423735191166924,2.3650150953966946,1.0
KP0626_AC_SB20,0.18098967637436575,2.2175829710369084,2.4525911878476583,1.0
KP0627_AC_SB20_X,-0.7903246908742696,2.2449508527658346,2.458458776122354,1.0
KP0628_AC_SB20,0.3304741642908592,2.4208641610601638,2.3855369026954127,1.0
KP0629_LM_SB20,-0.5268697126821668,2.7339047200442783,2.4862617776229534,1.0
KP0630_AC_SB20,-0.06107069837965344,2.4860339203765167,2.477955477895376,1.0
KP0631_LM_SB20,-0.9671121281122685,2.990450516715233,2.1480636621214697,1.0
KP0632_AC_SB20,0.24100323751434471,2.3488845744073967,2.5240753253434387,1.0
KP0633_AC_SB20,1.627931136924611,-6.319497658916741,2.1258479960467227,1.0
KP0634_LM_SB20_X,-0.03800932947723627,3.238996693627775,2.246865982702249,1.0
KP0635_AC_SB20,0.958799076784297,-6.231302119252288,1.9737701147425664,1.0
KP0636_AC_SB20,2.089284248697679,-6.4881684679961005,2.274325912914618,1.0
KP0637_LM_SB20,0.44299734886244774,-5.4531084243083,1.8811698158340004,1.0
KP0638_AC_SB20,2.1647006313077712,-6.1768338954730355,1.9935474566053097,1.0
KP0639_LM_SB20,0.4893925827676969,-5.135304519466456,1.9739235349526592,1.0
KP0640_AC_SB20,2.441452286069093,-6.384807272153953,1.8018951134427357,1.0
KP0641_LM_SB20,0.21641044614215862,-5.055159254495204,1.8768756673806328,1.0
KP0642_AC_SB20,2.12753119226563,-5.903125555352226,2.000668994199174,1.0
KP0643_AC_SB20,-0.1698742162429494,-4.862974762138398,1.9323216030288428,1.0
KP0644_AC_SB20,1.9148182312072168,-5.786692951402011,1.8555804493170114,1.0
KP0645_AC_SB20_X,0.022673199328298418,-3.3777695916742343,2.3667478302812315,1.0
KP0646_AC_SB20,1.6921325878272933,-5.603894048464323,2.0373773942598308,1.0
KP0647_AC_SB20,-0.7167884010083454,-3.042298038994259,2.3936920117223575,1.0
KP0648_AC_SB20,1.7181358806953637,-5.441524140873172,1.9320398617063597,1.0
KP0649_AC_SB20,-0.2820190654295672,-2.520924988475547,2.12896753106651,1.0
KP0650_LM_SB20,2.0091307325105445,-4.358538569805517,2.0531504697032714,1.0
KP0651_AC_SB20,-0.5273706898884959,-2.4264231833744576,2.1880198484684175,1.0
KP0652_AC_SB20,1.3047071410851812,-4.009672076736486,2.1015810291362826,1.0
KP0653_GR_X,-0.15360712066052917,-5.288187237063556,1.781841136462928,1.0
KP0654_AC_SB20,1.0294397392171637,-3.768694752028936,2.1898655582318125,1.0
KP0655_LM_SB20,-1.527630909137428,-2.409102986894287,2.0792809092540607,1.0
