,x,y,z,p
KP0217_AC_SQ20,0.39901328398693453,14.916574812946974,-1.4596321136059789,1.0
KP0218_AC_SQ20,0.29156837955680825,17.087127802947244,-1.498076633042641,1.0
KP0219_AC_SQ20,0.25666947135285284,17.4941811423592,-1.6466298943273732,1.0
KP0220_AC_SQ20,0.4510191220731461,17.546309641824514,-1.5703606563615191,1.0
KP0221_AC_SQ20,0.4783033597558309,17.57539408677721,-1.5943839547864234,1.0
KP0222_AC_SQ20,-0.08771744986503906,17.794216069871116,-1.1621937212638296,1.0
KP0224_AC_SQ20,-0.6475631801485746,19.197246863385985,-1.7168482192137569,1.0
KP0225_AC_SQ20,-0.9561560669951267,19.227764308829013,-1.6001720009590605,1.0
KP0226_AC_SQ20,-0.8328610017952763,19.061764602143345,-1.5756251399050367,1.0
KP0227_AC_SQ20,-0.8400149483445587,18.832017052072143,-1.2925583107899983,1.0
KP0228_AC_SQ20,-0.6130330237777489,18.621011010680327,-1.1793741382089709,1.0
KP0229_AC_SQ20,-0.5014439759284498,18.569001919900977,-1.3087410022594912,1.0
KP0230_AC_SQ20,-0.5936826148343355,18.3221203579933,-1.2245271396420565,1.0
KP0231_AC_SQ20,-0.16100578060086929,17.798236249191895,-1.106709155995872,1.0
KP0232_AC_SQ20,-0.3243122165969904,17.785719743241373,-1.1492141914763347,1.0
KP0233_AC_SQ20,-0.2367420778826592,17.715276023906124,-1.2435320903600313,1.0
KP0234_LM_SQ20,-1.0511346558844314,16.571134528871607,-1.460921094010722,1.0
KP0235_AC_SQ20,-0.8584403044794572,15.660931660269565,-1.1581711996420432,1.0
KP0236_AC_SQ20,-0.29949789205545824,15.530465943054471,-1.4781235403611515,1.0
KP0237_AC_SQ20,-0.2064413202203442,8.863828423771698,-1.3443526485153041,1.0
KP0238_AC_SQ20,-0.33876966166746436,8.873014923392446,-1.334867694041415,1.0
KP0239_AC_SQ20,-0.42542302966732315,8.87270947257526,-1.303338508836345,1.0
KP0240_AC_SQ20,-0.22711893336883676,8.964636229583652,-1.3641146940286355,1.0
KP0241_AC_SQ20,0.41243560733988205,10.460731872859213,-1.597628617855709,1.0
KP0242_AC_SQ20,0.5092582154017984,11.1755513371039,-1.6301794952021913,1.0
KP0243_AC_SQ20,-0.8165880190291434,10.810966902766715,-1.8885904862760787,1.0
KP0223_AC_SQ20,-0.10868398450236202,17.849746311775984,-1.2942703536190896,1.0
KP0212_AC_SQ20_X,0.21235455212613916,14.67101721536295,-1.4840480176184592,1.0
KP0213_AC_SQ20,0.36378543809697134,14.611304610772324,-1.3630242520202889,1.0
KP0215_AC_SQ20,0.2103827875215298,14.70011535956833,-1.4277947339435444,1.0
KP0214_AC_SQ20,0.4653818941003727,14.786228750958998,-1.3564557304427227,1.0
KP0216_AC_SQ20,0.257649980166024,14.800602264437291,-1.348381705472275,1.0
KP0248_AC_SQ20,1.1976736288241436,1.0643441667443243,-1.4236596386212206,1.0
KP0250_AC_SQ20,1.084555829755659,1.3897761224252865,-1.318950824207859,1.0
