,x,y,z,p
KP0163_AC_SQ12_X,2.5237865526338457,-10.575303692027163,-0.800154337575002,1.0
KP0170_AC_SQ12_X_SP,2.3330587769278073,-10.865543071923778,-0.8471977086807883,1.0
KP0166_AC_SQ12_X,2.4645968272085668,-11.026574620203412,-0.8594306586575488,1.0
KP0179_AC_SQ12,3.3650393839294943,-10.936249139404024,-0.8393594693283288,1.0
KP0180_AC_SQ12,3.3690224895394345,-10.882356350519723,-0.9489614182448265,1.0
KP0181_AC_SQ12_X,3.2355349117207757,-10.934641852026923,-0.6334617519708562,1.0
KP0182_AC_SQ12_X,3.2289740689441104,-10.944140372351365,-0.6869790836050272,1.0
KP0183_AC_SQ12_X,3.084081891281102,-11.02340281436001,-0.827031476909144,1.0
KP0184_AC_SQ12_X,3.112872280238638,-11.032395100165964,-0.7948531738086673,1.0
KP0185_AC_SQ12_X,3.106849263811622,-10.91765536753379,-0.9372502558319551,1.0
KP0186_LM_SQ12,3.2568702163412886,-10.838134143551365,-1.0864650513591707,1.0
KP0187_AC_SQ12,2.7713759260261264,-10.456753694574601,-0.6233418972194823,1.0
KP0188_AC_SQ12,2.6660717021217337,-10.407194677295143,-0.7093894104210708,1.0
KP0189_AC_SQ12,2.0523852968513765,-4.208588006642114,-1.11594443830017,1.0
KP0190_AC_SQ12,2.416698401876397,-4.16571725423367,-1.2332229310415919,1.0
KP0192_AC_SQ12,0.397036153539208,0.3976500166722151,-1.6582683897302115,1.0
KP0191_AC_SQ12_X,-0.10251542778860205,2.6098463527756,-1.4466835571328198,1.0
KP0194_AC_SQ12,0.09277006935238549,-1.2480357768465264,-1.2498584551171183,1.0
KP0193_AC_SQ12_X,0.22118781836018683,-1.3156837541899544,-1.3587182516682423,1.0
KP0195_AC_SQ12,0.2207053148109864,-1.3091711759837816,-1.2400654495860355,1.0
KP0196_AC_SQ12,-0.0033123336672584713,-1.2922248950370159,-1.0501863286939601,1.0
KP0197_AC_SQ12_X,0.09367727081565037,-1.4500979702786783,-0.9469071472675571,1.0
KP0198_AC_SQ12,0.07295470364844621,-1.5561100108242276,-0.8517065461903236,1.0
KP0199_AC_SQ12,-0.26232549694971913,-1.4245299224132346,-1.0776226727619167,1.0
KP0200_AC_SQ12,-0.25630777790063725,-1.5510870321892452,-0.975728554994936,1.0
KP0201_AC_SQ12,-0.16002294023963745,-1.5176122230020939,-0.774539738074488,1.0
