,x,y,z,range
KP0613_LM_SB20,0.33912486489531213,-0.8079478267221872,1.9457285563941549,1.0
KP0614_LM_SB20,-1.053613923311374,-1.0839332246199747,1.7945207980401057,1.0
KP0615_AC_SB20,-0.2911399448182378,-1.628298130161401,1.927085647368124,1.0
KP0616_LM_SB20,-1.431162910299192,-0.6958179506383307,1.700971779780387,1.0
KP0617_LM_SB20,-0.6420368472727819,-1.863119120105913,1.9226765684039688,1.0
KP0618_LM_SB20,-1.888656293119879,-0.36944516215356116,2.310440855499466,1.0
KP0619_AC_SB20,-0.8668989881371106,-1.709508179321457,1.9695001825576568,1.0
KP0620_LM_SB20,-2.0154879606904204,-0.2505455006007607,2.145209229641491,1.0
KP0621_LM_SB20,-1.0165092034356469,-1.4728021502331519,1.8724238945201503,1.0
KP0622_AC_SB20_X,-2.2475868054656405,-0.48926469431360986,2.45630809846106,1.0
KP0623_LM_SB20,-1.4768914730854257,-1.9690093304761738,1.7886384806210809,1.0
KP0624_AC_SB20,-2.157401340525552,0.04020537627903248,2.4298905288724613,1.0
KP0625_AC_SB20_X,-1.6423734602467193,-1.346800035580498,2.365015095396694,1.0
KP0626_AC_SB20,-2.217582978948148,0.18098957944159644,2.4525911878476583,1.0
KP0627_AC_SB20_X,-2.244950818219952,-0.7903247890033164,2.458458776122354,1.0
KP0628_AC_SB20,-2.4208641755055202,0.33047405847246586,2.3855369026954127,1.0
KP0629_LM_SB20,-2.7339046970142764,-0.526869832183876,2.4862617776229534,1.0
KP0630_AC_SB20,-2.4860339177070556,-0.061070807046682093,2.477955477895376,1.0
KP0631_LM_SB20,-2.990450474441795,-0.967112258827851,2.1480636621214697,1.0
KP0632_AC_SB20,-2.348884584941889,0.24100313484225105,2.5240753253434387,1.0
KP0633_AC_SB20,6.319497587758243,1.627931413156173,2.1258479960467227,1.0
KP0634_LM_SB20_X,-3.2389966919663493,-0.038009471057020676,2.246865982702249,1.0
KP0635_AC_SB20,6.231302077342222,0.9587993491607439,1.9737701147425664,1.0
KP0636_AC_SB20,6.488168376671397,2.089284532302011,2.274325912914618,1.0
KP0637_LM_SB20,5.453108404944443,0.44299758722327004,1.8811698158340004,1.0
KP0638_AC_SB20,6.176833800851807,2.1647009013033576,1.9935474566053095,1.0
