Sample,Pop,Groups
KP0355_AC_WP20,WP20,156
KP0360_AC_WP20,WP20,191
KP0361_LM_WP20,WP20,191
KP0362_AC_WP20,WP20,191
KP0363_AC_WP20,WP20,191
KP0365_AC_WP20,WP20,109
KP0367_AC_WP20,WP20,109
KP0368_AC_WP20,WP20,268
KP0369_AC_WP20,WP20,8
KP0372_AC_WP20,WP20,176
KP0373_AC_WP20,WP20,8
KP0374_AC_WP20,WP20,121
KP0379_AC_WP20,WP20,5
KP0382_AC_WP20,WP20,132
KP0383_AC_WP20,WP20,132
KP0384_AC_WP20,WP20,150
KP0385_AC_WP20,WP20,115
KP0386_AC_WP20,WP20,115
KP0388_AC_WP20,WP20,115
KP0389_AC_WP20,WP20,115
KP0390_AC_WP20,WP20,115
KP0392_AC_WP20,WP20,4
KP0393_AC_WP20,WP20,4
KP0394_AC_WP20,WP20,4
KP0395_AC_WP20,WP20,4
KP0396_AC_WP20,WP20,4
KP0398_AC_WP20,WP20,4
KP0399_LM_WP20,WP20,15
KP0405_AC_WP20,WP20,274
KP0406_NA_NANA,WP20,110
KP0407_AC_CA05,CA05,99
KP0408_AC_CA05,CA05,296
KP0409_AC_CA05,CA05,243
KP0424_AC_CA05,CA05,269
KP0431_HU_CA05,CA05,310
KP0441_AC_CA05,CA05,256
KP0450_AC_WP20,WP20,207
KP0452_AC_WP20,WP20,13
KP0454_AC_WP20,WP20,263
KP0457_AC_WP20,WP20,193
KP0461_AC_WP20,WP20,118
KP0462_AC_WP20,WP20,118
KP0463_AC_WP20,WP20,6
KP0464_AC_WP20,WP20,187
KP0467_AC_WP20,WP20,171
KP0468_AC_WP20,WP20,171
KP0470_AC_WP20,WP20,116
KP0471_AC_WP20,WP20,172
KP0475_AC_WP20,WP20,163
KP0477_AC_WP20,WP20,163
KP0479_AC_WP20,WP20,216
KP0481_AC_WP20,WP20,115
KP0484_AC_WP20,WP20,184
KP0485_AC_WP20,WP20,202
KP0486_AC_WP20,WP20,9
KP0487_AC_WP20,WP20,152
KP0488_AC_WP20,WP20,152
KP0489_AC_WP20,WP20,194
KP0490_AC_WP20,WP20,177
KP0491_AC_WP20,WP20,151
KP0492_AC_WP20,WP20,151
KP0493_AC_WP20,WP20,151
KP0494_AC_WP20,WP20,166
KP0495_AC_WP20,WP20,166
KP0499_AC_WP20,WP20,151
KP0500_AC_WP20,WP20,151
KP0501_AC_WP20,WP20,151
KP0505_AC_WP20,WP20,270
KP0508_AC_WP20,WP20,167
KP0510_AC_WP20,WP20,174
KP0512_AC_WP20,WP20,174
KP0513_AC_WP20,WP20,174
KP0515_AC_WP20,WP20,120
KP0516_AC_WP20,WP20,120
KP0521_AC_WP20,WP20,165
KP0522_AC_WP20,WP20,165
KP0523_AC_WP20,WP20,133
KP0524_AC_WP20,WP20,133
KP0526_AC_WP20,WP20,153
KP0528_AC_WP20,WP20,169
KP0530_AC_WP20,WP20,169
KP0532_AC_WP20,WP20,153
KP0533_AC_WP20,WP20,173
KP0535_AC_WP20,WP20,104
KP0536_AC_WP20,WP20,231
KP0537_AC_WP20,WP20,154
KP0538_AC_WP20,WP20,104
KP0539_AC_WP20,WP20,168
KP0543_AC_WP20,WP20,192
KP0545_AC_WP20,WP20,192
KP0546_AC_WP20,WP20,168
KP0549_AC_WP20,WP20,192
KP0554_AC_WP20,WP20,199
KP0559_AC_WP20,WP20,11
KP0563_AC_WP20,WP20,12
KP0565_LM_WP20,WP20,7
KP0568_AC_WP20,WP20,128
KP0569_AC_WP20,WP20,10
KP0571_AC_WP20,WP20,143
KP0572_AC_WP20,WP20,144
KP0575_AC_WP20,WP20,9
KP0576_AC_WP20,WP20,9
KP0577_AC_WP20,WP20,9
KP0579_AC_WP20,WP20,200
KP0581_AC_WP20,WP20,9
KP0583_LM_WP20,WP20,39
KP0584_AC_WP20,WP20,9
KP0590_AC_WP20,WP20,7
KP0591_AC_WP20,WP20,7
KP0593_AC_SB20,SB20,53
KP0595_AC_SB20,SB20,86
KP0596_AC_SB20,SB20,54
KP0600_AC_SB20,SB20,86
KP0604_AC_SB20,SB20,72
KP0607_AC_SB20,SB20,23
KP0608_AC_SB20,SB20,208
KP0611_LM_SB20,SB20,320
KP0625_AC_SB20,SB20,319
KP0626_AC_SB20,SB20,61
KP0636_AC_SB20,SB20,323
KP0638_AC_SB20,SB20,318
KP0640_AC_SB20,SB20,89
KP0643_AC_SB20,SB20,306
KP0645_AC_SB20,SB20,285
KP0646_AC_SB20,SB20,297
KP0647_AC_SB20,SB20,78
KP0648_AC_SB20,SB20,313
KP0649_AC_SB20,SB20,283
KP0652_AC_SB20,SB20,321
KP0654_AC_SB20,SB20,315
KP0658_AC_SB20,SB20,87
KP0660_AC_SB20,SB20,87
KP0661_AC_SB20,SB20,292
KP0662_AC_SB20,SB20,316
KP0665_AC_SB20,SB20,307
KP0667_AC_SB20,SB20,39
KP0668_AC_SB20,SB20,293
KP0669_AC_SB20,SB20,304
KP0673_NA_NANA,SB20,39
KP0678_AC_SB20,SB20,27
KP0679_AC_SB20,SB20,31
KP0681_AC_SB20,SB20,31
KP0686_AC_SB20,SB20,294
KP0688_AC_SB20,SB20,36
KP0690_AC_SB20,SB20,24
KP0691_AC_SB20,SB20,88
KP0693_AC_SB20,SB20,88
KP0696_AC_SB20,SB20,16
KP0698_AC_SB20,SB20,37
KP0699_AC_SB20,SB20,88
KP0701_AC_SB20,SB20,88
KP0703_AC_SB20,SB20,42
KP0704_AC_SB20,SB20,74
KP0708_AC_SB20,SB20,286
KP0709_AC_SB20,SB20,42
KP0711_AC_SB20,SB20,298
KP0712_AC_SB20,SB20,226
KP0714_AC_SB20,SB20,322
KP0717_AC_SB20,SB20,302
KP0720_AC_SB20,SB20,79
KP0724_AC_SB20,SB20,305
KP0727_AC_SB20,SB20,57
KP0730_AC_SB20,SB20,276
KP0734_AC_SB20,SB20,287
KP0741_AC_WP10,WP10,142
KP0742_AC_WP10,WP10,178
KP0743_AC_WP10,WP10,142
KP0745_AC_WP10,WP10,142
KP0746_AC_WP10,WP10,134
KP0747_AC_WP20,WP20,179
KP0748_AC_WP10,WP10,129
KP0749_AC_WP20,WP20,162
KP0751_AC_WP10,WP10,213
KP0753_AC_WP10,WP10,217
KP0757_AC_WP10,WP10,195
KP0758_AC_WP10,WP10,112
KP0760_AC_WP10,WP10,210
KP0761_AC_WP10,WP10,113
KP0767_AC_WP10,WP10,261
KP0769_AC_WP10,WP10,18
KP0771_AC_WP10,WP10,203
KP0773_AC_WP10,WP10,218
KP0777_AC_WP10,WP10,277
KP0779_AC_WP10,WP10,227
KP0782_AC_WP10,WP10,126
KP0787_AC_WP10,WP10,224
KP0788_AC_WP10,WP10,126
KP0790_AC_WP10,WP10,181
KP0792_AC_WP10,WP10,181
KP0793_AC_WP10,WP10,148
KP0794_AC_WP10,WP10,126
KP0796_AC_WP10,WP10,126
KP0797_AC_WP10,WP10,196
KP0799_AC_WP10,WP10,108
KP0800_AC_WP10,WP10,126
KP0801_AC_WP10,WP10,84
KP0802_AC_WP10,WP10,141
KP0804_AC_WP10,WP10,126
KP0808_AC_WP10,WP10,101
KP0810_AC_WP10,WP10,141
KP0811_AC_WP10,WP10,188
KP0812_AC_WP10,WP10,107
KP0815_AC_WP10,WP10,219
KP0816_AC_WP10,WP10,107
KP0822_AC_WP10,WP10,130
KP0823_AC_WP10,WP10,131
KP0824_AC_WP10,WP10,135
KP0828_AC_WP10,WP10,135
KP0830_AC_WP10,WP10,145
KP0832_AC_WP10,WP10,145
KP0833_AC_WP10,WP10,119
KP0835_AC_WP10,WP10,119
KP0837_AC_WP10,WP10,299
KP0844_UN_NANA,WP10,122
KP0846_AC_WP10,WP10,122
KP0852_AC_WP10,WP10,122
KP0857_AC_WP10,WP10,232
KP0861_AC_WP10,WP10,123
KP0866_AC_WP10,WP10,124
KP0867_AC_WP10,WP10,164
KP0871_AC_WP10,WP10,164
KP0879_AC_WP10,WP10,139
KP0880_HU_WP10,WP10,127
KP0881_AC_WP10,WP10,233
KP0882_AC_WP10,WP10,138
KP0883_AC_WP10,WP10,157
KP0884_AC_WP10,WP10,111
KP0885_AC_WP10,WP10,106
KP0887_AC_WP10,WP10,106
KP0895_AC_WP10,WP10,229
KP0897_AC_WP10,WP10,182
KP0898_AC_WP10,WP10,183
KP0900_AC_WP10,WP10,158
KP0909_AC_WP10,WP10,211
KP0912_AC_WP10,WP10,214
KP0913_AC_WP10,WP10,102
KP0915_AC_WP10,WP10,204
KP0916_AC_WP10,WP10,275
KP0917_AC_WP10,WP10,158
KP0918_AC_WP10,WP10,189
KP0919_AC_WP10,WP10,180
KP0925_AC_WP10,WP10,103
KP0926_AC_WP10,WP10,205
KP0928_AC_WP10,WP10,160
KP0929_AC_WP10,WP10,103
KP0930_AC_WP10,WP10,159
KP0931_AC_WP10,WP10,103
KP0932_AC_WP10,WP10,159
KP0933_AC_WP10,WP10,197
KP0934_AC_WP10,WP10,117
KP0936_AC_WP10,WP10,221
KP0937_AC_WP10,WP10,209
KP0938_HU_WP10,WP10,9
KP0940_AC_WP10,WP10,125
KP0942_AC_WP10,WP10,136
KP0945_AC_WP10,WP10,222
KP0947_AC_WP10,WP10,212
KP0950_AC_WP05,WP05,271
KP0953_AC_WP10,WP10,137
KP0962_AC_WP05,WP05,220
KP0965_AC_WP05,WP05,114
KP0966_AC_WP05,WP05,114
KP0967_HU_WP05,WP05,185
KP0974_AC_WP05,WP05,223
KP0977_AC_WP05,WP05,140
KP0978_AC_WP05,WP05,262
KP0981_AC_WP05,WP05,186
KP0982_AC_WP05,WP05,206
KP0983_AC_WP05,WP05,72
KP0992_AC_CA10,CA10,85
KP0993_AC_CA10,CA10,257
KP0994_AC_CA10,CA10,85
KP0998_AC_CA10,CA10,85
KP0999_AC_CA10,CA10,259
KP1002_AC_WP10,WP10,317
KP1007_AC_WP10,WP10,253
KP1009_AC_CA10,CA10,253
KP1011_AC_CA10,CA10,254
KP1012_AC_CA10,CA10,258
KP1013_AC_CA10,CA10,52
KP1014_AC_CA10,CA10,258
KP1015_AC_CA10,CA10,52
KP1016_AC_CA10,CA10,258
KP1019_AC_CA10,CA10,278
KP1021_AC_CA10,CA10,264
KP1022_AC_CA10,CA10,252
KP1026_AC_CA10,CA10,238
KP1027_AC_CA10,CA10,251
KP1028_AC_CA10,CA10,238
KP1029_AC_CA10,CA10,265
KP1030_AC_CA10,CA10,311
KP1032_AC_CA10,CA10,251
KP1045_AC_CA10,CA10,19
KP1046_AC_CA10,CA10,239
KP1047_AC_CA10,CA10,248
KP1048_AC_CA10,CA10,239
KP1051_AC_CA10,CA10,248
KP1052_AC_CA10,CA10,266
KP1053_AC_CA10,CA10,314
KP1062_AC_CA20,CA20,291
KP1066_AC_CA20,CA20,100
KP1067_AC_CA20,CA20,244
KP1068_AC_CA20,CA20,237
KP1069_AC_CA20,CA20,90
KP1070_AC_CA20,CA20,237
KP1071_AC_CA20,CA20,90
KP1076_AC_CA20,CA20,247
KP1077_AC_CA20,CA20,288
KP1079_AC_CA20,CA20,94
KP1081_AC_CA20,CA20,94
KP1088_AC_CA20,CA20,58
KP1089_AC_CA20,CA20,245
KP1097_AC_CA20,CA20,272
KP1104_AC_CA20,CA20,93
KP1106_AC_CA20,CA20,93
KP1107_AC_CA20,CA20,246
KP1109_AC_CA20,CA20,58
KP1111_AC_CA20,CA20,58
KP1115_AC_CA20,CA20,91
KP1120_AC_CA20,CA20,255
KP1121_AC_CA20,CA20,20
KP1125_AC_CA20,CA20,235
KP1128_AC_CA20,CA20,240
KP1129_AC_CA20,CA20,93
KP1132_AC_CA20,CA20,18
KP1134_AC_CA20,CA20,241
KP1135_AC_CA20,CA20,249
KP1137_AC_CA20,CA20,236
KP1139_LM_CA20,CA20,92
KP1140_AC_CA20,CA20,267
KP1141_AC_CA20,CA20,242
KP1143_AC_CA20,CA20,250
KP1146_LM_CA20,CA20,95
KP1147_AC_CA20,CA20,26
KP1148_AC_CA20,CA20,95
KP1149_AC_CA20,CA20,260
KP1150_AC_CA20,CA20,97
KP1151_AC_CA20,CA20,98
KP1156_UN_CA20,CA20,96
KP1165_AC_CA20,CA20,96
KX0394_AC_WP20,WP20,4
KX0396_AC_WP20,WP20,4
KX0604_AC_SB20,SB20,72
KX0743_AC_WP10,WP10,142
KZ0578_AC_WP20,WP20,9
