Sample,Pop,Groups,Sites
KP0537_AC_WP20,WP20,154,22129.0
KP0546_AC_WP20,WP20,168,21995.0
KP0545_AC_WP20,WP20,192,21589.0
KP0554_AC_WP20,WP20,199,21568.0
KP0559_AC_WP20,WP20,11,17437.0
KP0563_AC_WP20,WP20,12,21211.0
KP0590_AC_WP20,WP20,7,21363.0
KP0568_AC_WP20,WP20,128,21749.0
KP0569_AC_WP20,WP20,10,21639.0
KP0571_AC_WP20,WP20,143,22001.0
KP0572_AC_WP20,WP20,144,21914.0
KP0579_AC_WP20,WP20,200,16778.0
KP0667_AC_SB20,SB20,39,22051.0
KP0593_AC_SB20,SB20,53,18233.0
KP0600_AC_SB20,SB20,86,21882.0
KP0596_AC_SB20,SB20,54,21441.0
KP0604_AC_SB20,SB20,72,21959.0
KP0607_AC_SB20,SB20,23,21517.0
KP0608_AC_SB20,SB20,208,21901.0
KP0611_LM_SB20,SB20,320,20868.0
KP0625_AC_SB20,SB20,319,21623.0
KP0626_AC_SB20,SB20,61,20112.0
KP0636_AC_SB20,SB20,323,19496.0
KP0638_AC_SB20,SB20,318,17927.0
KP0640_AC_SB20,SB20,89,22123.0
KP0643_AC_SB20,SB20,306,20808.0
KP0645_AC_SB20,SB20,285,21863.0
KP0646_AC_SB20,SB20,297,22014.0
KP0647_AC_SB20,SB20,78,21888.0
KP0648_AC_SB20,SB20,313,19984.0
KP0649_AC_SB20,SB20,283,22128.0
KP0652_AC_SB20,SB20,321,21755.0
KP0654_AC_SB20,SB20,315,17042.0
KP0660_AC_SB20,SB20,87,22057.0
KP0661_AC_SB20,SB20,292,21954.0
KP0662_AC_SB20,SB20,316,21851.0
KP0665_AC_SB20,SB20,307,21829.0
KP0668_AC_SB20,SB20,293,21741.0
KP0669_AC_SB20,SB20,304,21379.0
KP0678_AC_SB20,SB20,27,21489.0
KP0679_AC_SB20,SB20,31,21958.0
KP0686_AC_SB20,SB20,294,21865.0
KP0688_AC_SB20,SB20,36,21412.0
KP0690_AC_SB20,SB20,24,20821.0
KP0691_AC_SB20,SB20,88,22000.0
KP0696_AC_SB20,SB20,16,21385.0
KP0698_AC_SB20,SB20,37,21999.0
KP0703_AC_SB20,SB20,42,21190.0
KP0704_AC_SB20,SB20,74,21801.0
KP0708_AC_SB20,SB20,286,21102.0
KP0711_AC_SB20,SB20,298,20740.0
KP0712_AC_SB20,SB20,226,13883.0
KP0714_AC_SB20,SB20,322,21799.0
KP0717_AC_SB20,SB20,302,20575.0
KP0720_AC_SB20,SB20,79,19633.0
KP0724_AC_SB20,SB20,305,15125.0
KP0727_AC_SB20,SB20,57,21564.0
KP0730_AC_SB20,SB20,276,21102.0
KP0734_AC_SB20,SB20,287,21569.0
KX0743_AC_WP10,WP10,142,21988.0
KP0742_AC_WP10,WP10,178,17949.0
KP0746_AC_WP10,WP10,134,21925.0
KP0747_AC_WP20,WP20,179,22032.0
KP0748_AC_WP10,WP10,129,22066.0
KP0749_AC_WP20,WP20,162,21955.0
KP0751_AC_WP10,WP10,213,20895.0
KP0753_AC_WP10,WP10,217,21867.0
KP0757_AC_WP10,WP10,195,21379.0
KP0758_AC_WP10,WP10,112,22019.0
KP0760_AC_WP10,WP10,210,21942.0
KP0761_AC_WP10,WP10,113,21927.0
KP0767_AC_WP10,WP10,261,15213.0
KP0769_AC_WP10,WP10,18,21611.0
KP0771_AC_WP10,WP10,203,21265.0
KP0773_AC_WP10,WP10,218,21247.0
KP0777_AC_WP10,WP10,277,18107.0
KP0779_AC_WP10,WP10,227,22002.0
KP0794_AC_WP10,WP10,126,21877.0
KP0787_AC_WP10,WP10,224,14235.0
KP0792_AC_WP10,WP10,181,21750.0
KP0793_AC_WP10,WP10,148,16253.0
KP0797_AC_WP10,WP10,196,21499.0
KP0799_AC_WP10,WP10,108,19940.0
KP0802_AC_WP10,WP10,141,19980.0
KP0808_AC_WP10,WP10,101,19072.0
KP0811_AC_WP10,WP10,188,20830.0
KP0812_AC_WP10,WP10,107,21776.0
KP0815_AC_WP10,WP10,219,20452.0
KP0822_AC_WP10,WP10,130,21757.0
KP0823_AC_WP10,WP10,131,22176.0
KP0828_AC_WP10,WP10,135,20877.0
KP0830_AC_WP10,WP10,145,21844.0
KP0835_AC_WP10,WP10,119,21995.0
KP0837_AC_WP10,WP10,299,20907.0
KP0844_UN_NANA,WP10,122,22013.0
KP0857_AC_WP10,WP10,232,22104.0
KP0861_AC_WP10,WP10,123,17996.0
KP0866_AC_WP10,WP10,124,15027.0
KP0871_AC_WP10,WP10,164,21963.0
KP0879_AC_WP10,WP10,139,19528.0
KP0880_HU_WP10,WP10,127,21410.0
KP0881_AC_WP10,WP10,233,22015.0
KP0882_AC_WP10,WP10,138,21556.0
KP0883_AC_WP10,WP10,157,22010.0
KP0884_AC_WP10,WP10,111,21815.0
KP0887_AC_WP10,WP10,106,22129.0
KP0895_AC_WP10,WP10,229,20355.0
KP0897_AC_WP10,WP10,182,14993.0
KP0898_AC_WP10,WP10,183,22033.0
KP0917_AC_WP10,WP10,158,21767.0
KP0909_AC_WP10,WP10,211,17891.0
KP0912_AC_WP10,WP10,214,21953.0
KP0913_AC_WP10,WP10,102,21298.0
KP0915_AC_WP10,WP10,204,22049.0
KP0916_AC_WP10,WP10,275,21654.0
KP0918_AC_WP10,WP10,189,16982.0
KP0919_AC_WP10,WP10,180,20873.0
KP0931_AC_WP10,WP10,103,21889.0
KP0926_AC_WP10,WP10,205,22000.0
KP0928_AC_WP10,WP10,160,18765.0
KP0930_AC_WP10,WP10,159,16354.0
KP0933_AC_WP10,WP10,197,21933.0
KP0934_AC_WP10,WP10,117,21788.0
KP0936_AC_WP10,WP10,221,20207.0
KP0937_AC_WP10,WP10,209,21654.0
KP0940_AC_WP10,WP10,125,22054.0
KP0942_AC_WP10,WP10,136,21976.0
KP0945_AC_WP10,WP10,222,20169.0
KP0947_AC_WP10,WP10,212,22079.0
KP0950_AC_WP05,WP05,271,20515.0
KP0953_AC_WP10,WP10,137,21663.0
KP0962_AC_WP05,WP05,220,22057.0
KP0965_AC_WP05,WP05,114,21433.0
KP0967_HU_WP05,WP05,185,19141.0
KP0974_AC_WP05,WP05,223,21412.0
KP0977_AC_WP05,WP05,140,21939.0
KP0978_AC_WP05,WP05,262,21986.0
KP0981_AC_WP05,WP05,186,19882.0
KP0982_AC_WP05,WP05,206,17368.0
KP0992_AC_CA10,CA10,85,22014.0
KP0993_AC_CA10,CA10,257,18818.0
KP0999_AC_CA10,CA10,259,22038.0
KP1002_AC_WP10,WP10,317,21780.0
KP1009_AC_CA10,CA10,253,21855.0
KP1011_AC_CA10,CA10,254,22010.0
KP1012_AC_CA10,CA10,258,21912.0
KP1015_AC_CA10,CA10,52,22061.0
KP1019_AC_CA10,CA10,278,20102.0
KP1021_AC_CA10,CA10,264,20947.0
KP1022_AC_CA10,CA10,252,21718.0
KP1028_AC_CA10,CA10,238,21998.0
KP1032_AC_CA10,CA10,251,21988.0
KP1029_AC_CA10,CA10,265,22155.0
KP1030_AC_CA10,CA10,311,21999.0
KP1045_AC_CA10,CA10,19,19215.0
KP1046_AC_CA10,CA10,239,22111.0
KP1047_AC_CA10,CA10,248,20351.0
KP1052_AC_CA10,CA10,266,20718.0
KP1053_AC_CA10,CA10,314,17905.0
KP1062_AC_CA20,CA20,291,21914.0
KP1066_AC_CA20,CA20,100,15705.0
KP1067_AC_CA20,CA20,244,21225.0
KP1070_AC_CA20,CA20,237,21599.0
KP1069_AC_CA20,CA20,90,21953.0
KP1076_AC_CA20,CA20,247,20262.0
KP1077_AC_CA20,CA20,288,22134.0
KP1081_AC_CA20,CA20,94,22029.0
KP1088_AC_CA20,CA20,58,21968.0
KP1089_AC_CA20,CA20,245,20198.0
KP1097_AC_CA20,CA20,272,20729.0
KP1104_AC_CA20,CA20,93,22003.0
KP1107_AC_CA20,CA20,246,21501.0
KP1115_AC_CA20,CA20,91,21814.0
KP1120_AC_CA20,CA20,255,22049.0
KP1121_AC_CA20,CA20,20,20672.0
KP1125_AC_CA20,CA20,235,21731.0
KP1128_AC_CA20,CA20,240,21784.0
KP1134_AC_CA20,CA20,241,21626.0
KP1135_AC_CA20,CA20,249,20565.0
KP1137_AC_CA20,CA20,236,20160.0
KP1139_LM_CA20,CA20,92,21927.0
KP1140_AC_CA20,CA20,267,15316.0
KP1141_AC_CA20,CA20,242,17054.0
KP1143_AC_CA20,CA20,250,21159.0
KP1148_AC_CA20,CA20,95,22052.0
KP1147_AC_CA20,CA20,26,15528.0
KP1149_AC_CA20,CA20,260,18353.0
KP1150_AC_CA20,CA20,97,21874.0
KP1151_AC_CA20,CA20,98,17816.0
KP1156_UN_CA20,CA20,96,21383.0
