,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP1097_AC_CA20,KP1097_AC_CA20,CA20,CA,20,-1.87983556824385,-1.82537653925722,-1.95500197540857,-1.8208905899328
KP1104_AC_CA20,KP1104_AC_CA20,CA20,CA,20,-1.57018946066103,-0.703586232688867,-2.01086124075137,-1.73697036824722
KP1106_AC_CA20,KP1106_AC_CA20,CA20,CA,20,-1.57694820168186,-0.684873016866633,-1.99763914252008,-1.70501454307918
KP1107_AC_CA20,KP1107_AC_CA20,CA20,CA,20,-2.02585998272985,-0.989035819060483,-1.45835523960636,-1.42418989735141
KP1109_AC_CA20,KP1109_AC_CA20,CA20,CA,20,-1.48404454288847,-1.03858847149755,-2.83256060951387,-1.12941312189387
KP1111_AC_CA20,KP1111_AC_CA20,CA20,CA,20,-1.50943566707552,-1.42902569047777,-2.48041130507984,-0.641052000917277
KP1115_AC_CA20,KP1115_AC_CA20,CA20,CA,20,-2.36826834908519,-0.984872629011484,-1.24535178535943,-1.88045590884284
KP1120_AC_CA20,KP1120_AC_CA20,CA20,CA,20,-2.23865693914729,-1.80204666851579,-1.12811237197857,-1.75150028220045
KP1121_AC_CA20,KP1121_AC_CA20,CA20,CA,20,16.9384994672344,0.214006102251029,-0.260751907201854,-0.07902382884973
KP1125_AC_CA20,KP1125_AC_CA20,CA20,CA,20,-2.02861039053385,-2.32680405715758,-1.04828293303792,-1.81756122383084
KP1128_AC_CA20,KP1128_AC_CA20,CA20,CA,20,-2.07562058334439,-1.82189126935793,-1.8670899467869,-2.23582929821759
KP1129_AC_CA20,KP1129_AC_CA20,CA20,CA,20,-1.62801471818749,-0.63776632877098,-1.95724780777145,-1.62711372298627
KP1132_AC_CA20,KP1132_AC_CA20,CA20,CA,20,16.5780994536645,0.331538211363522,-0.493056692990791,-0.123844567016595
KP1134_AC_CA20,KP1134_AC_CA20,CA20,CA,20,-2.44297602590473,-1.87942256494691,-2.16932870973748,-1.70024134190407
KP1135_AC_CA20,KP1135_AC_CA20,CA20,CA,20,-1.21965632286851,-1.66306618888172,-1.18073171576694,-1.15177106081881
KP1137_AC_CA20,KP1137_AC_CA20,CA20,CA,20,-3.05747055780425,-1.08392960242425,-0.397302857621127,-0.805616132120417
KP1139_LM_CA20,KP1139_LM_CA20,CA20,CA,20,-2.13744222010923,-1.41013149528625,-0.495198828519316,-1.62081356702012
KP1140_AC_CA20,KP1140_AC_CA20,CA20,CA,20,-1.4923498719151,-2.36496614331716,-0.971806981115854,-1.4932511309487
KP1141_AC_CA20,KP1141_AC_CA20,CA20,CA,20,-0.982850922683436,-0.959108073068621,-1.26125681635581,-1.5737742691231
KP1143_AC_CA20,KP1143_AC_CA20,CA20,CA,20,-1.11684817756837,-1.02842373482226,-2.25325819651024,-2.07455416099155
KP1146_LM_CA20,KP1146_LM_CA20,CA20,CA,20,-1.88572204818127,-1.54329431321333,-3.17602562659837,-3.44440608488592
KP1147_AC_CA20,KP1147_AC_CA20,CA20,CA,20,14.1380453531944,0.516111203275004,-0.793688006265079,0.0456137619727456
KP1148_AC_CA20,KP1148_AC_CA20,CA20,CA,20,-2.10978629548148,-1.60877740800076,-3.32997161136715,-3.79765644521171
