,Individual,Site,Loc,Depth,PC1,PC2,PC3,PC4
KP0218_AC_SQ20,KP0218_AC_SQ20,SQ20,SQ,20,-8.38254707475012,0.168663195245183,0.101974891587114,0.380068005357049
KP0220_AC_SQ20,KP0220_AC_SQ20,SQ20,SQ,20,0.286026917144614,-0.796827888181382,-0.668116159483982,0.335961125303424
KP0222_AC_SQ20,KP0222_AC_SQ20,SQ20,SQ,20,0.55234248983649,-1.15421282320612,-0.0942947931348618,-0.0616128659519667
KP0225_AC_SQ20,KP0225_AC_SQ20,SQ20,SQ,20,0.730893078003057,-0.975015806047546,-0.833419590440061,0.366086056885836
KP0229_AC_SQ20,KP0229_AC_SQ20,SQ20,SQ,20,0.603259983346794,-1.08440455025313,-0.287756367754872,2.14813188801145
KP0235_AC_SQ20,KP0235_AC_SQ20,SQ20,SQ,20,-5.71255999506022,0.489027355723237,-0.00572978656751327,-0.306289731275446
KP0236_AC_SQ20,KP0236_AC_SQ20,SQ20,SQ,20,0.576816617904075,-1.05324019470974,-1.30989120683819,0.206814146009339
KP0237_AC_SQ20,KP0237_AC_SQ20,SQ20,SQ,20,0.837841924681551,-0.95908904084446,-0.731015522398493,0.940805642495521
KP0241_AC_SQ20,KP0241_AC_SQ20,SQ20,SQ,20,-8.05502149120855,0.196914835198531,0.279678720625602,-0.330342090066688
KP0242_AC_SQ20,KP0242_AC_SQ20,SQ20,SQ,20,0.402462721862214,-0.92787483227643,-0.704889448294766,1.52733623221985
KP0243_AC_SQ20,KP0243_AC_SQ20,SQ20,SQ,20,-8.21468221123594,0.329496649859793,-0.0910829548546561,0.675247914742016
KP0247_AC_SQ20,KP0247_AC_SQ20,SQ20,SQ,20,-7.60764586014299,0.519376360498703,0.0413220734907543,0.328769080592879
KP0251_AC_SQ20,KP0251_AC_SQ20,SQ20,SQ,20,1.0277257735071,-1.07173294660222,-0.760030676823943,-0.0481929648558729
KP0255_AC_SQ20,KP0255_AC_SQ20,SQ20,SQ,20,-8.01633367568017,0.457071414288736,0.204599801064678,0.0897947959362765
KP0257_AC_SQ20,KP0257_AC_SQ20,SQ20,SQ,20,0.800533615757573,-1.54516470647082,-0.248520784196216,3.70166785287432
KP0259_AC_SQ20,KP0259_AC_SQ20,SQ20,SQ,20,-8.21532324146588,0.0926769315758534,-0.189502163266724,0.456048996022934
KP0261_AC_SQ20,KP0261_AC_SQ20,SQ20,SQ,20,1.10684380466452,-1.6516772258351,-0.400013624811563,3.35853354018231
KP0269_AC_SQ20,KP0269_AC_SQ20,SQ20,SQ,20,0.601044203416423,-1.31348116766795,0.0147669926343554,1.0674900441617
KP0272_AC_SQ20,KP0272_AC_SQ20,SQ20,SQ,20,0.56181940638465,-1.65356707516444,-0.523992638699297,0.894187666397812
KP0279_AC_SQ20,KP0279_AC_SQ20,SQ20,SQ,20,0.850036633488937,-1.14546720712765,-0.767552801435514,0.13516906046129
KP0284_AC_SQ20,KP0284_AC_SQ20,SQ20,SQ,20,1.4154773661398,-1.36997046869577,-0.658313839622662,0.783511224203429
KP0289_AC_WP20,KP0289_AC_WP20,WP20,WP,20,1.20127173885893,1.19271579173948,0.389036559168134,-1.21125200914188
KP0291_AC_WP20,KP0291_AC_WP20,WP20,WP,20,0.872217807390442,1.54388241659464,0.0151727269381841,0.127436014788471
KP0292_AC_WP20,KP0292_AC_WP20,WP20,WP,20,0.766642108287714,1.19874160567848,-0.519911696078202,-0.688787052299413
KP0294_AC_WP20,KP0294_AC_WP20,WP20,WP,20,1.01978785796861,1.27026941175412,-0.307183539473035,-0.82416981774017
KP0296_AC_WP20,KP0296_AC_WP20,WP20,WP,20,1.13732811769424,1.41797521208433,0.795659135370642,-0.449507528150591
