country,locality,yearCollected,materialSampleID,principalInvestigator,collectorList,continentOcean,locationID,decimalLatitude,decimalLongitude,depthOfBottomInMeters,eventEnteredBy,habitat,island,georeferenceProtocol,microHabitat,fieldNotes,associatedMedia,identificationRemarks,class,family,genus,identifiedBy,kingdom,order,phylum,scientificName,bioProjectAccession,tissueID
Curacao,Snake Bay,2019,KP0057_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31517.9575423288 | -28.085273522272 | -10.1145832757884,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0057_AC_SB10
Curacao,Snake Bay,2019,KP0058_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31517.0565610605 | -28.5822047544901 | -9.82497732169825,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 42_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0058_AC_SB10
Curacao,Snake Bay,2019,KP0059_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31517.0170413807 | -28.5554491971128 | -10.0350187610595,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 42_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0059_AC_SB10
Curacao,Snake Bay,2019,KP0060_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.9491586198 | -28.3895784545622 | -9.95124294442956,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Coral half of its body gone | NA,NA,AA2 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0060_AC_SB10
Curacao,Snake Bay,2019,KP0061_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.8043989723 | -28.0289346549337 | -9.80471338351038,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 90_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0061_AC_SB10
Curacao,Snake Bay,2019,KP0062_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.78098149 | -27.9297669292368 | -9.89743066832981,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 90_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0062_AC_SB10
Curacao,Snake Bay,2019,KP0063_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31515.9691612696 | -28.8753733551801 | -9.88948365445612,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Cant see the coral- position estimated | NA,NA,AA2 | 91_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0063_AC_SB10
Curacao,Snake Bay,2019,KP0064_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31515.8422579022 | -29.0027352952943 | -9.84684794762935,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 91_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0064_AC_SB10
Curacao,Snake Bay,2019,KP0065_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31515.5612653082 | -29.0955478354994 | -9.95681531595214,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 91_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0065_AC_SB10
Curacao,Snake Bay,2019,KP0067_LM_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | NA | NA | NA,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,NA | NA,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia lamarcki,NA,KP0067_LM_SB10
Curacao,Snake Bay,2019,KP0069_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31515.8380679106 | -29.2514515315221 | -10.0375300238912,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 91_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0069_AC_SB10
Curacao,Snake Bay,2019,KP0070_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31515.5747332367 | -29.621022770214 | -10.4422278468309,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 57_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0070_AC_SB10
Curacao,Snake Bay,2019,KP0071_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | NA | NA | NA,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,NA | NA,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0071_AC_SB10
Curacao,Snake Bay,2019,KP0072_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31515.8171560915 | -29.752675555881 | -10.1029457969286,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 57_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0072_AC_SB10
Curacao,Snake Bay,2019,KP0073_HU_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.1581143404 | -29.8607136107265 | -9.79638012605609,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AH1 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia humilis,NA,KP0073_HU_SB10
Curacao,Snake Bay,2019,KP0074_AC_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.1192402328 | -29.2114612576016 | -9.84450579729747,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA, | NA,NA,AA2 | 91_AA2,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia agaricites,NA,KP0074_AC_SB10
Curacao,Snake Bay,2019,KP0075_HU_SB10,Pim Bongaerts,Katharine E. Prata | Livia Sinigalia,Caribbean,SB | 31516.3639946129 | -29.538191668536 | -9.62733254518456,12.139446,-68.997199,10,Katharine E. Prata,marine coral reef biome,Curacao,Approximated from Google Maps for Lat and Lon. Relative photogrammetry coordinates for each sample can be found in LocationID,NA,Cant see the coral- position estimated | NA,NA,AH1 | non-clone,Hexacorallia,Agariciidae,Agaricia,Katharine E. Prata,Animalia,Scleractinia,Cnidaria,Agaricia humilis,NA,KP0075_HU_SB10
